date,lme_al_cw
2014-06-02,55.24
2014-06-03,55.19
2014-06-04,55.19
2014-06-05,55.15
2014-06-06,55.08
2014-06-09,55.07
2014-06-10,55.02
2014-06-11,54.96
2014-06-12,55.01
2014-06-13,55.01
2014-06-16,54.93
2014-06-17,55.48
2014-06-18,55.72
2014-06-19,55.75
2014-06-20,57.1
2014-06-23,57.98
2014-06-24,59.79
2014-06-25,59.97
2014-06-27,59.44
2014-07-02,59.04
2014-07-04,58.98
2014-07-07,58.86
2014-07-08,58.86
2014-07-09,58.78
2014-07-10,58.78
2014-07-15,58.8
2014-07-16,58.72
2014-07-17,58.68
2014-07-18,58.93
2014-07-21,58.84
2014-07-22,58.8
2014-07-23,58.74
2014-07-24,58.67
2014-07-25,58.59
2014-07-29,57.96
2014-07-30,57.99
2014-07-31,57.92
2014-08-01,57.93
2014-08-04,58.28
2014-08-05,58.25
2014-08-06,58.19
2014-08-07,58.11
2014-08-08,58.05
2014-08-11,57.98
2014-08-12,57.79
2014-08-13,57.72
2014-08-14,57.69
2014-08-18,55.54
2014-08-19,55.07
2014-08-20,52.66
2014-08-21,52.59
2014-08-22,52.71
2014-08-25,52.71
2014-08-26,52.74
2014-08-27,52.62
2014-08-28,52.59
2014-08-29,52.52
2014-09-01,52.45
2014-09-02,52.37
2014-09-03,52.36
2014-09-04,52.27
2014-09-05,52.22
2014-09-09,52.03
2014-09-11,52.01
2014-09-12,51.89
2014-09-16,51.69
2014-09-17,51.61
2014-09-18,51.94
2014-09-19,53.1
2014-09-23,52.89
2014-09-24,52.89
2014-09-25,55.34
2014-09-26,55.78
2014-09-29,55.74
2014-09-30,56.08
2014-10-01,56.6
2014-10-02,56.74
2014-10-03,57.8
2014-10-06,57.71
2014-10-07,57.75
2014-10-08,57.74
2014-10-09,57.66
2014-10-10,59.5
2014-10-13,59.6
2014-10-14,59.61
2014-10-15,59.59
2014-10-16,59.63
2014-10-17,59.56
2014-10-20,59.47
2014-10-21,59.42
2014-10-22,59.47
2014-10-24,59.35
2014-10-27,59.22
2014-10-28,59.15
2014-10-29,59.09
2014-10-30,57.63
2014-10-31,57.64
2014-11-03,57.58
2014-11-04,57.51
2014-11-05,57.03
2014-11-06,56.82
2014-11-07,56.92
2014-11-10,56.86
2014-11-12,56.78
2014-11-13,56.81
2014-11-14,56.87
2014-11-17,56.84
2014-11-18,56.04
2014-11-19,54.73
2014-11-20,54.45
2014-11-21,54.56
2014-11-24,54.42
2014-11-25,54.32
2014-11-26,54.2
2014-11-27,53.38
2014-11-28,53.28
2014-12-01,53.77
2014-12-02,53.71
2014-12-03,53.59
2014-12-04,53.38
2014-12-05,53.29
2014-12-08,53.03
2014-12-09,52.92
