feature,selection_freq
AA_div_5d,1.0
volume_zscore_20d,1.0
fed_funds_momentum_20d,0.96875
wti_momentum_20d,0.96875
vix_volatility_20d,0.9375
curve_2s10s_volatility_20d,0.9375
TNX_ret_5d,0.9375
ASHR_ratio_mom20,0.90625
volatility_spike_10_60,0.90625
volatility_spike_5_20,0.90625
CSTM_div_5d,0.875
ust_2y_return_1d,0.875
curve_2s10s_momentum_20d,0.84375
NHYDY_div_z20,0.84375
aluminum_volatility_20d,0.8125
TNX_mom_20d,0.8125
brent_momentum_20d,0.8125
volatility_60d,0.8125
curve_2s10s_return_1d,0.8125
KWEB_div_20d,0.78125
volume_vs_ma20,0.78125
ASHR_div_5d,0.78125
XME_div_1d,0.78125
dow_cos,0.78125
DX_Y_NYB_vol_20d,0.78125
DX_Y_NYB_ret_1d,0.78125
volatility_10d,0.78125
ma20_vs_ma60,0.78125
curve_2s10s_return_5d,0.75
brent_return_1d,0.75
VIX_ret_5d,0.75
ust_2y_volatility_20d,0.75
DBB_div_1d,0.75
BHP_ratio_mom20,0.71875
wti_return_1d,0.71875
wti_return_5d,0.71875
SLX_div_20d,0.71875
ACH_div_5d,0.71875
aluminum_return_1d,0.71875
ASHR_div_z20,0.71875
dxy_return_1d,0.71875
log_return_2d,0.6875
wti_volatility_20d,0.6875
month_sin,0.6875
ust_2y_return_5d,0.65625
KALU_div_1d,0.65625
CSTM_div_1d,0.65625
brent_volatility_20d,0.625
NHYDY_div_1d,0.625
ust_10y_volatility_20d,0.625
CNY_ret_1d,0.625
ust_2y_momentum_20d,0.625
drawdown_20d,0.625
VIX_ret_1d,0.59375
KALU_div_5d,0.59375
ust_10y_return_1d,0.59375
dxy_volatility_20d,0.59375
dow_sin,0.59375
RIO_div_5d,0.59375
CENX_div_1d,0.59375
month_cos,0.5625
fed_funds_return_5d,0.5625
ACH_div_20d,0.5625
drawdown_60d,0.53125
DBB_div_5d,0.53125
aluminum_momentum_20d,0.53125
AA_div_1d,0.53125
log_return_3d,0.53125
momentum_20d,0.5
XME_div_5d,0.5
CNY_vol_20d,0.5
gap_return,0.5
brent_return_5d,0.5
fed_funds_volatility_20d,0.5
FXI_ratio_mom20,0.5
PICK_div_z20,0.5
close_location,0.5
CSTM_ratio_mom20,0.5
ust_10y_momentum_20d,0.46875
TNX_vol_20d,0.46875
volatility_5d,0.46875
CENX_div_5d,0.46875
AA_div_z20,0.46875
KWEB_div_1d,0.46875
TNX_ret_1d,0.4375
NHYDY_ratio_mom20,0.4375
BHP_div_5d,0.4375
CNY_mom_20d,0.4375
KALU_div_z20,0.4375
KALU_ratio_mom20,0.4375
dxy_return_5d,0.4375
dxy_momentum_20d,0.4375
momentum_60d,0.40625
RIO_div_20d,0.40625
NHYDY_div_5d,0.40625
CNY_ret_5d,0.40625
SLX_div_5d,0.40625
AA_div_20d,0.40625
vix_return_5d,0.40625
BHP_div_1d,0.40625
FXI_div_5d,0.375
PICK_div_1d,0.375
CSTM_div_z20,0.375
vix_momentum_20d,0.375
log_return_10d,0.375
ACH_div_1d,0.375
KALU_div_20d,0.375
volatility_20d,0.375
momentum_5d,0.34375
DX_Y_NYB_mom_20d,0.34375
RIO_div_1d,0.34375
DX_Y_NYB_ret_5d,0.34375
KWEB_div_5d,0.34375
simple_return_5d,0.34375
DBB_ratio_mom20,0.34375
XME_div_z20,0.34375
aluminum_return_5d,0.3125
VIX_vol_20d,0.28125
MCHI_div_20d,0.28125
VIX_mom_20d,0.28125
ACH_div_z20,0.28125
XME_ratio_mom20,0.25
SLX_div_z20,0.25
ACH_ratio_mom20,0.25
PICK_div_20d,0.21875
KWEB_div_z20,0.21875
log_return_1d,0.21875
CENX_div_20d,0.21875
FXI_div_1d,0.21875
BHP_div_z20,0.1875
ASHR_div_1d,0.1875
MCHI_div_z20,0.1875
CENX_ratio_mom20,0.1875
FXI_div_z20,0.1875
MCHI_div_1d,0.1875
momentum_10d,0.15625
DBB_div_20d,0.15625
price_vs_ma20,0.15625
high_low_range,0.15625
RIO_div_z20,0.125
price_vs_ma5,0.125
price_vs_ma60,0.125
ust_10y_return_5d,0.125
ma5_vs_ma20,0.09375
PICK_ratio_mom20,0.0625
CENX_div_z20,0.0625
NHYDY_div_20d,0.0625
DBB_div_z20,0.0625
AA_ratio_mom20,0.0625
XME_div_20d,0.0625
SLX_div_1d,0.03125
PICK_div_5d,0.03125
SLX_ratio_mom20,0.03125
ASHR_div_20d,0.03125
KWEB_ratio_mom20,0.03125
simple_return_1d,0.0
log_return_5d,0.0
CSTM_div_20d,0.0
RIO_ratio_mom20,0.0
BHP_div_20d,0.0
vix_return_1d,0.0
MCHI_div_5d,0.0
close_open_return,0.0
MCHI_ratio_mom20,0.0
fed_funds_return_1d,0.0
FXI_div_20d,0.0
