code,name,commodity,metal,qty_lbs,jan_price,price_source,factor,adjusted,eoy_price,jan_value,eoy_value
CUBB001,BARE BRIGHT COPPER,COPPER TIER 1,COPPER,66905.0,5.3946,Jan sale,0.9573,True,5.1644,360926.5,345524.18
SHIRST,SHEET IRON,STEEL,STEEL,2131476.0,0.1234,Jan sale,0.9901,True,0.1222,263111.87,260466.37
CU00001,#1 COPPER,COPPER TIER 1,COPPER,28461.0,5.2249,Jan sale,0.9573,True,5.0019,148705.72,142359.08
CUIN188,#1 ICW 88%,COPPER TIER 2,COPPER,33006.0,4.4676,Jan sale,0.9573,True,4.2769,147458.43,141163.36
ICW80,#1 ICW 80%,COPPER TIER 2,COPPER,25640.0,4.1513,Jan sale,0.9573,True,3.9741,106439.6,101895.92
INDHVYM,HEAVY MELT,STEEL,STEEL,570309.0,0.1449,Jan sale,0.9901,True,0.1435,82642.52,81839.34
FEAUCST,AUTO CAST,STEEL,STEEL,384375.0,0.192,Jan sale,0.9901,True,0.1901,73786.27,73069.69
CU00002,#2 COPPER,COPPER TIER 1,COPPER,14794.0,5.0912,Jan sale,0.9573,True,4.8739,75319.26,72104.48
NISS316,316 STAINLESS STEEL SOLIDS,STAINLESS STEEL TIER 1,STAINLESS STEEL,55999.0,1.1219,YTD sale,1.0,False,1.1219,62825.54,62825.28
CLSHST,CLEAN SHEET,STEEL,STEEL,448582.0,0.1349,Jan sale,0.9901,True,0.1335,60505.71,59885.7
AL06063,6063 BARE ALUMINUM EXTRUSION,ALUMINUM,ALUMINUM,35999.0,1.6729,Jan sale,0.9496,True,1.5887,60223.1,57191.61
ALCURAD,AL/CU RADIATORS - CLEAN,ALUMINUM,ALUMINUM,19865.0,2.979,YTD sale,0.9496,True,2.8289,59177.03,56196.1
BRYELLO,YELLOW BRASS SOLIDS,BRASS TIER 1,BRASS,16871.0,3.1104,Jan sale,0.9573,True,2.9776,52474.97,50235.09
COMWIRECU,COMMUNICATION WIRE,COPPER TIER 2,COPPER,21676.0,2.2385,Jan sale,0.9573,True,2.1429,48521.21,46449.5
Indbush,BUSHELING,STEEL,STEEL,293359.0,0.1582,Jan sale,0.9901,True,0.1566,46409.55,45940.02
INDP&S,PLATE & STRUCTUAL,STEEL,STEEL,286831.0,0.1509,Jan sale,0.9901,True,0.1494,43289.26,42852.55
UNPHMS,HEAVY MELT - UNPREPARED,STEEL,STEEL,275311.0,0.134,YTD sale,0.9901,True,0.1327,36892.56,36533.77
ALPAINT,ALUMINUM PAINTED SIDING,ALUMINUM,ALUMINUM,33562.0,1.0871,YTD sale,0.9496,True,1.0324,36485.71,34649.41
TNPDCWR,TIN PLTD COPPER WIRE,COPPER TIER 1,COPPER,6309.0,5.14,Jan sale,0.9573,True,4.9206,32428.26,31044.07
ALWHEEL,ALUMINUM RIMS,ALUMINUM,ALUMINUM,21385.0,1.3733,YTD sale,0.9496,True,1.3041,29367.63,27888.18
NISS300,304 STAINLESS SOLIDS,STAINLESS STEEL TIER 1,STAINLESS STEEL,40913.0,0.6284,YTD sale,1.0,False,0.6284,25710.87,25709.73
CUIN160,#1 ICW 60%,COPPER TIER 2,COPPER,7540.0,3.2721,YTD sale,0.9573,True,3.1325,24671.98,23619.05
AL6061TURNS,6061 TURNINGS,ALUMINUM,ALUMINUM,23943.0,1.0225,YTD sale,0.9496,True,0.971,24481.83,23248.65
ALUTURN,ALUMINIUM TURNS,ALUMINUM,ALUMINUM,24449.0,0.9968,YTD sale,0.9496,True,0.9466,24369.54,23143.42
UNPREP,UNPREPARED P&S ,STEEL,STEEL,153656.0,0.1432,Jan sale,0.9901,True,0.1418,21999.29,21788.42
CUMOTOR,ELECTRIC MOTORS,COPPER TIER 3,COPPER,35166.0,0.62,Jan sale,0.9573,True,0.5935,21802.92,20871.02
LEAUTOB,AUTO BATTERIES,LEAD,LEAD,67131.0,0.3,Jan sale,1.0,False,0.3,20139.3,20139.3
AL06310,6063 PAINTED EXTRUSION,ALUMINUM,ALUMINUM,13007.0,1.5969,YTD sale,0.9496,True,1.5165,20771.4,19725.12
FETURN,ZZ DO NOT USE STEEL TURNINGS,STEEL,STEEL,162471.0,0.1183,Jan sale,0.9901,True,0.1171,19220.9,19025.35
BRREDSD,RED BRASS SOLIDS,BRASS TIER 1,BRASS,4810.0,4.0637,YTD sale,0.9573,True,3.8903,19546.56,18712.34
ALSHEET,ALUMINUM OLD SHEET,ALUMINUM,ALUMINUM,26791.0,0.72,Jan sale,0.9496,True,0.6837,19289.52,18317.01
ALUMDROSS,ALUM DROSS,ALUMINUM,ALUMINUM,31502.0,0.6,YTD sale,0.9496,True,0.5698,18901.2,17949.84
