Location,metal,current_wt,inbound_wt,outbound_wt,opening_wt,flag
Merrillville,ALUMINUM,66105.0,17845.0,152908.0,201168.0,
Merrillville,BRASS,5297.0,1222.0,22841.0,26916.0,
Merrillville,COPPER,36644.0,1034.0,233235.0,268845.0,
Merrillville,LEAD,17508.0,0.0,43635.0,61143.0,
Merrillville,OTHER,86.0,0.0,405.0,491.0,
Merrillville,STAINLESS STEEL,92177.0,8894.0,33933.0,117216.0,
Merrillville,STEEL,936722.0,1478038.0,3473032.0,2931716.0,
Merrillville,ZINC,984.0,0.0,0.0,984.0,
Merrillville,ZWASTE,16677.0,0.0,0.0,16677.0,
Milton,ALUMINUM,157104.0,613671.0,698086.0,241519.0,
Milton,BRASS,4465.0,23067.0,27561.0,8959.0,
Milton,COPPER,25224.0,32818.0,60821.0,53227.0,
Milton,LEAD,101836.0,135505.0,79237.0,45568.0,
Milton,OTHER,34881.0,9414.0,621.0,26088.0,
Milton,STAINLESS STEEL,135281.0,440753.0,360439.0,54967.0,
Milton,STEEL,1139730.0,6320325.0,7234000.0,2053405.0,
Milton,ZINC,586.0,31.0,0.0,555.0,
Milton,ZWASTE,39928.0,32057.0,1501.0,9372.0,
