Date,aluminium
2021-06-16,2488.25
2021-06-17,2420.0
2021-06-18,2401.75
2021-06-21,2420.5
2021-06-22,2439.25
2021-06-23,2447.25
2021-06-24,2454.0
2021-06-25,2502.0
2021-06-28,2511.5
2021-06-29,2569.0
2021-06-30,2548.75
2021-07-01,2534.75
2021-07-02,2585.75
2021-07-06,2556.0
2021-07-07,2524.0
2021-07-08,2467.0
2021-07-09,2521.75
2021-07-12,2511.25
2021-07-13,2559.25
2021-07-14,2542.5
2021-07-15,2534.75
2021-07-16,2506.25
2021-07-19,2440.0
2021-07-20,2485.25
2021-07-21,2478.0
2021-07-22,2508.75
2021-07-23,2531.25
2021-07-26,2542.0
2021-07-27,2515.25
2021-07-28,2557.0
2021-07-29,2620.75
2021-07-30,2624.25
2021-08-02,2647.0
2021-08-03,2607.75
2021-08-04,2589.25
2021-08-05,2610.25
2021-08-06,2601.25
2021-08-09,2570.75
2021-08-10,2596.75
2021-08-11,2607.75
2021-08-12,2593.5
2021-08-13,2618.0
2021-08-16,2616.25
2021-08-17,2613.75
2021-08-18,2572.5
2021-08-19,2562.75
2021-08-20,2566.5
2021-08-23,2620.0
2021-08-24,2647.5
2021-08-25,2648.5
2021-08-26,2655.5
2021-08-27,2680.0
2021-08-30,2673.0
2021-08-31,2746.25
2021-09-01,2717.5
2021-09-02,2723.25
2021-09-03,2753.75
2021-09-07,2787.75
2021-09-08,2818.5
2021-09-09,2864.25
2021-09-10,2948.0
2021-09-13,2929.5
2021-09-14,2866.5
2021-09-15,2928.25
2021-09-16,2918.0
2021-09-17,2919.5
2021-09-20,2896.5
2021-09-21,2883.5
2021-09-22,2976.0
2021-09-23,2987.5
2021-09-24,2958.0
2021-09-27,2923.25
2021-09-28,2974.25
2021-09-29,2965.25
2021-09-30,2903.0
2021-10-01,2902.25
2021-10-04,2957.25
2021-10-05,2966.5
2021-10-06,2942.0
2021-10-07,2991.0
2021-10-08,3011.25
2021-10-11,3111.5
2021-10-12,3108.75
2021-10-13,3038.75
2021-10-14,3130.5
2021-10-15,3171.0
2021-10-18,3202.5
2021-10-19,3138.25
2021-10-20,3108.75
2021-10-21,2935.5
2021-10-22,2907.75
2021-10-25,2908.0
2021-10-26,2866.5
2021-10-27,2716.5
2021-10-28,2794.5
2021-10-29,2758.5
2021-11-01,2776.25
2021-11-02,2754.75
2021-11-03,2712.5
2021-11-04,2616.25
2021-11-05,2595.75
2021-11-08,2604.75
2021-11-09,2560.5
2021-11-10,2567.0
2021-11-11,2634.0
2021-11-12,2645.25
2021-11-15,2607.75
2021-11-16,2540.5
2021-11-17,2598.5
2021-11-18,2603.0
2021-11-19,2662.75
2021-11-22,2657.5
2021-11-23,2648.0
2021-11-24,2664.5
2021-11-26,2581.25
2021-11-29,2596.0
2021-11-30,2591.25
2021-12-01,2628.5
2021-12-02,2585.25
2021-12-03,2596.25
2021-12-06,2566.75
2021-12-07,2601.75
2021-12-08,2576.25
2021-12-09,2579.5
2021-12-10,2550.75
2021-12-13,2601.75
2021-12-14,2569.0
2021-12-15,2540.0
2021-12-16,2611.25
2021-12-17,2653.75
2021-12-20,2602.0
2021-12-21,2716.75
2021-12-22,2803.75
2021-12-23,2808.0
2021-12-27,2808.0
2021-12-28,2808.0
2021-12-29,2781.25
2021-12-30,2782.5
2021-12-31,2752.5
2022-01-03,2752.5
2022-01-04,2802.75
2022-01-05,2876.0
2022-01-06,2890.0
2022-01-07,2884.5
2022-01-10,2898.75
2022-01-11,2951.0
2022-01-12,2973.75
2022-01-13,2944.0
2022-01-14,2962.75
2022-01-18,3001.0
2022-01-19,3038.25
2022-01-20,3102.25
2022-01-21,3026.0
2022-01-24,3015.5
2022-01-25,3077.75
2022-01-26,3078.0
2022-01-27,3090.25
2022-01-28,3128.25
2022-01-31,3078.25
2022-02-01,3077.5
2022-02-02,3029.0
2022-02-03,3080.0
2022-02-04,3114.25
2022-02-07,3167.75
2022-02-08,3240.25
2022-02-09,3313.0
2022-02-10,3319.0
2022-02-11,3282.25
2022-02-14,3272.0
2022-02-15,3272.5
2022-02-16,3320.0
2022-02-17,3315.75
2022-02-18,3304.5
2022-02-22,3342.0
2022-02-23,3345.75
2022-02-24,3457.5
2022-02-25,3406.0
2022-02-28,3417.0
2022-03-01,3516.0
2022-03-02,3615.5
2022-03-03,3767.75
2022-03-04,3873.0
2022-03-07,3745.5
2022-03-08,3485.5
2022-03-09,3286.5
2022-03-10,3361.25
2022-03-11,3446.5
2022-03-14,3321.5
2022-03-15,3204.5
2022-03-16,3238.75
2022-03-17,3316.25
2022-03-18,3357.25
2022-03-21,3469.75
2022-03-22,3460.25
2022-03-23,3572.75
2022-03-24,3593.5
2022-03-25,3571.5
2022-03-28,3585.5
2022-03-29,3431.5
2022-03-30,3553.5
2022-03-31,3500.0
2022-04-01,3466.5
2022-04-04,3441.5
2022-04-05,3430.5
2022-04-06,3405.0
2022-04-07,3352.75
2022-04-08,3340.75
2022-04-11,3209.75
2022-04-12,3229.5
2022-04-13,3206.75
2022-04-14,3250.5
2022-04-18,3250.5
2022-04-19,3212.5
2022-04-20,3237.5
2022-04-21,3264.0
2022-04-22,3203.0
2022-04-25,3054.5
2022-04-26,3040.25
2022-04-27,3066.5
2022-04-28,2997.75
2022-04-29,3049.75
2022-05-02,3049.75
2022-05-03,2900.0
2022-05-04,2958.5
2022-05-05,2896.5
2022-05-06,2831.0
2022-05-09,2740.75
2022-05-10,2743.25
2022-05-11,2769.25
2022-05-12,2730.75
2022-05-13,2774.0
2022-05-16,2808.75
2022-05-17,2860.0
2022-05-18,2831.25
2022-05-19,2884.0
2022-05-20,2927.25
2022-05-23,2933.25
2022-05-24,2874.5
2022-05-25,2848.5
2022-05-26,2833.25
2022-05-27,2850.0
2022-05-31,2763.5
2022-06-01,2692.25
2022-06-02,2692.0
2022-06-03,2692.0
2022-06-06,2747.5
2022-06-07,2742.5
2022-06-08,2786.75
2022-06-09,2727.75
2022-06-10,2638.75
2022-06-13,2601.0
2022-06-14,2531.25
2022-06-15,2562.25
2022-06-16,2474.25
2022-06-17,2461.0
2022-06-21,2490.0
2022-06-22,2434.75
2022-06-23,2436.0
2022-06-24,2411.5
2022-06-27,2460.75
2022-06-28,2440.5
2022-06-29,2422.75
2022-06-30,2401.5
2022-07-01,2389.25
2022-07-05,2342.0
2022-07-06,2354.75
2022-07-07,2386.75
2022-07-08,2383.75
2022-07-11,2341.25
2022-07-12,2321.75
2022-07-13,2330.75
2022-07-14,2367.0
2022-07-15,2380.0
2022-07-18,2461.5
2022-07-19,2397.5
2022-07-20,2435.25
2022-07-21,2427.5
2022-07-22,2483.0
2022-07-25,2426.25
2022-07-26,2435.5
2022-07-27,2427.5
2022-07-28,2457.0
2022-07-29,2463.5
2022-08-01,2407.25
2022-08-02,2386.5
2022-08-03,2349.5
2022-08-04,2372.75
2022-08-05,2396.75
2022-08-08,2427.5
2022-08-09,2470.75
2022-08-10,2472.75
2022-08-11,2505.25
2022-08-12,2421.75
2022-08-15,2377.0
2022-08-16,2381.0
2022-08-17,2397.75
2022-08-18,2393.5
2022-08-19,2371.75
2022-08-22,2377.25
2022-08-23,2412.5
2022-08-24,2420.25
2022-08-25,2422.5
2022-08-26,2484.0
2022-08-29,2481.25
2022-08-30,2373.5
2022-08-31,2341.75
2022-09-01,2277.25
2022-09-02,2276.5
2022-09-06,2248.0
2022-09-07,2221.0
2022-09-08,2240.25
2022-09-09,2275.75
2022-09-12,2272.5
2022-09-13,2299.5
2022-09-14,2259.25
2022-09-15,2290.75
2022-09-16,2264.25
2022-09-19,2235.5
2022-09-20,2228.25
2022-09-21,2179.75
2022-09-22,2207.75
2022-09-23,2157.5
2022-09-26,2126.25
2022-09-27,2098.75
2022-09-28,2114.25
2022-09-29,2192.75
2022-09-30,2157.25
2022-10-03,2213.0
2022-10-04,2347.25
2022-10-05,2359.25
2022-10-06,2355.0
2022-10-07,2295.75
2022-10-10,2258.0
2022-10-11,2245.25
2022-10-12,2312.25
2022-10-13,2388.0
2022-10-14,2337.75
2022-10-17,2259.75
2022-10-18,2204.5
2022-10-19,2187.0
2022-10-20,2228.25
2022-10-21,2223.5
2022-10-24,2192.75
2022-10-25,2228.5
2022-10-26,2352.5
2022-10-27,2307.25
2022-10-28,2210.75
2022-10-31,2229.0
2022-11-01,2259.5
2022-11-02,2266.5
2022-11-03,2282.25
2022-11-04,2380.25
2022-11-07,2354.5
2022-11-08,2391.25
2022-11-09,2329.75
2022-11-10,2351.5
2022-11-11,2475.0
2022-11-14,2460.75
2022-11-15,2437.0
2022-11-16,2412.5
2022-11-17,2393.0
2022-11-18,2428.0
2022-11-21,2379.5
2022-11-22,2428.75
2022-11-23,2392.0
2022-11-25,2367.25
2022-11-28,2362.0
2022-11-29,2365.25
2022-11-30,2460.5
2022-12-01,2472.25
2022-12-02,2535.0
2022-12-05,2509.0
2022-12-06,2503.5
2022-12-07,2484.25
2022-12-08,2496.5
2022-12-09,2465.25
2022-12-12,2409.25
2022-12-13,2458.25
2022-12-14,2431.0
2022-12-15,2383.0
2022-12-16,2388.5
2022-12-19,2364.25
2022-12-20,2377.0
2022-12-21,2402.0
2022-12-22,2421.5
2022-12-23,2413.5
2022-12-27,2411.25
2022-12-28,2396.0
2022-12-29,2426.5
2022-12-30,2410.25
2023-01-03,2325.25
2023-01-04,2270.0
2023-01-05,2262.75
2023-01-06,2285.25
2023-01-09,2443.25
2023-01-10,2465.0
2023-01-11,2506.25
2023-01-12,2551.0
2023-01-13,2602.0
2023-01-17,2628.25
2023-01-18,2643.75
2023-01-19,2589.75
2023-01-20,2608.75
2023-01-23,2650.5
2023-01-24,2665.0
2023-01-25,2670.75
2023-01-26,2656.5
2023-01-27,2638.75
2023-01-30,2595.0
2023-01-31,2639.0
2023-02-01,2608.5
2023-02-02,2605.5
2023-02-03,2550.0
2023-02-06,2515.75
2023-02-07,2518.5
2023-02-08,2468.25
2023-02-09,2487.5
2023-02-10,2429.0
2023-02-13,2389.0
2023-02-14,2381.0
2023-02-15,2354.75
2023-02-16,2362.5
2023-02-17,2343.75
2023-02-21,2411.5
2023-02-22,2361.5
2023-02-23,2339.75
2023-02-24,2294.5
2023-02-27,2327.0
2023-02-28,2323.5
2023-03-01,2379.25
2023-03-02,2367.25
2023-03-03,2369.75
2023-03-06,2368.75
2023-03-07,2328.75
2023-03-08,2327.5
2023-03-09,2306.0
2023-03-10,2291.75
2023-03-13,2299.5
2023-03-14,2316.75
2023-03-15,2242.5
2023-03-16,2233.25
2023-03-17,2229.25
2023-03-20,2240.5
2023-03-21,2243.75
2023-03-22,2266.25
2023-03-23,2298.5
2023-03-24,2308.0
2023-03-27,2341.75
2023-03-28,2370.25
2023-03-29,2360.0
2023-03-30,2363.5
2023-03-31,2383.75
2023-04-03,2378.75
2023-04-04,2348.25
2023-04-05,2315.5
2023-04-06,2325.0
2023-04-10,2324.75
2023-04-11,2295.25
2023-04-12,2316.0
2023-04-13,2365.75
2023-04-14,2379.0
2023-04-17,2377.75
2023-04-18,2428.75
2023-04-19,2442.5
2023-04-20,2422.25
2023-04-21,2386.75
2023-04-24,2375.25
2023-04-25,2329.25
2023-04-26,2318.5
2023-04-27,2311.5
2023-04-28,2359.75
2023-05-01,2390.75
2023-05-02,2382.75
2023-05-03,2330.75
2023-05-04,2300.5
2023-05-05,2329.5
2023-05-08,2314.25
2023-05-09,2333.75
2023-05-10,2284.75
2023-05-11,2216.5
2023-05-12,2238.25
2023-05-15,2250.25
2023-05-16,2260.0
2023-05-17,2295.75
2023-05-18,2286.75
2023-05-19,2300.0
2023-05-22,2290.5
2023-05-23,2255.0
2023-05-24,2230.0
2023-05-25,2233.25
2023-05-26,2245.0
2023-05-30,2227.75
2023-05-31,2255.5
2023-06-01,2299.25
2023-06-02,2269.5
2023-06-05,2240.5
2023-06-06,2204.75
2023-06-07,2207.25
2023-06-08,2240.75
2023-06-09,2254.25
2023-06-12,2211.25
2023-06-13,2220.75
2023-06-14,2243.75
2023-06-15,2227.75
2023-06-16,2252.5
2023-06-20,2217.5
2023-06-21,2223.0
2023-06-22,2203.0
2023-06-23,2168.25
2023-06-26,2149.5
2023-06-27,2170.0
2023-06-28,2148.25
2023-06-29,2126.0
2023-06-30,2114.75
2023-07-03,2112.75
2023-07-05,2119.25
2023-07-06,2103.0
2023-07-07,2111.25
2023-07-10,2115.5
2023-07-11,2127.5
2023-07-12,2193.75
2023-07-13,2242.0
2023-07-14,2235.0
2023-07-17,2207.0
2023-07-18,2164.25
2023-07-19,2137.25
2023-07-20,2143.25
2023-07-21,2148.0
2023-07-24,2153.75
2023-07-25,2184.0
2023-07-26,2155.5
2023-07-27,2151.75
2023-07-28,2178.5
2023-07-31,2230.5
2023-08-01,2198.5
2023-08-02,2150.5
2023-08-03,2168.25
2023-08-04,2172.0
2023-08-07,2166.75
2023-08-08,2133.0
2023-08-09,2122.75
2023-08-10,2154.75
2023-08-11,2115.25
2023-08-14,2081.0
2023-08-15,2075.5
2023-08-16,2073.25
2023-08-17,2090.5
2023-08-18,2081.0
2023-08-21,2082.75
2023-08-22,2114.25
2023-08-23,2131.0
2023-08-24,2111.25
2023-08-25,2108.75
2023-08-28,2139.25
2023-08-29,2125.25
2023-08-30,2165.25
2023-08-31,2175.5
2023-09-01,2216.25
2023-09-05,2180.0
2023-09-06,2175.5
2023-09-07,2171.25
2023-09-08,2154.75
2023-09-11,2179.25
2023-09-12,2192.25
2023-09-13,2201.25
2023-09-14,2202.25
2023-09-15,2167.25
2023-09-18,2202.0
2023-09-19,2188.75
2023-09-20,2236.0
2023-09-21,2188.75
2023-09-22,2215.5
2023-09-25,2209.0
2023-09-26,2228.25
2023-09-27,2232.75
2023-09-28,2271.75
2023-09-29,2329.5
2023-10-02,2310.25
2023-10-03,2287.0
2023-10-04,2242.25
2023-10-05,2224.5
2023-10-06,2227.25
2023-10-09,2224.75
2023-10-10,2198.0
2023-10-11,2196.25
2023-10-12,2185.5
2023-10-13,2181.5
2023-10-16,2169.25
2023-10-17,2166.5
2023-10-18,2175.75
2023-10-19,2184.0
2023-10-20,2177.0
2023-10-23,2174.25
2023-10-24,2184.0
2023-10-25,2213.25
2023-10-26,2193.5
2023-10-27,2222.75
2023-10-30,2263.75
2023-10-31,2251.5
2023-11-01,2235.25
2023-11-02,2221.25
2023-11-03,2246.0
2023-11-06,2275.5
2023-11-07,2251.5
2023-11-08,2251.25
2023-11-09,2232.0
2023-11-10,2206.0
2023-11-13,2216.5
2023-11-14,2204.0
2023-11-15,2199.75
2023-11-16,2179.75
2023-11-17,2177.5
2023-11-20,2208.0
2023-11-21,2219.25
2023-11-22,2188.0
2023-11-24,2200.25
2023-11-27,2184.75
2023-11-28,2188.5
2023-11-29,2171.5
2023-11-30,2160.25
2023-12-01,2174.5
2023-12-04,2148.75
2023-12-05,2126.0
2023-12-06,2109.75
2023-12-07,2092.5
2023-12-08,2109.0
2023-12-11,2093.25
2023-12-12,2093.25
2023-12-13,2113.5
2023-12-14,2175.0
2023-12-15,2207.5
2023-12-18,2237.75
2023-12-19,2211.25
2023-12-20,2187.75
2023-12-21,2184.25
2023-12-22,2268.0
2023-12-26,2251.5
2023-12-27,2327.5
2023-12-28,2319.0
2023-12-29,2332.25
2024-01-02,2278.75
2024-01-03,2251.0
2024-01-04,2218.25
2024-01-05,2203.0
2024-01-08,2168.5
2024-01-09,2182.5
2024-01-10,2178.5
2024-01-11,2179.75
2024-01-12,2167.5
2024-01-16,2161.75
2024-01-17,2148.75
2024-01-18,2136.5
2024-01-19,2127.5
2024-01-22,2127.5
2024-01-23,2184.25
2024-01-24,2186.25
2024-01-25,2194.5
2024-01-26,2226.0
2024-01-29,2219.5
2024-01-30,2227.5
2024-01-31,2235.5
2024-02-01,2209.25
2024-02-02,2196.75
2024-02-05,2176.75
2024-02-06,2199.0
2024-02-07,2188.5
2024-02-08,2189.75
2024-02-09,2182.0
2024-02-12,2191.25
