,stainless
2021-08-13,9239.551182436297
2021-08-16,9209.92014135953
2021-08-17,9340.853963862648
2021-08-18,9658.261280914961
2021-08-19,9606.955364493739
2021-08-20,9555.92545068089
2021-08-23,9892.887923973241
2021-08-24,10060.056312498258
2021-08-25,9954.832728136938
2021-08-26,10072.981784957808
2021-08-27,9968.954146717706
2021-08-30,9865.497924843776
2021-08-31,9916.645295543267
2021-09-01,9505.467253859792
2021-09-02,9149.256137421224
2021-09-03,9035.051411780087
2021-09-06,8834.081127096242
2021-09-07,8894.044616943447
2021-09-08,8716.32905238102
2021-09-09,8447.715998785894
2021-09-10,8723.730327427125
2021-09-13,8678.991595468766
2021-09-14,8690.500328117747
2021-09-15,8420.3725865083
2021-09-16,8318.549295308612
2021-09-17,8337.553256732728
2021-09-20,8127.302602565106
2021-09-21,8193.562275178065
2021-09-22,8084.448101845527
2021-09-23,8031.307130236481
2021-09-24,7924.167138193781
2021-09-27,8253.129205640234
2021-09-28,8249.323110553298
2021-09-29,8057.852850615126
2021-09-30,8203.975431523251
2021-10-01,7984.786811104568
2021-10-04,8020.328663954858
2021-10-05,7679.91935235993
2021-10-06,7457.062767598285
2021-10-07,7488.273754460713
2021-10-08,7609.947437390587
2021-10-11,7637.504317376962
2021-10-12,7616.808076572857
2021-10-13,7565.171304988507
2021-10-14,7321.336952896572
2021-10-15,7204.877243856439
2021-10-18,7130.90654089218
2021-10-19,7297.866424020117
2021-10-20,7352.161969218427
2021-10-21,7070.698998592737
2021-10-22,7120.237151722498
2021-10-25,7058.884780908366
2021-10-26,6953.176866698828
2021-10-27,7046.43039966489
2021-10-28,7207.260168099984
2021-10-29,7355.570966960147
2021-11-01,7219.540318992568
2021-11-02,7169.314910460252
2021-11-03,7220.686866702215
2021-11-04,7376.469525868656
2021-11-05,7297.754154452444
2021-11-08,7266.753020379786
2021-11-09,7090.483130300801
2021-11-10,6904.793725517742
2021-11-11,7028.45376276324
2021-11-12,7240.609042153115
2021-11-15,7227.939195076213
2021-11-16,7388.436112748742
2021-11-17,7446.362997196219
2021-11-18,7339.997344039875
2021-11-19,7397.505245960458
2021-11-22,7651.407691113147
2021-11-23,7644.1149364311805
2021-11-24,7911.121244469566
2021-11-25,7465.89921452836
2021-11-26,7601.179537633694
2021-11-29,7614.535257057079
2021-11-30,7563.263460095103
2021-12-01,7577.34001181918
2021-12-02,7251.2709007083895
2021-12-03,7215.054528104228
2021-12-06,7270.896881772712
2021-12-07,7510.4881364092635
2021-12-08,7423.9405462349205
2021-12-09,7291.583138661255
2021-12-10,7210.182728963203
2021-12-13,7355.978058476499
2021-12-14,7408.277188638936
2021-12-15,7321.052552977829
2021-12-16,7403.15974580595
2021-12-17,7417.807809427138
2021-12-20,7576.690495283867
2021-12-21,7459.094214944741
2021-12-22,7404.189777800839
2021-12-23,7339.25371338653
2021-12-24,7105.051439675413
2021-12-27,7150.420380121185
2021-12-28,7190.517805988301
2021-12-29,7190.1514630808915
2021-12-30,7151.888063708251
2021-12-31,6931.018032075819
2022-01-03,6865.9104779553845
2022-01-04,6813.11084419283
2022-01-05,6692.560789211037
2022-01-06,6667.712672056923
2022-01-07,6726.276132364103
2022-01-10,7010.748466795389
2022-01-11,7036.633467417754
2022-01-12,7075.546023618131
2022-01-13,7062.785697501464
2022-01-14,6769.118888878883
2022-01-17,6764.055678651238
2022-01-18,6771.9353898691415
2022-01-19,7148.714974531854
2022-01-20,7117.295200034559
2022-01-21,7163.599435475797
2022-01-24,7156.947448404546
2022-01-25,6973.74886076012
2022-01-26,7150.527434193873
2022-01-27,7268.871086050091
2022-01-28,7395.5459489323075
2022-01-31,7247.554640246022
2022-02-01,7473.991082218546
2022-02-02,7245.332994462506
2022-02-03,7338.488015144381
2022-02-04,7700.337395334014
2022-02-07,7532.757539094298
2022-02-08,7438.072926291136
2022-02-09,7453.213007678129
2022-02-10,7369.728967140226
2022-02-11,7120.858719695065
2022-02-14,7130.463974547351
2022-02-15,6964.257659776965
2022-02-16,7036.20569559825
2022-02-17,6893.8793813535
2022-02-18,7132.366756994089
2022-02-21,7009.107119032095
2022-02-22,6958.374101882951
2022-02-23,7083.14854949747
2022-02-24,6892.382535677923
2022-02-25,6925.900994530659
2022-02-28,7127.241330910956
2022-03-01,6877.93791256705
2022-03-02,6904.863293508825
2022-03-03,6943.404214199076
2022-03-04,7062.972936010228
2022-03-07,6871.828090512314
2022-03-08,6673.557967837207
2022-03-09,6749.694101332281
2022-03-10,6792.923385054915
2022-03-11,6829.425455877729
2022-03-14,6880.665135497323
2022-03-15,6777.162456741991
2022-03-16,6810.840403845776
2022-03-17,6853.870094687871
2022-03-18,6745.663211696223
2022-03-21,7027.792056989329
2022-03-22,7100.43411793197
2022-03-23,6915.231633623672
2022-03-24,7014.913745625726
2022-03-25,6864.649737321491
2022-03-28,6983.672400432473
2022-03-29,7163.193142932692
2022-03-30,7033.59402598938
2022-03-31,7183.412675249516
2022-04-01,7247.900542689028
2022-04-04,7379.2564316634525
2022-04-05,7693.144002038366
2022-04-06,7650.38178395198
2022-04-07,7523.064303587193
2022-04-08,7375.752286167075
2022-04-11,7243.085468965181
2022-04-12,7229.599655664756
2022-04-13,7282.991262617825
2022-04-14,7326.35729345275
2022-04-15,7459.9776607711465
2022-04-18,7460.89510267066
2022-04-19,7702.609115097057
2022-04-20,7656.540825603765
2022-04-21,8128.453586915618
2022-04-22,8240.010948813671
2022-04-25,8084.425511758004
2022-04-26,7894.487915365766
2022-04-27,7977.607943823615
2022-04-28,7937.1004689070405
2022-04-29,8061.717063830389
2022-05-02,8144.9392824665665
2022-05-03,8130.540230594483
2022-05-04,7978.844754074214
2022-05-05,7715.495435461831
2022-05-06,7638.6606568430425
2022-05-09,7782.988646699702
2022-05-10,7818.533790351622
2022-05-11,7605.467475150499
2022-05-12,7633.313192162047
2022-05-13,7697.177802500536
2022-05-16,7547.397691984084
2022-05-17,7571.78210724723
2022-05-18,7580.264912711096
2022-05-19,7390.418257363183
2022-05-20,7447.728677807622
2022-05-23,7539.150852163772
2022-05-24,7720.08134974903
2022-05-25,7900.257567140607
2022-05-26,7662.642647713373
2022-05-27,7504.5997186985605
2022-05-30,7589.061226482131
2022-05-31,7674.261928258185
2022-06-01,7760.635046747356
2022-06-02,8447.286125721721
2022-06-03,8552.883549968155
2022-06-06,8768.288750123429
2022-06-07,8953.206472950551
2022-06-08,9081.232033578457
2022-06-09,9016.850873165971
2022-06-10,9167.504885826052
2022-06-13,9011.146121878495
2022-06-14,8962.751071556284
2022-06-15,8865.898324751059
2022-06-16,8880.463333884882
2022-06-17,9343.897597785251
2022-06-20,8965.558909773072
2022-06-21,9100.754963990046
2022-06-22,8781.406952129546
2022-06-23,8689.086647033748
2022-06-24,8898.771587024403
2022-06-27,8909.933643287672
2022-06-28,8699.286968948212
2022-06-29,8561.765422586557
2022-06-30,8689.595942226992
2022-07-01,8549.387818769825
2022-07-04,8588.880942605814
2022-07-05,8596.107867109899
2022-07-06,8472.108367458944
2022-07-07,8880.743074224987
2022-07-08,9004.263102666062
2022-07-11,8609.655066458414
2022-07-12,8643.706608428958
2022-07-13,8517.107482941816
2022-07-14,8677.274518998362
2022-07-15,8525.574010610479
2022-07-18,8502.642200372198
2022-07-19,8596.431667586448
2022-07-20,8760.663220096656
2022-07-21,8530.46499907345
2022-07-22,8466.397757167135
2022-07-25,8376.832615883515
2022-07-26,8255.6814793569
2022-07-27,8581.961876285422
2022-07-28,8657.516137078972
2022-07-29,8418.774679220858
