period,n,accuracy,auc
2018,3,,
2019,252,0.5357142857142857,0.5286569987389659
2020,253,0.48221343873517786,0.4316910362364908
2021,252,0.5912698412698413,0.5588624338624338
2022,251,0.5338645418326693,0.5351880081300813
2023,251,0.4701195219123506,0.4714285714285714
2024,252,0.5,0.4950239355001259
2025,252,0.5873015873015873,0.5183418693982075
2026,118,0.5508474576271186,0.5514367816091954
first_half,942,0.5414012738853503,0.5324741198961189
second_half,942,0.5191082802547771,0.5206926133285171
recent_12mo,253,0.5652173913043478,0.550407268170426
