feature,feature_category,boruta_support,boruta_tentative,boruta_ranking,boruta_support_strict,boruta_ranking_strict,pearson_corr_with_target,spearman_corr_with_target,missing_pct,abs_corr
copper_etf,copper_price,True,False,1,True,1,0.9950417255817956,0.9878386440749215,0.0,0.9950417255817956
lme_copper,copper_price,True,False,1,True,1,0.99320575721243,0.9879474607334794,0.0,0.99320575721243
ppi_steel,macro_demand,True,False,1,True,1,0.9033731624532355,0.8656141167896539,0.0,0.9033731624532355
ppi_allcommod,macro_demand,True,False,1,False,2,0.8240356141307668,0.8614326689161745,0.0,0.8614326689161745
aluminum,copper_price,True,False,1,True,1,0.8358240924520574,0.8313186155968597,0.0022222222222222222,0.8358240924520574
construction_spend,macro_demand,True,False,1,True,1,0.8029926947853272,0.7822417567486079,0.0,0.8029926947853272
housing_starts,macro_demand,True,False,1,True,1,0.7792354047568399,0.7479555648670592,0.0,0.7792354047568399
brent_oil,energy_cost,True,False,1,False,2,0.7334330461656147,0.7656045760026687,0.0,0.7656045760026687
diesel,energy_cost,True,False,1,True,1,0.6886987217750892,0.7575862517081144,0.0022222222222222222,0.7575862517081144
yield_curve_2s10s,financial,True,False,1,True,1,-0.27361847734171324,-0.28004030224344606,0.0,0.28004030224344606
ust_2y,financial,True,False,1,True,1,0.2577472338780382,0.19133479495693415,0.0,0.2577472338780382
vix,financial,True,False,1,True,1,0.1542460431370656,0.2489200327259817,0.0,0.2489200327259817
ust_10y_chg_30d,financial,True,False,1,False,2,0.23889272134379558,0.23609585405698705,0.008888888888888889,0.23889272134379558
dxy,financial,True,False,1,True,1,0.2328641366012053,0.19198084518824432,0.0,0.2328641366012053
ust_10y,financial,True,False,1,False,2,0.19278405383539582,0.20006071601088526,0.0,0.20006071601088526
fed_funds,financial,True,False,1,True,1,0.19074888781583973,0.018368243455421183,0.0,0.19074888781583973
wti_oil_chg_30d,energy_cost,True,False,1,False,3,0.12180120549681976,0.18841219514289656,0.008888888888888889,0.18841219514289656
yield_curve_2s10s_chg_30d,financial,True,False,1,True,1,-0.10665384688031943,-0.08599472441872422,0.008888888888888889,0.10665384688031943
dxy_chg_30d,financial,True,False,1,False,4,-0.07535737008606667,-0.08844764421270652,0.008888888888888889,0.08844764421270652
ip_manufacturing,macro_demand,False,True,2,False,10,-0.0989944076822222,-0.3754877086978819,0.0,0.3754877086978819
ust_2y_chg_30d,financial,False,True,2,False,7,0.30308094613193604,0.2869148835543015,0.008888888888888889,0.30308094613193604
diesel_chg_30d,energy_cost,False,True,2,False,6,0.3017798178831392,0.26369974846753313,0.011111111111111112,0.3017798178831392
mfg_employment,macro_demand,False,True,2,False,4,0.2686327436976546,0.28249162962217983,0.0,0.28249162962217983
vix_chg_30d,financial,False,False,3,False,8,-0.06759529448003036,-0.018093262062776845,0.008888888888888889,0.06759529448003036
wti_oil,energy_cost,False,False,4,False,12,0.7603371452512503,0.7771313429008532,0.0,0.7771313429008532
fed_funds_chg_30d,financial,False,False,4,False,9,0.24963985675858621,0.11262624802805352,0.008888888888888889,0.24963985675858621
indpro_chg_30d,macro_demand,False,False,6,False,10,0.11638415138838905,0.1845363162744425,0.008888888888888889,0.1845363162744425
mfg_new_orders,macro_demand,False,False,7,False,13,0.8199497751587523,0.8400802012025395,0.0,0.8400802012025395
indpro,macro_demand,False,False,8,False,14,0.12259965759039661,0.12962929017205713,0.0,0.12962929017205713
ip_manufacturing_chg_30d,macro_demand,False,False,9,False,15,0.07691269636156908,0.10149012671018018,0.008888888888888889,0.10149012671018018
ppi_steel_chg_30d,macro_demand,False,False,10,False,16,0.27254857120885595,0.2497731951322623,0.008888888888888889,0.27254857120885595
housing_starts_chg_30d,macro_demand,False,False,11,False,17,-0.006736401858795307,0.012808855779252936,0.008888888888888889,0.012808855779252936
construction_spend_chg_30d,macro_demand,False,False,12,False,18,0.2504149775532472,0.2443786662104953,0.008888888888888889,0.2504149775532472
mfg_new_orders_chg_30d,macro_demand,False,False,13,False,19,0.18375429485128955,0.19619418400356672,0.008888888888888889,0.19619418400356672
