feature,boruta_status
copper_etf,confirmed
lme_copper,confirmed
ppi_steel,confirmed
ppi_allcommod,confirmed
aluminum,confirmed
construction_spend,confirmed
housing_starts,confirmed
brent_oil,confirmed
diesel,confirmed
yield_curve_2s10s,confirmed
ust_2y,confirmed
vix,confirmed
ust_10y_chg_30d,confirmed
dxy,confirmed
ust_10y,confirmed
fed_funds,confirmed
wti_oil_chg_30d,confirmed
yield_curve_2s10s_chg_30d,confirmed
dxy_chg_30d,confirmed
ip_manufacturing,tentative
ust_2y_chg_30d,tentative
diesel_chg_30d,tentative
mfg_employment,tentative
