feature,feature_category,boruta_ranking,abs_corr_with_target
lme_copper,copper_price,1,0.99320575721243
ppi_allcommod,macro_demand,1,0.8614326689161745
aluminum,copper_price,1,0.8358240924520574
housing_starts,macro_demand,1,0.7792354047568399
brent_oil,energy_cost,1,0.7656045760026687
yield_curve_2s10s,financial,1,0.28004030224344606
ust_2y,financial,1,0.2577472338780382
vix,financial,1,0.2489200327259817
ust_10y_chg_30d,financial,1,0.23889272134379558
dxy,financial,1,0.2328641366012053
wti_oil_chg_30d,energy_cost,1,0.18841219514289656
yield_curve_2s10s_chg_30d,financial,1,0.10665384688031943
dxy_chg_30d,financial,1,0.08844764421270652
ip_manufacturing,macro_demand,2,0.3754877086978819
ust_2y_chg_30d,financial,2,0.30308094613193604
diesel_chg_30d,energy_cost,2,0.3017798178831392
mfg_employment,macro_demand,2,0.28249162962217983
