,comex_copper,lme_copper,ppi_allcommod,aluminum,brent_oil,ust_2y,housing_starts,dxy,mfg_employment,yield_curve_2s10s,diesel_chg_30d,ip_manufacturing,ust_2y_chg_30d,ust_10y_chg_30d,dxy_chg_30d,wti_oil_chg_30d,vix,yield_curve_2s10s_chg_30d
comex_copper,1.0,0.9891671148329257,0.878819664296322,0.8640670022748794,0.6561194445512765,0.5470330537977034,0.5036417403236069,0.47896263357112023,0.33528969700080924,-0.2767262409130103,0.21093362797781276,-0.1791890571321717,0.12769779410643875,0.12310153478852554,-0.09203675148440234,0.07839623516702521,0.07414662679479761,-0.008487459019863417
lme_copper,0.9891671148329257,1.0,0.8804274641848049,0.8751871278616604,0.6751760990928934,0.5392808377508388,0.5210764762885114,0.4684023812547333,0.33907538208408766,-0.28628061692597806,0.22819008939152333,-0.17375821301800365,0.14800446531880346,0.1361361958452298,-0.06052102676847661,0.08473284989450487,0.08454674995137551,-0.02046971958021462
ppi_allcommod,0.878819664296322,0.8804274641848049,1.0,0.7699035837688826,0.8063328633787321,0.7683119818654025,0.49038395722000605,0.6922866259123529,0.5786160451906802,-0.5700215259142933,0.12141885352518031,-0.20022584639771396,0.1646981725849603,0.13326492218952873,0.006164410239174182,-0.01333420195852959,0.13562753787864912,-0.052405459761545224
aluminum,0.8640670022748794,0.8751871278616604,0.7699035837688826,1.0,0.7558888356510405,0.469518151630728,0.4219277692834717,0.29595954881285447,0.40281299165457435,-0.22806340115545015,0.2790017026303315,0.08643406238940922,0.25269235416175606,0.1619326004936993,0.004980727340566984,0.07697707726239664,0.01865964646594036,-0.1495207518046279
brent_oil,0.6561194445512765,0.6751760990928934,0.8063328633787321,0.7558888356510405,1.0,0.6383177599843668,0.4948508222539621,0.4008103154712279,0.6705971958662471,-0.5239036200508994,0.3268950382207916,0.12542991924779104,0.31918825141887935,0.2424310810884361,0.0878996221541449,0.12579236891975903,-0.020247098311589544,-0.12730897461013452
ust_2y,0.5470330537977034,0.5392808377508388,0.7683119818654025,0.469518151630728,0.6383177599843668,1.0,0.10779988880007624,0.6913740785248607,0.7948783131679876,-0.7947360097717296,-0.02966641484364888,-0.03473915390118044,0.07931239618048737,0.08260301762702223,-0.0005998058502206859,-0.0840555113057338,-0.11478697446455154,0.004717728458771758
housing_starts,0.5036417403236069,0.5210764762885114,0.49038395722000605,0.4219277692834717,0.4948508222539621,0.10779988880007624,1.0,0.28460142427070995,0.23206050502727454,-0.24833230032431594,0.2584679480588226,-0.11581500042675666,0.19709149303720136,0.1544071287079074,-0.04797236981809401,0.060923532456029744,0.21061930733992296,-0.07095194333931264
dxy,0.47896263357112023,0.4684023812547333,0.6922866259123529,0.29595954881285447,0.4008103154712279,0.6913740785248607,0.28460142427070995,1.0,0.43410326177973435,-0.6609112879266771,-0.08761931209029418,-0.5163784971456387,-0.026345295122711682,0.018164755020543828,0.0967152988699478,-0.10903597044383344,0.3058380498325686,0.07256077529167773
mfg_employment,0.33528969700080924,0.33907538208408766,0.5786160451906802,0.40281299165457435,0.6705971958662471,0.7948783131679876,0.23206050502727454,0.43410326177973435,1.0,-0.7315439254680167,-0.015398621860841734,0.3531288345292973,0.026804073516169605,-0.009473964126383558,0.05631036547251785,-0.1931789285193509,-0.1803110116294038,-0.059183284568260094
yield_curve_2s10s,-0.2767262409130103,-0.28628061692597806,-0.5700215259142933,-0.22806340115545015,-0.5239036200508994,-0.7947360097717296,-0.24833230032431594,-0.6609112879266771,-0.7315439254680167,1.0,0.10018610939092135,0.22263742917543733,-0.019605879637294554,0.02980016707547964,0.03403251560673826,0.07840733247259203,-0.0713604333206847,0.08046558775367976
