Outbound Ticket Id,Status,Customer Name,Invoice Id,Invoice Issue Date,Invoice Status,Commodity Name,Material Name,Yard Net Weight,Yard Value,Consumer Net Weight,Consumer Value,Amount (Invoice Currency),Cost Of Goods Sold (Yard Currency),Cost Of Goods Sold (Invoice Currency),Margin,Commodity Type,Sales Order #,Carrier Name,Ship To Name,Ship To Address,Ship To City,Ship To State,Ship To Zip
1452,INVOICED,Padnos,1507,"03-05-26, 12:51:36",OPEN,STEEL,STEEL TURNING,"11,960","$1,575.09","11,960","$1,575.09","$1,575.09",$531.43,$531.43,"$1,043.66",FERROUS,395,BMR Transport - 1,Dowagiac,30750 Edwards St,Dowagiac,MI,49047
1451,INVOICED,Omni Source,1506,"03-05-26, 12:50:50",OPEN,STEEL,STEEL WIRE,"25,600","$2,582.86","25,600","$2,582.86","$2,582.86","$1,485.71","$1,485.71","$1,097.15",FERROUS,398,BMR Transport - 3,Omni - South Bend,1305 Prairie Ave,South Bend,IN,46680
1449,INVOICED,Omni Source,1501,"03-04-26, 14:45:29",OPEN,STEEL,BUSHELING,"34,120","$5,453.11","34,120","$5,453.11","$5,453.11","$4,480.24","$4,480.24",$972.87,FERROUS,399,BMR Transport - 3,Omni - South Bend,1305 Prairie Ave,South Bend,IN,46680
1450,INVOICED,Omni Source,1502,"03-04-26, 06:54:28",OPEN,STEEL,BUSHELING,"24,820","$3,966.77","24,820","$3,966.77","$3,966.77","$3,215.35","$3,215.35",$751.42,FERROUS,399,BMR Transport - 3,Omni - South Bend,1305 Prairie Ave,South Bend,IN,46680
1443,INVOICED,Padnos,1494,"03-02-26, 14:42:49",OPEN,STEEL,STEEL TURNING,"14,240","$1,875.36","14,240","$1,875.36","$1,875.36",$587.43,$587.43,"$1,287.93",FERROUS,379,BMR Transport - 1,Dowagiac,30750 Edwards St,Dowagiac,MI,49047
1442,INVOICED,Omni Source,1493,"03-02-26, 14:42:12",OPEN,STEEL,STEEL WIRE,"20,060","$2,023.91","20,060","$2,023.91","$2,023.91","$1,164.20","$1,164.20",$859.71,FERROUS,178,BMR Transport - 3,Omni - South Bend,1305 Prairie Ave,South Bend,IN,46680
1440,INVOICED,Padnos,1487,"02-27-26, 12:50:35",OPEN,STEEL,STEEL BANDING (fe),"38,700","$5,010.27","38,700","$5,010.27","$5,010.27","$1,468.53","$1,468.53","$3,541.74",FERROUS,383,BMR Transport - 2,Holland Location,140 West 7th Street,Holland,MI,49423
1438,INVOICED,Padnos,1492,"02-27-26, 11:53:07",OPEN,STEEL,STEEL TURNING,"47,660","$5,957.50","47,660","$5,957.50","$5,957.50","$1,649.04","$1,649.04","$4,308.46",FERROUS,384,Padnos Trucking,Holland Location,140 West 7th Street,Holland,MI,49423
1434,INVOICED,Padnos,1485,"02-27-26, 11:51:28",OPEN,STEEL,STEEL TURNING,"44,420","$5,552.50","44,420","$5,552.50","$5,552.50","$1,538.01","$1,538.01","$4,014.49",FERROUS,384,Padnos Trucking,Holland Location,140 West 7th Street,Holland,MI,49423
1444,INVOICED,Omni Source,1498,"02-27-26, 07:15:40",OPEN,STEEL,CLEAN SHEET,"18,080","$2,542.50","18,080","$2,542.50","$2,542.50","$1,252.94","$1,252.94","$1,289.56",FERROUS,403,Stone Transport,Omni - South Bend,1305 Prairie Ave,South Bend,IN,46680
