Material Name,Material Code,Commodity Name,Hold Total,Total Wip Weight,Total Wip Cost,Total FG Weight,Total FG Cost,Total Net Weight,Total Cost,Average Cost,Commodity Type
1100 SERIES,Al01100,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
"#1 COPPER",CU00001,COPPER TIER 1,0,333,1660.5652,0,0,333,1660.5652,4.9867,NON_FERROUS
"#1 ICW 60%",CUIN160,COPPER TIER 2,0,4386,10618.5128,0,0,4386,10618.5128,2.4210,NON_FERROUS
"#1 ICW 72%",CUIN172,COPPER TIER 2,0,38,114.0000,0,0,38,114.0000,3.0000,NON_FERROUS
"#1 ICW 80%",ICW80,COPPER TIER 2,0,1921,7227.0564,0,0,1921,7227.0564,3.7621,NON_FERROUS
"#1 ICW 85%",CUIN185,COPPER TIER 2,0,156,522.3069,0,0,156,522.3069,3.3481,NON_FERROUS
"#1 ICW 88%",CUIN188,COPPER TIER 2,0,273,1196.2744,0,0,273,1196.2744,4.3820,NON_FERROUS
"#1 ICW 90%",CUIN190,COPPER TIER 2,0,572,1982.7093,0,0,572,1982.7093,3.4663,NON_FERROUS
201 STAINLESS CLIP,201,STAINLESS STEEL TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
"#2 COPPER",CU00002,COPPER TIER 1,0,449.0,2155.2123,0,0,449.0,2155.2123,4.8000,NON_FERROUS
"#2 ICW 20% - CHRISTMAS LIGHTS",CUIN220,COPPER TIER 2,0,72,14.4000,0,0,72,14.4000,0.2000,NON_FERROUS
"#2 ICW 35%",CUIN235,COPPER TIER 2,0,614,47.2166,0,0,614,47.2166,0.0769,NON_FERROUS
"#2 ICW 45%",CUIN245,COPPER TIER 2,0,1664,1821.7352,0,0,1664,1821.7352,1.0948,NON_FERROUS
"#2 ICW 55%",CUIN255,COPPER TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
"#2 ICW 65%",CUIN265,COPPER TIER 2,0,9,11.7000,0,0,9,11.7000,1.3000,NON_FERROUS
"#2 ICW 80%",CUIN280,COPPER TIER 2,0,176,441.5368,0,0,176,441.5368,2.5087,NON_FERROUS
3003 AL PAINTED,PTD3003,ALUMINUM,0,45,9.0000,0,0,45,9.0000,0.2000,NON_FERROUS
304 STAINLESS L,304SSL,STAINLESS STEEL TIER 1,0,5170,1034.0000,0,0,5170,1034.0000,0.2000,NON_FERROUS
