Yard Name,Date In,Outbound Ticket # Link,Outbound Ticket #,Status,Customer Name,Material,Material Code,Gross Weight,Net Weight,Commodity Type,Commodity Name,Tare,Cost,Employee Name,Sales Order,Contract Price(s),Expected Value,Currency,Account Manager,Driver,Carrier Name,Trailer #,Truck #,Container,Created Date,Latest Ship Date,Tkt #,Sequence,Last Updated
Benton Metals,2026-06-18T07:17:14.635Z[UTC],https://app.greensparksoftware.com/app/sales/outbound-tickets/32729846-a5bc-47c9-9e7c-e909d0d1efe2,1735,INCOMPLETE,RESERVE MARINE TERMINALS,ALUMINUM BREAK,ALUBREAK,54360,16360,NON_FERROUS,ALUMINUM,38000,0.0000,Jamie Miller,513,1.0500/lbs,17178.0000,USD,,Brad Smith,BMR Transport,,,,2026-06-18T07:18:19.663375Z[UTC],,,,2026-06-18T07:18:19.663375Z[UTC]
Benton Metals,2026-06-17T12:29:22.29Z[UTC],https://app.greensparksoftware.com/app/sales/outbound-tickets/bb53f48d-c068-46f3-98af-2ad9774f6922,1734,INVOICED,Beacon Recycling,SHEET IRON,SHIRST,92920,42360,FERROUS,STEEL,50560,3223.5764,Alexus Thomas,493,295.0000/gt,5578.6607142857142857,USD,Jim Laporte,,Stone Transport,G5A243,22639,,2026-06-17T12:30:11.626477Z[UTC],2026-06-17T19:20:14.025794Z[UTC],,,2026-06-17T14:20:43.738557Z[UTC]
Benton Metals,2026-06-17T11:23:09.597Z[UTC],https://app.greensparksoftware.com/app/sales/outbound-tickets/d01271c1-7bda-44b3-95a9-0a1c3f008392,1733,INVOICED,Padnos,STEEL TURNING,TURNSTEEL,125200,75440,FERROUS,STEEL,49760,2486.0387,Alexus Thomas,488,270.0000/gt,9093.2142857142857143,USD,Jim Laporte,,Padnos Trucking,2601,2004,,2026-06-17T11:23:54.175298Z[UTC],2026-06-17T17:05:01.297738Z[UTC],,,2026-06-17T12:05:13.861645Z[UTC]
Benton Metals,2026-06-16T13:25:35.593Z[UTC],https://app.greensparksoftware.com/app/sales/outbound-tickets/9ff9746b-e164-482f-9326-d272718dbe78,1732,INVOICED,Beacon Recycling,SHEET IRON,SHIRST,94680,41520,FERROUS,STEEL,53160,3139.1489,Alexus Thomas,493,295.0000/gt,5468.0357142857142857,USD,Jim Laporte,,Stone Transport,,49,,2026-06-16T13:25:59.341884Z[UTC],2026-06-16T19:16:19.518811Z[UTC],,,2026-06-16T14:42:02.483386Z[UTC]
Benton Metals,2026-06-16T12:56:09.631Z[UTC],https://app.greensparksoftware.com/app/sales/outbound-tickets/6b5bf35a-52f8-419a-9e56-b6e5e146b794,1731,INVOICED,Beacon Recycling,SHEET IRON,SHIRST,86840,36260,FERROUS,STEEL,50580,2741.4629,Alexus Thomas,493,295.0000/gt,4775.3125000000000000,USD,Jim Laporte,,Stone Transport,G5A243,22639,,2026-06-16T12:56:39.613418Z[UTC],2026-06-16T19:09:30.121367Z[UTC],,,2026-06-16T14:41:06.223365Z[UTC]
Benton Metals,2026-06-15T14:40:43.144Z[UTC],https://app.greensparksoftware.com/app/sales/outbound-tickets/dd282888-da86-41b4-b75d-aee2ef215f64,1728,INVOICED,Omni Source,STEEL WIRE,STWR,94260,36060,FERROUS,STEEL,58200,1770.8000,Alexus Thomas,490,226.0000/gt,3638.1964285714285714,USD,Jim Laporte,,BMR Transport - 3,,,,2026-06-15T14:41:03.99904Z[UTC],2026-06-15T19:41:03.99904Z[UTC],,,2026-06-15T14:42:23.603183Z[UTC]
Benton Metals,2026-06-15T13:21:11.594Z[UTC],https://app.greensparksoftware.com/app/sales/outbound-tickets/0fc46a7f-02e0-4ee3-9e5f-7fa8b546427a,1727,INCOMPLETE,Natural Ventures,LITHIUM ION BATTERIES,LIOB,45301,40397,NON_FERROUS,LEAD,4904,2083.5916,Alexus Thomas,509,0.1450/lbs,5857.5650,USD,Dayle Dodson,,,,,,2026-06-15T13:23:54.813675Z[UTC],,,,2026-06-15T13:23:54.813675Z[UTC]
Benton Metals,2026-06-15T11:21:18.844Z[UTC],https://app.greensparksoftware.com/app/sales/outbound-tickets/219ee80a-89b3-4593-a219-413c673e381a,1726,INVOICED,Padnos,STEEL TURNING,TURNSTEEL,122420,72980,FERROUS,STEEL,49440,2404.9722,Alexus Thomas,488,270.0000/gt,8796.6964285714285714,USD,Jim Laporte,,,2601,2004,,2026-06-15T11:22:36.902481Z[UTC],2026-06-15T17:39:14.05553Z[UTC],,,2026-06-15T12:39:17.975351Z[UTC]
Benton Metals,2026-06-12T12:10:20.84Z[UTC],https://app.greensparksoftware.com/app/sales/outbound-tickets/19062264-4446-4ca4-8f3f-6fe752a895b1,1720,PAID,Padnos,STEEL TURNING,TURNSTEEL,111800,62320,FERROUS,STEEL,49480,2053.6841,Alexus Thomas,488,270.0000/gt,7511.7857142857142857,USD,Jim Laporte,,Padnos Trucking,2601,2004,,2026-06-12T12:11:14.543125Z[UTC],2026-06-12T17:41:04.839926Z[UTC],,,2026-06-17T14:43:10.070477Z[UTC]
Benton Metals,2026-06-12T08:37:22.658Z[UTC],https://app.greensparksoftware.com/app/sales/outbound-tickets/91713f11-0406-4795-ad22-761860ab3b16,1719,INVOICED,Beacon Recycling,SHEET IRON,SHIRST,82100,28560,FERROUS,STEEL,53540,2128.8687,Alexus Thomas,493,295.0000/gt,3761.2500000000000000,USD,Jim Laporte,,Stone Transport,,49,,2026-06-12T08:39:11.353556Z[UTC],2026-06-12T14:12:06.462181Z[UTC],,,2026-06-12T09:12:09.304416Z[UTC]
