Material Name,Total Wip Weight,Total FG Weight,Total Net Weight,Commodity Type,Material Code,Commodity Name,Total Wip Cost,Total FG Cost,Total Cost,Average Cost
1100 SERIES,0,0,0,NON_FERROUS,Al01100,ALUMINUM,0,0,0,
"#1 COPPER",2549,0,2549,NON_FERROUS,CU00001,COPPER TIER 1,12473.0676,0,12473.0676,4.8933
"#1 ICW 60%",1720,0,1720,NON_FERROUS,CUIN160,COPPER TIER 2,5254.4958,0,5254.4958,3.0549
"#1 ICW 80%",1930,0,1930,NON_FERROUS,ICW80,COPPER TIER 2,7042.7203,0,7042.7203,3.6491
"#1 ICW 85%",156,0,156,NON_FERROUS,CUIN185,COPPER TIER 2,522.3069,0,522.3069,3.3481
"#1 ICW 88%",0,1880,1880,NON_FERROUS,CUIN188,COPPER TIER 2,0,6720.3840,6720.3840,3.5747
"#1 ICW 90%",1085,0,1085,NON_FERROUS,CUIN190,COPPER TIER 2,3717.8312,0,3717.8312,3.4266
201 STAINLESS CLIP,0,0,0,NON_FERROUS,201,STAINLESS STEEL TIER 2,0,0,0,
"#2 COPPER",1569.0,0,1569.0,NON_FERROUS,CU00002,COPPER TIER 1,7528.0104,0,7528.0104,4.7980
"#2 ICW 20% - CHRISTMAS LIGHTS",65,0,65,NON_FERROUS,CUIN220,COPPER TIER 2,13.0000,0,13.0000,0.2000
"#2 ICW 35%",614,0,614,NON_FERROUS,CUIN235,COPPER TIER 2,47.2166,0,47.2166,0.0769
"#2 ICW 45%",904,0,904,NON_FERROUS,CUIN245,COPPER TIER 2,1061.7352,0,1061.7352,1.1745
"#2 ICW 55%",0,0,0,NON_FERROUS,CUIN255,COPPER TIER 2,0,0,0,
"#2 ICW 65%",0,0,0,NON_FERROUS,CUIN265,COPPER TIER 2,0,0,0,
"#2 ICW 80%",154,0,154,NON_FERROUS,CUIN280,COPPER TIER 2,386.5368,0,386.5368,2.5100
3003 AL PAINTED,45,0,45,NON_FERROUS,PTD3003,ALUMINUM,9.0000,0,9.0000,0.2000
304 STAINLESS L,0,0,0,NON_FERROUS,304SSL,STAINLESS STEEL TIER 1,0,0,0,
304 STAINLESS OVERSIZED,1358,0,1358,NON_FERROUS,304SSOS,STAINLESS STEEL TIER 1,339.5000,0,339.5000,0.2500
304 STAINLESS SOLIDS,19000,6188,25188,NON_FERROUS,NISS300,STAINLESS STEEL TIER 1,5302.0944,1729.4861,7031.5805,0.2792
304 STAINLESS STEEL TURNINGS,728,0,728,NON_FERROUS,NI300BO,STAINLESS STEEL TIER 1,174.7200,0,174.7200,0.2400
304 STAINLESS WITH POLY,0,0,0,NON_FERROUS,304STNPLY,STAINLESS STEEL TIER 1,0,0,0,
316 STAINLESS STEEL SOLIDS,40018,3372,43390,NON_FERROUS,NISS316,STAINLESS STEEL TIER 1,22510.5058,1905.9738,24416.4796,0.5627
380 PTD NEW CAST,0,0,0,NON_FERROUS,380PTDNC,ALUMINUM,0,0,0,
"#3 COPPER",290,0,290,NON_FERROUS,CU00003,COPPER TIER 1,990.9648,0,990.9648,3.4171
"#3 Cu MICA 98%",0,0,0,NON_FERROUS,CU0003MICA,COPPER TIER 1,0,0,0,
409 STAINLESS,9,6689,6698,NON_FERROUS,409SS,STAINLESS STEEL TIER 1,1.0231,792.1648,793.1879,0.1184
5052 ALUMINUM,429,0,429,NON_FERROUS,AL05052,ALUMINUM,171.6000,0,171.6000,0.4000
6061 AL RIMS,486,704,1190,NON_FERROUS,6061ALR,ALUMINUM,215.8601,320.8762,536.7363,0.4510
6061 ALUMINUM EXTRUSIONS,752,0,752,NON_FERROUS,ALEXTRU,ALUMINUM,646.3665,0,646.3665,0.8595
6061 ALUMINUM - SPC,973,1643,2616,NON_FERROUS,AL06061,ALUMINUM,642.1989,1084.4980,1726.6969,0.6601
6061 PAINTED SPC,0,0,0,NON_FERROUS,6061PTDSPCAL,ALUMINUM,0,0,0,
6061 TRUCK WHEELS,0,0,0,NON_FERROUS,TRWLS,ALUMINUM,0,0,0,
6061 TURNINGS,835,165,1000,NON_FERROUS,AL6061TURNS,ALUMINUM,417.5000,82.5000,500.0000,0.5000
6063 AL SOLIDS,0,0,0,NON_FERROUS,6063ALS,ALUMINUM,0,0,0,
6063 BARE ALUMINUM EXTRUSION,47,1157,1204,NON_FERROUS,AL06063,ALUMINUM,48.2234,1122.3394,1170.5628,0.9722
6063 PAINTED EXTRUSION,7,1672,1679,NON_FERROUS,AL06310,ALUMINUM,5.2500,1188.5493,1193.7993,0.7110
6063 PIPE,249,0,249,NON_FERROUS,6063PIAL,ALUMINUM,249.0000,0,249.0000,1.0000
70/30 Brass Shells,192,0,192,NON_FERROUS,7030BR,BRASS TIER 2,441.6000,0,441.6000,2.3000
AC PUMPS,81,0,81,Other,ACPUM,OTHER,21.2117,0,21.2117,0.2619
ACR AL/CU RADIATOR ENDS,43,1077,1120,NON_FERROUS,ALCURAEND,ALUMINUM,21.5000,549.5976,571.0976,0.5099
ACSR WIRE,156,0,156,NON_FERROUS,AL0ACSR,ALUMINUM,81.3696,0,81.3696,0.5216
AL BX CABLE,459,0,459,NON_FERROUS,ALBXCBL,COPPER TIER 2,351.7530,0,351.7530,0.7663
AL/CU RADIATORS - CLEAN,1770,2116,3886,NON_FERROUS,ALCURAD,ALUMINUM,3450.3018,4229.2982,7679.6000,1.9762
AL/CU RADIATORS - FE,1508,0,1508,NON_FERROUS,ALCURFE,ALUMINUM,1729.7034,0,1729.7034,1.1470
AL DUST,0,0,0,NON_FERROUS,ALDUST,ALUMINUM,0,0,0,
ALTERNATORS,107,0,107,NON_FERROUS,CUALTER,COPPER TIER 3,21.5594,0,21.5594,0.2015
ALUM ARMATURE,32,0,32,NON_FERROUS,ALUARM,ALUMINUM,3.1016,0,3.1016,0.0969
ALUM BARE EC WIRE,441,0,441,NON_FERROUS,ALUMBRECWR,ALUMINUM,220.0590,0,220.0590,0.4990
ALUM BX WIRE,0,0,0,NON_FERROUS,ALBXWI,COPPER TIER 2,0,0,0,
ALUMINIUM TURNS,1226,681,1907,NON_FERROUS,ALUTURN,ALUMINUM,265.5419,141.8081,407.3500,0.2136
ALUMINUM BREAK,22904,1219,24123,NON_FERROUS,ALUBREAK,ALUMINUM,2314.7469,129.5958,2444.3427,0.1013
ALUMINUM/BRONZE,842,0,842,NON_FERROUS,ALBRZ,ALUMINUM,1925.8552,0,1925.8552,2.2872
ALUMINUM BRONZE TURNINGS,0,0,0,NON_FERROUS," ALBZTS1",ALUMINUM,0,0,0,
ALUMINUM CANS,1141,853,1994,NON_FERROUS,AL00UBC,ALUMINUM,456.3995,341.1994,797.5989,0.4000
ALUMINUM DIE-CAST,3,0,3,NON_FERROUS,ALDCAST,ALUMINUM,1.2000,0,1.2000,0.4000
ALUMINUM FOIL,2,0,2,NON_FERROUS,ALFOIL,ALUMINUM,0.1200,0,0.1200,0.0600
ALUMINUM MLC,417,0,417,NON_FERROUS,ALUMLC,ALUMINUM,166.8000,0,166.8000,0.4000
ALUMINUM MOLDS,0,0,0,NON_FERROUS,ALMOLDS,ALUMINUM,0,0,0,
ALUMINUM NEW CAST,38,0,38,NON_FERROUS,ALNCST,ALUMINUM,15.2000,0,15.2000,0.4000
ALUMINUM OLD SHEET,2687.0,0,2687.0,NON_FERROUS,ALSHEET,ALUMINUM,1220.1436,0,1220.1436,0.4541
Aluminum Painted MLC,0,0,0,NON_FERROUS,PMLC,ALUMINUM,0,0,0,
ALUMINUM PAINTED SIDING,4616,0,4616,NON_FERROUS,ALPAINT,ALUMINUM,2638.7713,0,2638.7713,0.5717
ALUMINUM RADIATORS - CLEAN,91,0,91,NON_FERROUS,AL0RADS,ALUMINUM,31.8500,0,31.8500,0.3500
ALUMINUM RADIATORS - FE,1010,0,1010,NON_FERROUS,AL0RDFE,ALUMINUM,295.4659,0,295.4659,0.2925
ALUMINUM RIMS,330,2666,2996,NON_FERROUS,ALWHEEL,ALUMINUM,235.8974,1872.1749,2108.0723,0.7036
ALUMINUM THERMAL EXT,754,1666,2420,NON_FERROUS,ALTHERMEX,ALUMINUM,444.9456,949.0544,1394.0000,0.5760
ALUMINUM TRAILER STOCK,0,0,0,NON_FERROUS,ALTRSTK,ALUMINUM,0,0,0,
ALUM TRANSFORMERS,155,0,155,NON_FERROUS,ALTRANSF,ALUMINUM,13.9500,0,13.9500,0.0900
AUTO BATTERIES,2008,13709,15717,NON_FERROUS,LEAUTOB,LEAD,200.7427,1360.6225,1561.3652,0.0993
AUTO CAST,111909,0,111909,FERROUS,FEAUCST,STEEL,18353.3744,0,18353.3744,0.1640
BALLAST,460,0,460,NON_FERROUS,CUBALST,COPPER TIER 3,69.0000,0,69.0000,0.1500
BARE BRIGHT COPPER,3911,0,3911,NON_FERROUS,CUBB001,COPPER TIER 1,18130.4368,0,18130.4368,4.6358
Beryllium Copper Solids,0,0,0,NON_FERROUS,BrCuSds,COPPER TIER 1,0,0,0,
BRASS AUTO RADIATORS - CLEAN,160,0,160,NON_FERROUS,BRAUTOR,BRASS TIER 2,206.5000,0,206.5000,1.2906
BRASS AUTO RADIATORS - FE,221,0,221,NON_FERROUS,BRAUTOF,BRASS TIER 2,201.7473,0,201.7473,0.9129
BRONZE TURNINGS,101,0,101,NON_FERROUS,BRNZTRN,BRASS TIER 2,131.3000,0,131.3000,1.3000
BUSHELING,117298,0,117298,FERROUS,Indbush,STEEL,11329.9523,0,11329.9523,0.0966
CARBIDE,33,0,33,NON_FERROUS,NICARBD,STAINLESS STEEL TIER 2,660.0000,0,660.0000,20.0000
CARDBOARD,0,4017,4017,WA,CB2,ZWASTE,0,278.9922,278.9922,0.0695
CAST AL,14,0,14,NON_FERROUS,CASAL,ALUMINUM,4.2000,0,4.2000,0.3000
CHROME/NICKEL PLATED BRASS SHELLS,0,0,0,NON_FERROUS,CRNIBR7030,BRASS TIER 2,0,0,0,
CHROME RIMS,279,474,753,NON_FERROUS,ALWHLCR,ALUMINUM,106.2181,229.7667,335.9848,0.4462
CLEAN CAST ALUMINUM,747,1466,2213,NON_FERROUS,CCAL,ALUMINUM,309.0505,595.1075,904.1580,0.4086
CLEAN LEAD,0,0,0,NON_FERROUS,LESTRIP,LEAD,0,0,0,
CLEAN SHEET,80997,0,80997,FERROUS,CLSHST,STEEL,6774.6993,0,6774.6993,0.0836
COMMUNICATION WIRE,1020.0,2679,3699.0,NON_FERROUS,COMWIRECU,COPPER TIER 2,1598.4596,5153.6712,6752.1308,1.8254
COPPER/ALUMINUM TRANSFORMERS,61,0,61,NON_FERROUS,CUALTRAN,COPPER TIER 3,7.3200,0,7.3200,0.1200
COPPER ARMATURES,465,0,465,NON_FERROUS,COPARM,COPPER TIER 3,452.2393,0,452.2393,0.9726
Copper Breakers,0,0,0,NON_FERROUS,CuBkrs,COPPER TIER 3,0,0,0,
COPPER FUSES,33,0,33,NON_FERROUS,CUFUS,COPPER TIER 3,122.2629,0,122.2629,3.7049
COPPER TRANSFORMERS,267,0,267,NON_FERROUS,CU TRANS,COPPER TIER 3,53.4000,0,53.4000,0.2000
CU BUSS BAR,145,0,145,NON_FERROUS,CUBSBR,COPPER TIER 1,573.2248,0,573.2248,3.9533
DC MOTORS,17,0,17,NON_FERROUS,CUMOTORDC,COPPER TIER 3,0.0000,0,0.0000,0.0000
Dirty Aluminum Rims,9,0,9,NON_FERROUS,DALRS,ALUMINUM,3.6000,0,3.6000,0.4000
