Location,Material Code,Material Name,Commodity Name,Commodity Type,Total Wip Weight,Total FG Weight,Total Net Weight,Total Wip Cost,Total FG Cost,Total Cost,Average Cost
Milton,CLPBNDS,#1 BUNDLES,STEEL,FERROUS,0,0,0,0,0,0,
Milton,1018ST,1018 STEEL,STEEL,FERROUS,0,0,0,0,0,0,
Milton,4140SOLS,4140 SOLIDS,STEEL,FERROUS,251,3004,3255,20.1695,241.3905,261.5600,0.0804
Milton,AAAPRT,AA AUTO PARTS,STEEL,FERROUS,0,0,0,0,0,0,
Milton,FE0DEAT,AUTO BODY - COMPLETE,STEEL,FERROUS,166580,0,166580,15214.8000,0,15214.8000,0.0913
Milton,AUCORESTEEL,AUTO BODY - CORE ,STEEL,FERROUS,11370,0,11370,1218.2100,0,1218.2100,0.1071
Milton,FE0AUTO,AUTO BODY - INCOMPLETE,STEEL,FERROUS,440,0,440,38.3000,0,38.3000,0.0870
Merrillville,FEAUCST,AUTO CAST,STEEL,FERROUS,111909,0,111909,18353.3744,0,18353.3744,0.1640
Milton,FEAUCST,AUTO CAST,STEEL,FERROUS,14215,0,14215,1918.2155,0,1918.2155,0.1349
Merrillville,Indbush,BUSHELING,STEEL,FERROUS,117298,0,117298,11329.9523,0,11329.9523,0.0966
Milton,Indbush,BUSHELING,STEEL,FERROUS,59997,0,59997,7972.6151,0,7972.6151,0.1329
Merrillville,CLSHST,CLEAN SHEET,STEEL,FERROUS,80997,0,80997,6774.6993,0,6774.6993,0.0836
Milton,CLSHST,CLEAN SHEET,STEEL,FERROUS,30508,0,30508,2664.4255,0,2664.4255,0.0873
Milton,FENST,FENCING,STEEL,FERROUS,16440,0,16440,287.2667,0,287.2667,0.0175
Merrillville,ACUT,FULL A/C UNIT,STEEL,FERROUS,17293,0,17293,2592.8930,0,2592.8930,0.1499
Milton,ACUT,FULL A/C UNIT,STEEL,FERROUS,1668,0,1668,250.2000,0,250.2000,0.1500
Merrillville,INDHVYM,HEAVY MELT,STEEL,FERROUS,66956,1719,68675,7609.0686,142.7581,7751.8267,0.1129
Milton,INDHVYM,HEAVY MELT,STEEL,FERROUS,83980,1392,85372,8388.8207,90.6455,8479.4662,0.0993
Merrillville,UNPHMS,HEAVY MELT - UNPREPARED,STEEL,FERROUS,118361,0,118361,9934.0554,0,9934.0554,0.0839
Milton,UNPHMS,HEAVY MELT - UNPREPARED,STEEL,FERROUS,38558,0,38558,2756.7159,0,2756.7159,0.0715
Milton,las,LAS,STEEL,FERROUS,1771,0,1771,70.8400,0,70.8400,0.0400
Milton,OVSZMAC,OVERSIZED MACHINERY,STEEL,FERROUS,59560,0,59560,1640.9020,0,1640.9020,0.0276
Milton,PTDBUSH,PAINTED BUSH,STEEL,FERROUS,22660,0,22660,2326.7000,0,2326.7000,0.1027
Merrillville,INDP&S,PLATE & STRUCTUAL,STEEL,FERROUS,60455,0,60455,5730.8715,0,5730.8715,0.0948
Milton,INDP&S,PLATE & STRUCTUAL,STEEL,FERROUS,45346,0,45346,3595.4804,0,3595.4804,0.0793
Merrillville,RLWHLS,RAIL WHEELS ,STEEL,FERROUS,0,0,0,0,0,0,
Merrillville,REBAR,REBAR,STEEL,FERROUS,4360,0,4360,97.3200,0,97.3200,0.0223
Milton,REBAR,REBAR,STEEL,FERROUS,5302,0,5302,315.6265,0,315.6265,0.0595
Merrillville,SHIRST,SHEET IRON,STEEL,FERROUS,341352,1835,343187,28515.3678,128.3610,28643.7288,0.0835
Milton,SHIRST,SHEET IRON,STEEL,FERROUS,254339,0,254339,19016.3336,-9.5249,19006.8087,0.0747
Milton,SKST,SKELATAL ,STEEL,FERROUS,0,0,0,0,0,0,
Milton,STBD,STEEL BANDING (fe),STEEL,FERROUS,0,0,0,0,0,0,
Merrillville,STBXCAB,STEEL BX CABLE,STEEL,FERROUS,9,0,9,0.7238,0,0.7238,0.0804
Milton,STBXCAB,STEEL BX CABLE,STEEL,FERROUS,0,0,0,0,0,0,
Merrillville,STBXW,STEEL BX WIRE (fe),STEEL,FERROUS,228,0,228,30.2000,0,30.2000,0.1325
Milton,STBXW,STEEL BX WIRE (fe),STEEL,FERROUS,429,0,429,176.8103,0,176.8103,0.4121
