Location,Material Code,Material Name,Commodity Name,Commodity Type,Total Wip Weight,Total FG Weight,Total Net Weight,Total Wip Cost,Total FG Cost,Total Cost,Average Cost,Hold Total
Milton,CLPBNDS,#1 BUNDLES,STEEL,FERROUS,0,0,0,0,0,0,0,0
Milton,1018ST,1018 STEEL,STEEL,FERROUS,0,0,0,0,0,0,0,0
Milton,4140SOLS,4140 SOLIDS,STEEL,FERROUS,251,3004,3255,20.1695,241.3905,261.5600,0.0804,0
Milton,AAAPRT,AA AUTO PARTS,STEEL,FERROUS,0,0,0,0,0,0,0,0
Milton,FE0DEAT,AUTO BODY - COMPLETE,STEEL,FERROUS,94820,0,94820,8612.4706,0,8612.4706,0.0908,0
Milton,AUCORESTEEL,AUTO BODY - CORE ,STEEL,FERROUS,26370,0,26370,2585.2823,0,2585.2823,0.0980,0
Milton,FE0AUTO,AUTO BODY - INCOMPLETE,STEEL,FERROUS,440,0,440,38.3000,0,38.3000,0.0870,0
Merrillville,FEAUCST,AUTO CAST,STEEL,FERROUS,136041,0,136041,22203.4244,0,22203.4244,0.1632,0
Milton,FEAUCST,AUTO CAST,STEEL,FERROUS,14881,0,14881,2022.2855,0,2022.2855,0.1359,0
Merrillville,Indbush,BUSHELING,STEEL,FERROUS,119218,0,119218,11492.8023,0,11492.8023,0.0964,0
Milton,Indbush,BUSHELING,STEEL,FERROUS,122477,0,122477,16340.4751,0,16340.4751,0.1334,0
Merrillville,CLSHST,CLEAN SHEET,STEEL,FERROUS,83544,0,83544,7013.4993,0,7013.4993,0.0839,0
Milton,CLSHST,CLEAN SHEET,STEEL,FERROUS,53898,0,53898,5066.0755,0,5066.0755,0.0940,0
Milton,FENST,FENCING,STEEL,FERROUS,16440,0,16440,287.2667,0,287.2667,0.0175,0
Merrillville,ACUT,FULL A/C UNIT,STEEL,FERROUS,18075,0,18075,2710.1930,0,2710.1930,0.1499,0
Milton,ACUT,FULL A/C UNIT,STEEL,FERROUS,1668,0,1668,250.2000,0,250.2000,0.1500,0
Merrillville,INDHVYM,HEAVY MELT,STEEL,FERROUS,69876,1719,71595,7934.9369,142.7581,8077.6950,0.1128,0
Milton,INDHVYM,HEAVY MELT,STEEL,FERROUS,89145,1392,90537,8942.2207,90.6455,9032.8662,0.0998,0
Merrillville,UNPHMS,HEAVY MELT - UNPREPARED,STEEL,FERROUS,134204,0,134204,11350.4554,0,11350.4554,0.0846,0
Milton,UNPHMS,HEAVY MELT - UNPREPARED,STEEL,FERROUS,58558,0,58558,4280.1690,0,4280.1690,0.0731,0
Milton,las,LAS,STEEL,FERROUS,1771,0,1771,70.8400,0,70.8400,0.0400,0
Milton,OVSZMAC,OVERSIZED MACHINERY,STEEL,FERROUS,59560,0,59560,1640.9020,0,1640.9020,0.0276,0
Milton,PTDBUSH,PAINTED BUSH,STEEL,FERROUS,0,0,0,0,0,0,0,0
Merrillville,INDP&S,PLATE & STRUCTUAL,STEEL,FERROUS,60602,0,60602,5747.2815,0,5747.2815,0.0948,0
Milton,INDP&S,PLATE & STRUCTUAL,STEEL,FERROUS,45346,0,45346,3595.4804,0,3595.4804,0.0793,0
Merrillville,RLWHLS,RAIL WHEELS ,STEEL,FERROUS,0,0,0,0,0,0,0,0
