Material Type,Commodity,Commodity Type,Closing Balance - Wip - Cost,Closing Balance - Wip - Weight,Closing Balance - Finished Goods - Cost,Closing Balance - Finished Goods - Weight,Material Code,Available To Sale,Theoretical Inventory,Inventory Variance,Start Date,End Date,Outbound Cost,Outbound Weight,Adjustments Cost,Adjustments Weight,Opening Cost,Opening Weight,Inbound Cost,Inbound Weight,Regrades Cost,Regrades Weight,Closing Cost,Closing Weight,Closing Cost/um,Opening Balance - Wip - Cost,Opening Balance - Wip - Weight,Inbound - Wip - Cost,Inbound - Wip - Weight,Outbound - Wip - Cost,Outbound - Wip - Weight,Opening Balance - Finished Goods - Cost,Opening Balance - Finished Goods - Weight,Inbound - Finished Goods - Cost,Inbound - Finished Goods - Weight,Outbound - Finished Goods - Cost,Outbound - Finished Goods - Weight,Voided - Finished Goods - Cost,Voided - Finished Goods - Weight,Yard Name,Yard Address Name,Gl Income Code,Gl Expense Code,"Opening
  Cost/um","Closing Cost/um (+
  Freight)",Adjustment Notes,Hold Total Weight (Current),Hold Total Cost (Current)
1018 STEEL,STEEL,FERROUS,0.0000,0,0,0,1018ST,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
13-8 STAINLESS STEEL TURNINGS,STAINLESS STEEL TIER 2,NON_FERROUS,0.0000,0,0,0,NI138T,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
15-5 STAINLESS SOLIDS,STAINLESS STEEL TIER 2,NON_FERROUS,0.0000,0,0,0,155SSS,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
15-5 STAINLESS STEEL TURNINGS,STAINLESS STEEL TIER 2,NON_FERROUS,172.0600,8603,0,0,NI15-5,8603,8603,0E-20,2025-12-31,2025-12-31,0,0,0,0,172.0600,8603,0,0,0,0,172.0600,8603,0.02000000000000000000,172.0600,8603,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.02000000000000000000,0.0240000000000000000000,,0,0
17-4 SOLIDS,STAINLESS STEEL TIER 1,NON_FERROUS,42.4063,588,0,0,174SOLIDS,588,588,0E-20,2025-12-31,2025-12-31,0,0,0,0,42.4063,588,0,0,0,0,42.4063,588,0.07211955782312925170,42.4063,588,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.07211955782312925170,0.0865434693877551020400,,0,0
17-4 STAINLESS STEEL TURNINGS,STAINLESS STEEL TIER 1,NON_FERROUS,145.6950,23380,437.9636,2699,NI174BO,26079,26079,0E-24,2025-12-31,2025-12-31,0,0,0,0,583.6586,26079,0,0,0,0,583.6586,26079,0.02238040569040223935,145.6950,23380,0,0,0,0,437.9636,2699,0,0,0,0,0,0,MILTON,Benton Metals,,,0.02238040569040223935,0.0268564868284826872200,,0,0
"#1 BUNDLES",STEEL,FERROUS,0.0000,0,0,0,CLPBNDS,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
"#1 COPPER",COPPER TIER 1,NON_FERROUS,2051.8140,601,0,0,CU00001,601,601,0E-20,2025-12-31,2025-12-31,0,0,0,0,2051.8140,601,0,0,0,0,2051.8140,601,3.4140000000000000,2051.8140,601,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,3.4140000000000000,4.096800000000000000,,0,0
"#1 ICW 60%",COPPER TIER 2,NON_FERROUS,-697.9732,0,0,0,CUIN160,0,0,0,2025-12-31,2025-12-31,0,0,0,0,-697.9732,0,0,0,0,0,-697.9732,0,0,-697.9732,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
"#1 ICW 72%",COPPER TIER 2,NON_FERROUS,0.0000,0,0,0,CUIN172,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
