Material Type,Closing Cost,Closing Weight,Closing Cost/um,Closing Balance - Wip - Cost,Closing Balance - Wip - Weight,Closing Balance - Finished Goods - Cost,Closing Balance - Finished Goods - Weight,Material Code,Available To Sale,Theoretical Inventory,Inventory Variance,Commodity,Commodity Type,Opening Cost,Opening Weight,Inbound Cost,Inbound Weight,Regrades Cost,Regrades Weight,Outbound Cost,Outbound Weight,Adjustments Cost,Adjustments Weight,Opening Balance - Wip - Cost,Opening Balance - Wip - Weight,Inbound - Wip - Cost,Inbound - Wip - Weight,Outbound - Wip - Cost,Outbound - Wip - Weight,Opening Balance - Finished Goods - Cost,Opening Balance - Finished Goods - Weight,Inbound - Finished Goods - Cost,Inbound - Finished Goods - Weight,Outbound - Finished Goods - Cost,Outbound - Finished Goods - Weight,Voided - Finished Goods - Cost,Voided - Finished Goods - Weight,Yard Name,Yard Address Name,Gl Income Code,Gl Expense Code,"Opening
  Cost/um","Closing Cost/um (+
  Freight)",Adjustment Notes,Hold Total Weight (Current),Hold Total Cost (Current),Start Date,End Date
1100 SERIES,0.0000,0,0,0.0000,0,0,0,Al01100,0,0,0,ALUMINUM,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
"#1 COPPER",6895.5392,1740,3.9629535632183908,1307.9649,333,5587.5743,1407,CU00001,1740,1740,0E-20,COPPER TIER 1,NON_FERROUS,6895.5392,1740,0,0,0,0,0,0,0,0,1307.9649,333,0,0,0,0,5587.5743,1407,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,3.9629535632183908,4.755544275862068960,,0,0,2025-12-31,2025-12-31
"#1 ICW 60%",6277.0223,2504,2.5067980431309904,6277.0223,2504,0,0,CUIN160,2504,2504,0E-20,COPPER TIER 2,NON_FERROUS,6277.0223,2504,0,0,0,0,0,0,0,0,6277.0223,2504,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,2.5067980431309904,3.008157651757188480,,0,0,2025-12-31,2025-12-31
"#1 ICW 80%",42830.5680,15014,2.8527086719062209,26149.6380,9216,16680.9300,5798,ICW80,15014,15014,0E-24,COPPER TIER 2,NON_FERROUS,42830.5680,15014,0,0,0,0,0,0,0,0,26149.6380,9216,0,0,0,0,16680.9300,5798,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,2.8527086719062209,3.423250406287465080,,0,0,2025-12-31,2025-12-31
"#1 ICW 85%",156.0000,52,3.0000000000000000,156.0000,52,0,0,CUIN185,52,52,0E-20,COPPER TIER 2,NON_FERROUS,156.0000,52,0,0,0,0,0,0,0,0,156.0000,52,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,3.0000000000000000,3.600000000000000000,,0,0,2025-12-31,2025-12-31
"#1 ICW 88%",81.1803,0,0,81.1803,0,0,0,CUIN188,0,0,0,COPPER TIER 2,NON_FERROUS,81.1803,0,0,0,0,0,0,0,0,0,81.1803,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
"#1 ICW 90%",582.5417,183,3.1832879781420765,582.5417,183,0,0,CUIN190,183,183,0E-20,COPPER TIER 2,NON_FERROUS,582.5417,183,0,0,0,0,0,0,0,0,582.5417,183,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,3.1832879781420765,3.819945573770491800,,0,0,2025-12-31,2025-12-31
201 STAINLESS CLIP,0.0000,0,0,0.0000,0,0,0,201,0,0,0,STAINLESS STEEL TIER 2,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
"#2 COPPER",3405.8764,1116.5,3.0504938647559337,3405.8764,1116.5,0,0,CU00002,1116.5,1116.5,0E-20,COPPER TIER 1,NON_FERROUS,3405.8764,1116.5,0,0,0,0,0,0,0,0,3405.8764,1116.5,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,3.0504938647559337,3.660592637707120440,,0,0,2025-12-31,2025-12-31
"#2 ICW 20% - CHRISTMAS LIGHTS",69.4450,384,0.18084635416666666667,69.4450,384,0,0,CUIN220,384,384,0E-20,COPPER TIER 2,NON_FERROUS,69.4450,384,0,0,0,0,0,0,0,0,69.4450,384,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.18084635416666666667,0.2170156250000000000040,,0,0,2025-12-31,2025-12-31
