date,lme_al_stocks
2014-06-27,145.89
2014-06-30,145.11
2014-07-02,145.11
2014-07-04,144.65
2014-07-07,144.28
2014-07-08,144.07
2014-07-09,143.87
2014-07-10,143.63
2014-07-11,142.86
2014-07-14,142.18
2014-07-15,142.66
2014-07-16,142.66
2014-07-17,142.42
2014-07-18,142.18
2014-07-21,141.84
2014-07-22,141.65
2014-07-23,141.46
2014-07-24,141.22
2014-07-25,140.79
2014-07-29,140.44
2014-07-30,140.26
2014-07-31,140.03
2014-08-01,139.61
2014-08-04,139.39
2014-08-05,139.22
2014-08-06,139.04
2014-08-07,138.79
2014-08-08,138.54
2014-08-12,138.01
2014-08-13,137.85
2014-08-14,137.62
2014-08-15,137.09
2014-08-19,136.88
2014-08-20,136.74
2014-08-21,136.56
2014-08-22,136.39
2014-08-25,136.06
2014-08-26,136.06
2014-08-27,135.96
2014-08-28,135.85
2014-08-29,135.68
2014-09-01,135.34
2014-09-02,135.24
2014-09-03,135.14
2014-09-04,134.78
2014-09-08,134.34
2014-09-09,134.34
2014-09-10,134.15
2014-09-11,133.97
2014-09-12,133.37
2014-09-16,133.29
2014-09-18,133.08
2014-09-19,132.87
2014-09-22,132.33
2014-09-23,132.33
2014-09-24,132.24
2014-09-25,132.03
2014-09-26,131.8
2014-09-29,131.33
2014-09-30,131.21
2014-10-01,131.09
2014-10-02,130.85
2014-10-03,130.6
2014-10-06,130.11
2014-10-07,129.98
2014-10-08,129.84
2014-10-09,129.61
2014-10-10,129.38
2014-10-13,128.9
2014-10-14,128.76
2014-10-15,128.61
2014-10-16,128.35
2014-10-17,128.09
2014-10-20,127.66
2014-10-21,127.52
2014-10-22,127.39
2014-10-23,127.03
2014-10-24,126.94
2014-10-27,126.52
2014-10-28,126.39
2014-10-29,126.26
2014-10-30,126.04
2014-10-31,125.82
2014-11-03,125.4
2014-11-04,125.28
2014-11-05,125.17
2014-11-06,124.96
2014-11-07,124.74
2014-11-10,124.31
2014-11-11,124.1
2014-11-12,124.1
2014-11-13,123.91
2014-11-14,123.73
2014-11-17,123.37
2014-11-18,123.27
2014-11-19,123.17
2014-11-20,123.0
2014-11-21,122.83
2014-11-24,122.46
2014-11-25,122.38
2014-11-26,122.31
2014-11-27,122.14
2014-11-28,121.97
2014-12-01,121.58
2014-12-02,121.44
2014-12-03,121.44
2014-12-04,121.26
2014-12-05,121.09
2014-12-08,120.68
2014-12-09,120.61
2014-12-10,120.55
2014-12-11,120.37
2014-12-12,120.19
2014-12-15,119.75
2014-12-16,119.69
2014-12-17,119.63
2014-12-18,119.43
2014-12-19,119.23
2014-12-22,118.71
2014-12-23,118.64
2014-12-24,118.58
2014-12-25,118.43
2014-12-26,118.43
2014-12-29,118.36
2014-12-30,118.28
2014-12-31,118.21
2015-01-02,118.11
2015-01-05,117.93
2015-01-06,117.86
2015-01-07,117.78
2015-01-08,117.67
2015-01-09,117.56
2015-01-12,117.37
2015-01-13,117.3
2015-01-14,117.23
2015-01-15,117.11
2015-01-16,117.0
2015-01-20,116.69
2015-01-21,116.61
2015-01-22,116.48
2015-01-23,116.35
2015-01-26,116.11
2015-01-27,116.02
2015-01-28,115.94
2015-01-29,115.8
2015-01-30,115.66
2015-02-02,115.4
2015-02-03,115.32
2015-02-04,115.24
2015-02-05,115.1
2015-02-06,114.96
2015-02-09,114.68
2015-02-10,114.61
2015-02-11,114.54
2015-02-12,114.39
2015-02-13,114.25
2015-02-16,113.95
2015-02-17,113.88
2015-02-19,113.66
2015-02-23,113.2
2015-02-24,113.12
2015-02-25,113.05
2015-02-26,112.74
2015-03-02,112.41
2015-03-03,112.35
2015-03-04,112.29
2015-03-06,111.99
2015-03-09,111.63
2015-03-10,111.58
2015-03-11,111.53
2015-03-12,111.37
2015-03-13,111.22
2015-03-16,110.86
2015-03-17,110.82
2015-03-20,110.5
2015-03-23,110.14
2015-03-24,110.12
2015-03-25,110.09
2015-03-26,109.97
2015-03-27,109.85
2015-03-30,109.62
2015-03-31,109.59
2015-04-01,109.56
2015-04-02,109.53
2015-04-06,109.12
2015-04-07,109.12
2015-04-08,109.1
2015-04-09,108.98
2015-04-10,108.87
2015-04-13,108.59
2015-04-14,108.57
2015-04-15,108.55
2015-04-16,108.45
2015-04-17,108.35
2015-04-20,108.08
2015-04-21,108.06
2015-04-22,108.04
2015-04-23,107.95
2015-04-24,107.88
2015-04-27,107.65
2015-04-28,107.66
2015-04-29,107.67
2015-04-30,107.59
2015-05-01,107.52
2015-05-04,107.31
2015-05-05,107.33
2015-05-06,107.33
2015-05-07,107.35
2015-05-08,107.3
2015-05-11,107.12
2015-05-12,107.13
2015-05-14,107.08
2015-05-15,107.01
2015-05-18,106.8
2015-05-19,106.81
2015-05-20,106.82
2015-05-21,106.76
2015-05-22,106.7
2015-05-26,106.48
2015-05-27,106.5
2015-05-28,106.52
2015-05-29,106.46
2015-06-01,106.25
2015-06-02,106.26
2015-06-03,106.28
2015-06-04,106.23
2015-06-05,106.18
2015-06-08,105.97
2015-06-09,106.0
2015-06-10,106.02
2015-06-11,105.97
2015-06-12,105.92
2015-06-15,105.7
2015-06-16,105.72
2015-06-17,105.74
2015-06-18,105.67
2015-06-19,105.61
2015-06-22,105.39
2015-06-23,105.42
2015-06-24,105.44
2015-06-25,105.32
2015-06-26,105.35
2015-07-01,105.14
2015-07-02,105.14
2015-07-06,104.93
2015-07-07,104.96
2015-07-08,104.99
2015-07-09,104.95
2015-07-10,104.92
2015-07-13,104.73
