date,shfe_al_close
2023-06-19,2713.0
2023-06-20,2733.0
2023-06-21,2731.0
2023-06-26,2780.0
2023-06-27,2801.0
2023-06-28,2788.0
2023-06-29,2795.0
2023-06-30,2807.0
2023-07-03,2820.0
2023-07-04,2824.0
2023-07-05,2824.0
2023-07-06,2831.0
2023-07-07,2831.0
2023-07-10,2814.0
2023-07-11,2821.0
2023-07-12,2799.0
2023-07-13,2798.0
2023-07-14,2793.0
2023-07-17,2765.0
2023-07-18,2806.0
2023-07-19,2817.0
2023-07-20,2867.0
2023-07-21,2867.0
2023-07-24,2872.0
2023-07-25,2876.0
2023-07-26,2893.0
2023-07-27,2887.0
2023-07-28,2886.0
2023-07-31,2884.0
2023-08-01,2912.0
2023-08-02,2925.0
2023-08-03,2896.0
2023-08-04,2886.0
2023-08-07,2880.0
2023-08-08,2882.0
2023-08-09,2872.0
2023-08-10,2879.0
2023-08-11,2895.0
2023-08-14,2891.0
2023-08-15,2887.0
2023-08-16,2891.0
2023-08-17,2893.0
2023-08-18,2905.0
2023-08-21,2910.0
2023-08-22,2922.0
2023-08-23,2952.0
2023-08-24,2956.0
2023-08-25,2959.0
2023-08-28,2961.0
2023-08-29,2951.0
2023-08-30,2971.0
2023-08-31,2983.0
2023-09-01,2994.0
2023-09-04,3138.0
2023-09-05,3133.0
2023-09-06,3132.0
2023-09-07,3110.0
2023-09-08,3062.0
2023-09-11,3057.0
2023-09-12,3097.0
2023-09-13,3037.0
2023-09-14,3048.0
2023-09-15,3087.0
2023-09-18,3034.0
2023-09-19,3062.0
2023-09-20,3066.0
2023-09-21,3080.0
2023-09-22,3054.0
2023-09-25,3063.0
2023-09-26,3051.0
2023-09-27,3037.0
2023-09-28,3063.0
2023-10-09,3028.0
2023-10-10,3002.0
2023-10-11,3026.0
2023-10-12,3044.0
2023-10-13,3035.0
2023-10-16,3085.0
2023-10-17,3124.0
2023-10-18,3090.0
2023-10-19,3112.0
2023-10-20,3084.0
2023-10-23,3058.0
2023-10-24,3055.0
2023-10-25,3084.0
2023-10-26,3103.0
2023-10-27,3069.0
2023-10-30,3070.0
2023-10-31,3049.0
2023-11-01,3026.0
2023-11-02,3016.0
2023-11-03,3016.0
2023-11-06,3048.0
2023-11-07,3044.0
2023-11-08,3003.0
2023-11-09,2976.0
2023-11-10,2976.0
2023-11-13,2871.0
2023-11-14,2880.0
2023-11-15,2898.0
2023-11-16,2952.0
2023-11-17,2942.0
2023-11-20,2952.0
2023-11-21,2947.0
2023-11-22,2904.0
2023-11-23,2894.0
2023-11-24,2927.0
2023-11-27,2924.0
2023-11-28,2945.0
2023-11-29,2936.0
2023-11-30,2905.0
2023-12-01,2905.0
2023-12-04,2915.0
2023-12-05,2884.0
2023-12-06,2856.0
2023-12-07,2844.0
2023-12-08,2864.0
2023-12-11,2846.0
2023-12-12,2845.0
2023-12-13,2848.0
2023-12-14,2848.0
2023-12-15,2848.0
2023-12-18,2910.0
2023-12-19,2910.0
2023-12-20,2930.0
2023-12-21,2963.0
2023-12-22,3092.0
2023-12-25,3200.0
2023-12-26,3166.0
2023-12-27,3201.0
2023-12-28,3247.0
2023-12-29,3312.0
2024-01-02,3290.0
2024-01-03,3388.0
2024-01-04,3504.0
2024-01-05,3396.0
2024-01-08,3449.0
2024-01-09,3287.0
2024-01-10,3287.0
2024-01-11,3287.0
2024-01-12,3350.0
2024-01-15,3350.0
2024-01-16,3237.0
2024-01-17,3235.0
2024-01-18,3237.0
2024-01-19,3233.0
2024-01-22,3213.0
2024-01-23,3221.0
2024-01-24,3296.0
2024-01-25,3280.0
2024-01-26,3258.0
2024-01-29,3224.0
2024-01-30,3216.0
2024-01-31,3168.0
2024-02-01,3144.0
2024-02-02,3127.0
2024-02-05,3114.0
2024-02-06,3102.0
2024-02-07,3123.0
2024-02-08,3140.0
2024-02-19,3121.0
2024-02-20,3145.0
2024-02-21,3190.0
2024-02-22,3212.0
2024-02-23,3260.0
2024-02-26,3272.0
2024-02-27,3262.0
2024-02-28,3226.0
2024-02-29,3183.0
2024-03-01,3218.0
2024-03-04,3202.0
2024-03-05,3205.0
2024-03-06,3190.0
2024-03-07,3202.0
2024-03-08,3255.0
2024-03-11,3237.0
2024-03-12,3237.0
2024-03-13,3237.0
2024-03-14,3237.0
2024-03-15,3237.0
2024-03-18,3290.0
2024-03-19,3343.0
2024-03-20,3324.0
2024-03-21,3338.0
2024-03-22,3342.0
2024-03-25,3294.0
2024-03-26,3283.0
2024-03-27,3284.0
2024-03-28,3271.0
2024-03-29,3265.0
2024-04-01,3285.0
2024-04-02,3293.0
2024-04-03,3304.0
2024-04-08,3318.0
2024-04-09,3329.0
2024-04-10,3347.0
2024-04-11,3225.0
2024-04-12,3225.0
2024-04-15,3225.0
2024-04-16,3443.0
2024-04-17,3481.0
2024-04-18,3516.0
2024-04-19,3516.0
2024-04-22,3472.0
2024-04-23,3459.0
2024-04-24,3466.0
2024-04-25,3599.0
2024-04-26,3707.0
2024-04-29,3783.0
2024-04-30,3723.0
2024-05-06,3802.0
2024-05-07,3808.0
2024-05-08,3739.0
2024-05-09,3739.0
2024-05-10,3800.0
2024-05-13,3730.0
2024-05-14,3730.0
2024-05-15,3655.0
2024-05-16,3713.0
2024-05-17,3727.0
2024-05-20,3833.0
2024-05-21,3990.0
2024-05-22,4124.0
2024-05-23,3987.0
2024-05-24,4022.0
2024-05-27,4075.0
2024-05-28,4044.0
2024-05-29,3959.0
2024-05-30,3985.0
2024-05-31,3882.0
2024-06-03,3779.0
2024-06-04,3739.0
2024-06-05,3776.0
2024-06-06,3775.0
2024-06-07,3759.0
2024-06-11,3731.0
2024-06-12,3731.0
2024-06-13,3690.0
2024-06-14,3746.0
2024-06-17,3746.0
2024-06-18,3725.0
2024-06-19,3756.0
2024-06-20,3795.0
2024-06-21,3858.0
2024-06-24,3799.0
2024-06-25,3811.0
2024-06-26,3765.0
2024-06-27,3777.0
2024-06-28,3791.0
2024-07-01,3818.0
2024-07-02,3888.0
2024-07-03,3884.0
2024-07-04,3886.0
2024-07-05,3866.0
2024-07-08,3871.0
2024-07-09,3869.0
2024-07-10,3771.0
2024-07-11,3737.0
2024-07-12,3706.0
2024-07-15,3796.0
2024-07-16,3771.0
2024-07-17,3771.0
2024-07-18,3760.0
2024-07-19,3743.0
2024-07-22,3721.0
2024-07-23,3705.0
2024-07-24,3709.0
2024-07-25,3718.0
2024-07-26,3718.0
2024-07-29,3640.0
2024-07-30,3620.0
2024-07-31,3637.0
2024-08-01,3687.0
2024-08-02,3715.0
2024-08-05,3733.0
2024-08-06,3657.0
2024-08-07,3691.0
2024-08-08,3705.0
2024-08-09,3786.0
2024-08-12,3852.0
2024-08-13,3852.0
2024-08-14,3852.0
2024-08-15,3852.0
2024-08-16,3994.0
2024-08-19,4041.0
2024-08-20,4068.0
2024-08-21,3986.0
2024-08-22,3968.0
2024-08-23,3960.0
2024-08-26,3910.0
2024-08-27,3916.0
2024-08-28,3961.0
2024-08-29,3921.0
2024-08-30,3943.0
2024-09-02,3933.0
2024-09-03,3853.0
2024-09-04,3829.0
2024-09-05,3867.0
2024-09-06,3902.0
2024-09-09,3867.0
2024-09-10,3867.0
2024-09-11,3860.0
2024-09-12,3979.0
2024-09-13,3979.0
2024-09-18,3979.0
2024-09-19,4007.0
2024-09-20,4049.0
2024-09-23,4001.0
2024-09-24,4037.0
2024-09-25,4153.0
2024-09-26,4129.0
2024-09-27,4189.0
2024-09-30,4229.0
2024-10-08,4302.0
2024-10-09,4275.0
2024-10-10,4360.0
2024-10-11,4515.0
2024-10-14,4515.0
2024-10-15,4799.0
2024-10-16,4803.0
2024-10-17,4822.0
2024-10-18,4746.0
2024-10-21,4811.0
2024-10-22,4933.0
2024-10-23,4911.0
2024-10-24,4995.0
2024-10-25,5034.0
2024-10-28,5095.0
2024-10-29,5084.0
2024-10-30,5015.0
2024-10-31,5127.0
2024-11-01,5252.0
2024-11-04,5315.0
2024-11-05,5481.0
2024-11-06,5534.0
2024-11-07,5479.0
2024-11-08,5572.0
2024-11-11,5645.0
2024-11-12,5645.0
2024-11-13,5594.0
2024-11-14,5508.0
2024-11-15,5508.0
2024-11-18,5478.0
2024-11-19,5478.0
2024-11-20,5561.0
2024-11-21,5562.0
2024-11-22,5530.0
2024-11-25,5531.0
2024-11-26,5559.0
2024-11-27,5564.0
2024-11-28,5554.0
2024-11-29,5539.0
2024-12-02,5582.0
2024-12-03,5636.0
2024-12-04,5690.0
2024-12-05,5677.0
2024-12-06,5571.0
2024-12-09,5534.0
2024-12-10,5537.0
2024-12-11,5511.0
2024-12-12,5571.0
2024-12-13,5567.0
2024-12-16,5554.0
2024-12-17,5211.0
2024-12-18,5248.0
2024-12-19,5231.0
2024-12-20,5246.0
2024-12-23,5268.0
2024-12-24,5216.0
2024-12-25,5212.0
2024-12-26,5249.0
2024-12-27,5320.0
2024-12-30,5343.0
2024-12-31,5348.0
2025-01-02,5317.0
2025-01-03,5178.0
2025-01-06,4914.0
2025-01-07,4731.0
2025-01-08,4811.0
2025-01-09,4734.0
2025-01-10,4625.0
2025-01-13,4502.0
2025-01-14,4316.0
