Date,Open,High,Low,Close,Volume
2014-06-02,667.0,667.0,667.0,667.0,0
2014-06-03,667.0,667.0,667.0,667.0,0
2014-06-04,667.0,667.0,667.0,667.0,0
2014-06-05,667.0,667.0,667.0,667.0,0
2014-06-06,667.0,667.0,667.0,667.0,0
2014-06-09,668.0,668.0,668.0,668.0,0
2014-06-10,668.0,668.0,668.0,668.0,0
2014-06-11,668.0,668.0,668.0,668.0,0
2014-06-12,668.0,668.0,668.0,668.0,0
2014-06-13,668.0,668.0,668.0,668.0,0
2014-06-16,668.0,668.0,668.0,668.0,0
2014-06-17,668.0,668.0,668.0,668.0,0
2014-06-18,668.0,668.0,668.0,668.0,0
2014-06-19,670.0,670.0,670.0,670.0,0
2014-06-20,670.0,670.0,670.0,670.0,0
2014-06-23,670.0,670.0,670.0,670.0,0
2014-06-24,670.0,670.0,670.0,670.0,0
2014-06-25,657.0,657.0,656.0,656.0,7
2014-06-26,653.0,653.0,653.0,653.0,0
2014-06-27,653.0,653.0,653.0,653.0,0
2014-06-30,652.0,652.0,652.0,652.0,0
2014-07-01,660.0,660.0,660.0,660.0,0
2014-07-02,662.0,662.0,662.0,662.0,0
2014-07-03,666.0,666.0,666.0,666.0,0
2014-07-07,668.0,668.0,668.0,668.0,0
2014-07-08,672.0,672.0,672.0,672.0,0
2014-07-09,670.0,670.0,670.0,670.0,0
2014-07-10,670.0,670.0,670.0,670.0,0
2014-07-11,670.0,670.0,670.0,670.0,0
2014-07-14,670.0,670.0,670.0,670.0,0
2014-07-15,670.0,670.0,670.0,670.0,0
2014-07-16,670.0,670.0,670.0,670.0,0
2014-07-17,670.0,670.0,670.0,670.0,0
2014-07-18,670.0,670.0,670.0,670.0,0
2014-07-21,670.0,670.0,670.0,670.0,0
2014-07-22,670.0,670.0,670.0,670.0,0
2014-07-23,670.0,670.0,670.0,670.0,0
2014-07-24,670.0,670.0,670.0,670.0,0
2014-07-25,670.0,670.0,670.0,670.0,0
2014-07-28,670.0,670.0,670.0,670.0,0
2014-07-29,670.0,670.0,670.0,670.0,0
2014-07-30,664.0,664.0,664.0,664.0,0
2014-07-31,669.0,669.0,669.0,669.0,20
2014-08-01,675.0,675.0,675.0,675.0,0
2014-08-04,675.0,675.0,675.0,675.0,0
2014-08-05,675.0,675.0,675.0,675.0,0
2014-08-06,675.0,675.0,675.0,675.0,0
2014-08-07,675.0,675.0,675.0,675.0,0
2014-08-08,675.0,675.0,675.0,675.0,0
2014-08-11,675.0,675.0,675.0,675.0,0
2014-08-12,675.0,675.0,675.0,675.0,0
2014-08-13,675.0,675.0,675.0,675.0,0
2014-08-14,675.0,675.0,675.0,675.0,0
2014-08-15,675.0,675.0,675.0,675.0,0
2014-08-18,675.0,675.0,675.0,675.0,0
2014-08-19,675.0,675.0,675.0,675.0,0
2014-08-20,675.0,675.0,675.0,675.0,0
2014-08-21,675.0,675.0,675.0,675.0,0
2014-08-22,675.0,675.0,675.0,675.0,0
2014-08-25,675.0,675.0,675.0,675.0,0
2014-08-26,675.0,675.0,675.0,675.0,0
2014-08-27,662.0,662.0,662.0,662.0,0
2014-08-28,662.0,662.0,662.0,662.0,0
2014-08-29,662.0,662.0,662.0,662.0,0
2014-09-02,660.0,660.0,660.0,660.0,0
2014-09-03,659.0,659.0,659.0,659.0,0
2014-09-04,657.0,657.0,657.0,657.0,0
2014-09-05,657.0,657.0,657.0,657.0,0
2014-09-08,657.0,657.0,657.0,657.0,0
2014-09-09,657.0,657.0,657.0,657.0,0
2014-09-10,657.0,657.0,657.0,657.0,0
2014-09-11,657.0,657.0,657.0,657.0,0
2014-09-12,657.0,657.0,657.0,657.0,0
2014-09-15,655.0,655.0,655.0,655.0,13
2014-09-16,655.0,655.0,655.0,655.0,0
2014-09-17,655.0,655.0,655.0,655.0,0
2014-09-18,655.0,655.0,655.0,655.0,0
2014-09-19,660.0,660.0,660.0,660.0,0
2014-09-22,660.0,660.0,660.0,660.0,0
2014-09-23,660.0,660.0,660.0,660.0,50
2014-09-24,643.0,643.0,643.0,643.0,0
2014-09-25,643.0,643.0,643.0,643.0,0
2014-09-26,643.0,643.0,643.0,643.0,0
2014-09-29,641.0,641.0,641.0,641.0,0
2014-09-30,639.0,639.0,639.0,639.0,0
2014-10-01,639.0,639.0,639.0,639.0,0
2014-10-02,638.0,638.0,638.0,638.0,0
2014-10-03,637.0,637.0,637.0,637.0,0
2014-10-06,637.0,637.0,637.0,637.0,0
2014-10-07,637.0,637.0,637.0,637.0,0
2014-10-08,637.0,637.0,637.0,637.0,0
2014-10-09,637.0,637.0,637.0,637.0,0
2014-10-10,637.0,637.0,637.0,637.0,0
2014-10-13,640.0,640.0,640.0,640.0,0
2014-10-14,640.0,640.0,640.0,640.0,0
2014-10-15,640.0,640.0,640.0,640.0,0
2014-10-16,642.0,642.0,642.0,642.0,0
2014-10-17,642.0,642.0,642.0,642.0,0
2014-10-20,642.0,642.0,642.0,642.0,0
2014-10-21,642.0,642.0,642.0,642.0,0
2014-10-22,642.0,642.0,642.0,642.0,0
2014-10-23,642.0,642.0,642.0,642.0,0
2014-10-24,642.0,642.0,642.0,642.0,0
2014-10-27,642.0,642.0,642.0,642.0,0
2014-10-28,642.0,642.0,642.0,642.0,0
2014-10-29,645.0,645.0,635.0,638.0,102
2014-10-30,638.0,638.0,638.0,638.0,0
2014-10-31,638.0,638.0,638.0,638.0,0
2014-11-03,638.0,638.0,638.0,638.0,0
2014-11-04,638.0,638.0,638.0,638.0,0
2014-11-05,632.0,632.0,632.0,632.0,0
2014-11-06,632.0,632.0,632.0,632.0,0
2014-11-07,632.0,632.0,632.0,632.0,0
2014-11-10,632.0,632.0,630.0,630.0,0
2014-11-11,632.0,632.0,632.0,632.0,0
2014-11-12,632.0,632.0,632.0,632.0,0
2014-11-13,632.0,632.0,632.0,632.0,0
2014-11-14,632.0,632.0,632.0,632.0,0
2014-11-17,634.0,634.0,634.0,634.0,0
2014-11-18,634.0,634.0,634.0,634.0,0
2014-11-19,634.0,634.0,634.0,634.0,0
2014-11-20,634.0,634.0,634.0,634.0,0
2014-11-21,634.0,634.0,634.0,634.0,0
2014-11-24,634.0,634.0,634.0,634.0,0
2014-11-25,634.0,634.0,634.0,634.0,0
2014-11-26,629.0,629.0,629.0,629.0,0
2014-11-28,629.0,629.0,629.0,629.0,0
2014-12-01,631.0,631.0,631.0,631.0,0
2014-12-02,630.0,630.0,630.0,630.0,0
2014-12-03,626.0,626.0,626.0,626.0,75
2014-12-04,620.0,620.0,620.0,620.0,0
2014-12-05,618.0,618.0,618.0,618.0,0
2014-12-08,616.0,616.0,616.0,616.0,0
2014-12-09,616.0,616.0,616.0,616.0,0
2014-12-10,614.0,614.0,614.0,614.0,0
2014-12-11,614.0,614.0,614.0,614.0,0
2014-12-12,614.0,614.0,614.0,614.0,0
2014-12-15,614.0,614.0,614.0,614.0,0
2014-12-16,614.0,614.0,614.0,614.0,0
2014-12-17,605.0,605.0,605.0,605.0,0
2014-12-18,596.0,596.0,596.0,596.0,0
2014-12-19,605.0,605.0,605.0,605.0,0
2014-12-22,605.0,605.0,605.0,605.0,0
2014-12-23,605.0,605.0,605.0,605.0,0
2014-12-24,605.0,605.0,605.0,605.0,0
2014-12-26,605.0,605.0,605.0,605.0,0
2014-12-29,605.0,605.0,605.0,605.0,0
2014-12-30,608.0,608.0,608.0,608.0,0
2014-12-31,605.0,605.0,605.0,605.0,0
2015-01-02,605.0,605.0,605.0,605.0,0
2015-01-05,605.0,605.0,605.0,605.0,0
2015-01-06,605.0,605.0,605.0,605.0,0
2015-01-07,597.0,597.0,597.0,597.0,50
2015-01-08,597.0,597.0,597.0,597.0,0
2015-01-09,594.0,594.0,594.0,594.0,117
2015-01-12,594.0,594.0,594.0,594.0,0
2015-01-13,594.0,594.0,594.0,594.0,0
2015-01-14,590.0,590.0,590.0,590.0,0
2015-01-15,590.0,590.0,590.0,590.0,0
2015-01-16,590.0,590.0,590.0,590.0,0
2015-01-20,585.0,585.0,585.0,585.0,0
2015-01-21,583.0,583.0,583.0,583.0,0
2015-01-22,583.0,583.0,583.0,583.0,0
2015-01-23,583.0,583.0,583.0,583.0,0
2015-01-26,583.0,583.0,583.0,583.0,0
2015-01-27,583.0,583.0,583.0,583.0,0
2015-01-28,572.0,572.0,572.0,572.0,0
2015-01-29,565.0,565.0,550.0,550.0,0
2015-01-30,550.0,550.0,550.0,550.0,138
2015-02-02,550.0,550.0,550.0,550.0,60
2015-02-03,547.0,547.0,547.0,547.0,0
2015-02-04,542.0,542.0,542.0,542.0,0
2015-02-05,542.0,542.0,542.0,542.0,0
2015-02-06,540.0,540.0,540.0,540.0,0
2015-02-09,538.0,538.0,538.0,538.0,0
2015-02-10,537.0,537.0,537.0,537.0,0
2015-02-11,535.0,535.0,535.0,535.0,0
2015-02-12,532.0,532.0,532.0,532.0,0
2015-02-13,532.0,532.0,532.0,532.0,0
2015-02-17,530.0,530.0,530.0,530.0,0
2015-02-18,530.0,530.0,530.0,530.0,0
2015-02-19,530.0,530.0,530.0,530.0,0
2015-02-20,530.0,530.0,530.0,530.0,0
2015-02-23,530.0,530.0,530.0,530.0,0
2015-02-24,528.0,528.0,528.0,528.0,0
2015-02-25,503.0,503.0,503.0,503.0,0
2015-02-26,503.0,503.0,503.0,503.0,0
2015-02-27,503.0,503.0,503.0,503.0,0
2015-03-02,500.0,500.0,500.0,500.0,0
2015-03-03,500.0,500.0,500.0,500.0,0
2015-03-04,500.0,500.0,500.0,500.0,0
2015-03-05,500.0,500.0,500.0,500.0,0
2015-03-06,500.0,500.0,500.0,500.0,0
2015-03-09,500.0,500.0,500.0,500.0,0
2015-03-10,500.0,500.0,500.0,500.0,0
2015-03-11,495.0,495.0,495.0,495.0,0
2015-03-12,495.0,495.0,495.0,495.0,0
2015-03-13,495.0,495.0,495.0,495.0,0
2015-03-16,495.0,495.0,495.0,495.0,0
2015-03-17,495.0,495.0,495.0,495.0,0
2015-03-18,491.0,491.0,491.0,491.0,0
2015-03-19,491.0,491.0,491.0,491.0,0
2015-03-20,491.0,491.0,491.0,491.0,0
2015-03-23,491.0,491.0,491.0,491.0,0
2015-03-24,491.0,491.0,491.0,491.0,0
2015-03-25,480.0,480.0,480.0,480.0,0
2015-03-26,475.0,475.0,475.0,475.0,0
2015-03-27,475.0,475.0,475.0,475.0,0
2015-03-30,475.0,475.0,475.0,475.0,50
2015-03-31,475.0,475.0,475.0,475.0,0
2015-04-01,475.0,475.0,475.0,475.0,0
2015-04-02,475.0,475.0,475.0,475.0,0
2015-04-06,470.0,470.0,465.0,465.0,68
2015-04-07,465.0,465.0,465.0,465.0,17
2015-04-08,457.0,457.0,457.0,457.0,25
2015-04-09,457.0,457.0,457.0,457.0,0
2015-04-10,457.0,457.0,457.0,457.0,0
2015-04-13,457.0,457.0,457.0,457.0,0
2015-04-14,457.0,457.0,457.0,457.0,0
2015-04-15,455.0,455.0,455.0,455.0,0
2015-04-16,455.0,455.0,455.0,455.0,0
2015-04-17,455.0,455.0,455.0,455.0,0
2015-04-20,455.0,455.0,455.0,455.0,0
2015-04-21,450.0,455.0,450.0,455.0,5
2015-04-22,452.0,452.0,452.0,452.0,0
2015-04-23,452.0,452.0,452.0,452.0,0
2015-04-24,452.0,452.0,452.0,452.0,0
2015-04-27,452.0,452.0,452.0,452.0,0
2015-04-28,452.0,452.0,452.0,452.0,0
2015-04-29,462.0,462.0,462.0,462.0,0
2015-04-30,462.0,462.0,462.0,462.0,0
2015-05-01,462.0,462.0,462.0,462.0,0
2015-05-04,462.0,462.0,462.0,462.0,0
2015-05-05,462.0,462.0,462.0,462.0,0
2015-05-06,443.0,443.0,443.0,443.0,0
2015-05-07,445.0,445.0,445.0,445.0,0
2015-05-08,445.0,445.0,445.0,445.0,0
2015-05-11,445.0,445.0,445.0,445.0,0
2015-05-12,445.0,445.0,445.0,445.0,0
2015-05-13,450.0,450.0,450.0,450.0,0
2015-05-14,450.0,450.0,450.0,450.0,0
2015-05-15,450.0,450.0,450.0,450.0,0
2015-05-18,450.0,450.0,450.0,450.0,0
2015-05-19,450.0,450.0,450.0,450.0,0
2015-05-20,450.0,450.0,450.0,450.0,0
2015-05-21,450.0,450.0,450.0,450.0,0
2015-05-22,450.0,450.0,450.0,450.0,0
2015-05-26,450.0,450.0,450.0,450.0,0
2015-05-27,474.0,474.0,474.0,474.0,0
2015-05-28,467.0,467.0,467.0,467.0,0
2015-05-29,464.0,464.0,464.0,464.0,0
2015-06-01,464.0,464.0,464.0,464.0,0
2015-06-02,464.0,464.0,464.0,464.0,0
2015-06-03,464.0,464.0,464.0,464.0,0
2015-06-04,464.0,464.0,464.0,464.0,0
2015-06-05,464.0,464.0,464.0,464.0,0
2015-06-08,464.0,464.0,464.0,464.0,0
2015-06-09,464.0,464.0,464.0,464.0,0
2015-06-10,464.0,464.0,464.0,464.0,0
2015-06-11,461.0,461.0,461.0,461.0,0
2015-06-12,461.0,461.0,461.0,461.0,0
2015-06-15,461.0,461.0,461.0,461.0,0
2015-06-16,461.0,461.0,461.0,461.0,0
2015-06-17,464.0,464.0,464.0,464.0,0
2015-06-18,464.0,464.0,464.0,464.0,0
2015-06-19,464.0,464.0,464.0,464.0,0
2015-06-22,464.0,464.0,464.0,464.0,0
2015-06-23,464.0,464.0,464.0,464.0,20
2015-06-24,478.0,478.0,478.0,478.0,0
2015-06-25,470.0,470.0,470.0,470.0,0
2015-06-26,463.0,470.0,463.0,470.0,5
2015-06-29,465.0,465.0,465.0,465.0,0
2015-06-30,465.0,465.0,465.0,465.0,0
2015-07-01,475.0,475.0,475.0,475.0,50
2015-07-02,475.0,475.0,475.0,475.0,0
2015-07-06,466.0,466.0,466.0,466.0,0
2015-07-07,471.0,471.0,471.0,471.0,105
2015-07-08,471.0,471.0,471.0,471.0,0
2015-07-09,471.0,471.0,471.0,471.0,0
2015-07-10,471.0,471.0,471.0,471.0,0
2015-07-13,471.0,471.0,471.0,471.0,0
2015-07-14,469.0,469.0,469.0,469.0,0
2015-07-15,469.0,469.0,469.0,469.0,0
2015-07-16,469.0,469.0,469.0,469.0,0
2015-07-17,469.0,469.0,469.0,469.0,0
2015-07-20,465.0,465.0,465.0,465.0,0
2015-07-21,465.0,465.0,465.0,465.0,0
2015-07-22,465.0,465.0,465.0,465.0,0
2015-07-23,465.0,465.0,465.0,465.0,0
