SUM of Net Weight,,Customer Name,,,,,,,,,,,,,,,,,,,
Carrier Name,Material Name,Atkore,Borkholder Metal Fab Plymouth,Champlain Specialty Metals,CIE Somaschini North America,Circle R,Complexus Medical - Mishawaka,Complexus Medical - Plymouth,DAIFUKU WYNRIGHT,Fema Corporation,Herald Palladium,Holland Metal Fab,Owens Products,PENZ PRODUCTS,R & H Machine Products (Ferrous),Schafer Industries - Schafer Gear Work,Stellar Industries,Suzuki Garphyttan SB,Teck Machine,Wait Industries,Grand Total
BMR Transport - 1,3003 AL SOLIDS,,,,,,,,,,,,"9,180",,,,,,,,"9,180"
,STEEL TURNING,,,,"28,440",,,,,"33,560",,,,,"35,060","19,820",,"56,600",,,"173,480"
,ZZ DO NOT USE STEEL TURNINGS,,,,"21,020",,,,,,,,,,,"39,940",,"82,820",,,"143,780"
BMR Transport - 2,CLEAN SHEET,,,"58,940",,,,,,,,,,,,,,,,,"58,940"
,STEEL BANDING (fe),,,"221,280",,,,,,,,,,,,,,,,,"221,280"
,STEEL TURNING,,,,,,,,,"56,480",,,,,,,,,,,"56,480"
,ZZ DO NOT USE STEEL TURNINGS,,,,,,,,,"90,160",,,,,"17,400",,,,,,"107,560"
BMR Transport - 3,17-4 STAINLESS STEEL TURNINGS,,,,,,"44,420","29,600",,,,,,,,,,,,,"74,020"
,BUSHELING,,"13,340",,,,,,,,,"118,480",,"67,580",,,"835,960",,"87,460",,"1,122,820"
,SKELATAL ,,,,,,,,,,,,,,,,,,"76,320",,"76,320"
,STEEL TURNING,,,,,,,,,,,,,,,,,"15,120",,,"15,120"
,STEEL WIRE,,,,,,,,,,,,,,,,,"1,094,000",,,"1,094,000"
BMR Transport - 4,17-4 SOLIDS,,,,,,"5,646",,,,,,,,,,,,,,"5,646"
,17-4 STAINLESS STEEL TURNINGS,,,,,,230,,,,,,,,,,,,,,230
,5052 ALUMINUM,,,,,,,,,,,,,,,,,,,974,974
,6063 BARE ALUMINUM EXTRUSION,,,,,,,,,,,,,,,,,,,"3,758","3,758"
,ALUMINUM MLC,,,,,,366,,,,,,,,,,,,,,366
,CARBIDE,,,,,,255,,,,,,,,,,,,,,255
,EDM WIRE ,,,,,,"3,212",,,,,,,,,,,,,,"3,212"
,TUNGSTEN MOLY TA INSERTS,,,,,,263,,,,,,,,,,,,,,263
,ZZ DO NOT USE - ALUMINUM TURNINGS,,,,,,"1,412",,,,,,,,,,,,,,"1,412"
MMR Finco,316 STAINLESS STEEL SOLIDS,"10,370",,,,,,,,,,,,,,,,,,,"10,370"
,ALUMINUM LITHO,,,,,,,,,,"5,569",,,,,,,,,,"5,569"
,BUSHELING,,,,,,,,"414,680",,,,,,,,,,,,"414,680"
,CLEAN SHEET,,,,,,,,"2,000",,,,,,,,,,,,"2,000"
,HEAVY MELT - UNPREPARED,"40,670",,,,,,,"1,000",,,,,,,,,,,,"41,670"
,SHEET IRON,,,,,,,,"17,676",,,,,,,,,,,,"17,676"
,UNPREPARED P&S ,,,,,,,,"54,904",,,,,,,,,,,,"54,904"
,ZZ DO NOT USE - UNPREPARED HMS (uhms),"58,840",,,,"69,560",,,,,,,,,,,,,,,"128,400"
Grand Total,,"109,880","13,340","280,220","49,460","69,560","55,804","29,600","490,260","180,200","5,569","118,480","9,180","67,580","52,460","59,760","835,960","1,248,540","163,780","4,732","3,844,365"
