dtc_row,outbound_ticket,out_csv_row,material,dtc_net,out_method,out_match,mat_code,yard,ship_date,in_method,in_match,in_csv_row,in_total,consumer,supplier,supplier_class,supplier_check,exception_reason,roster_ok,chase_suppliers
1,1452,303,STEEL TURNING,11960,exact net (linked ticket),1452,TURNSTEEL,Milton,2026-03-05,exact net,#17717,4450,11960,Padnos,Suzuki Garphyttan SB,Manufacturing,ok (distinct counterparties),,Y,
2,1451,302,STEEL WIRE,25600,exact net (linked ticket),1451,STWR,Milton,2026-03-05,exact net,#17718,4451,25600,Omni Source,Suzuki Garphyttan SB,Manufacturing,ok (distinct counterparties),,Y,
3,1449,301,BUSHELING,34120,exact net (linked ticket),1449,Indbush,Milton,2026-03-04,exact net,#17679,4382,34120,Omni Source,Stellar Industries,Manufacturing,ok (distinct counterparties),,Y,
4,1450,297,BUSHELING,24820,exact net (linked ticket),1450,Indbush,Milton,2026-03-04,exact net,#17682,4307,24820,Omni Source,Teck Machine,Manufacturing,ok (distinct counterparties),,Y,
5,1443,294,STEEL TURNING,14240,exact net (linked ticket),1443,TURNSTEEL,Milton,2026-03-02,exact net,#17549,4186,14240,Padnos,Suzuki Garphyttan SB,Manufacturing,ok (distinct counterparties),,Y,
6,1442,293,STEEL WIRE,20060,exact net (linked ticket),1442,STWR,Milton,2026-03-02,exact net,#17548,4185,20060,Omni Source,Suzuki Garphyttan SB,Manufacturing,ok (distinct counterparties),,Y,
7,1440,273,STEEL BANDING (fe),38700,exact net (linked ticket),1440,STBD,Milton,2026-02-27,exact net,#17444,3915,38700,Padnos,Champlain Specialty Metals,Manufacturing,ok (distinct counterparties),,Y,
8,1438,274,STEEL TURNING,47660,exact net (linked ticket),1438,TURNSTEEL,Milton,2026-02-28,NONE,,,,Padnos,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,CIE Somaschini North America; Fema Corporation; R & H Machine Products (Ferrous); Schafer Industries - Schafer Gear Work; Suzuki Garphyttan SB
9,1434,267,STEEL TURNING,44420,exact net (linked ticket),1434,TURNSTEEL,Milton,2026-02-27,NONE,,,,Padnos,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,CIE Somaschini North America; Fema Corporation; R & H Machine Products (Ferrous); Schafer Industries - Schafer Gear Work; Suzuki Garphyttan SB
10,1444,271,CLEAN SHEET,18080,exact net (linked ticket),1444,CLSHST,Milton,2026-02-27,NONE,,,,Omni Source,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,Champlain Specialty Metals; DAIFUKU WYNRIGHT
11,1432,266,BUSHELING,29080,exact net (linked ticket),1432,Indbush,Milton,2026-02-26,exact net,#17409,3921,29080,Omni Source,Stellar Industries,Manufacturing,ok (distinct counterparties),,Y,
12,1431,265,17-4 STAINLESS STEEL TURNINGS,8620,exact net (linked ticket),1431,NI174BO,Milton,2026-02-26,exact net (outside same-day),#17285,3665,8620,Omni Source,Complexus Medical - Mishawaka,,ok (distinct counterparties),,Y,
13,1427,260,STEEL WIRE,46900,exact net (linked ticket),1427,STWR,Milton,2026-02-25,exact net,#17371,3749,46900,Omni Source,Suzuki Garphyttan SB,Manufacturing,ok (distinct counterparties),,Y,
14,1426,,STEEL TURNING,46900,ticket NOT in outbound file,,,,,NONE,,,,Padnos,,,,outbound ticket missing from outbound file,Y,CIE Somaschini North America; Fema Corporation; R & H Machine Products (Ferrous); Schafer Industries - Schafer Gear Work; Suzuki Garphyttan SB
15,1421,256,STEEL TURNING,28440,exact net (linked ticket),1421,TURNSTEEL,Milton,2026-02-24,exact net,#17323,3743,28440,Padnos,CIE Somaschini North America,Manufacturing,ok (distinct counterparties),,Y,
16,1419,255,STEEL TURNING,15180,exact net (linked ticket),1419,TURNSTEEL,Milton,2026-02-24,exact net,#17303,3699,15180,Padnos,Suzuki Garphyttan SB,Manufacturing,ok (distinct counterparties),,Y,
17,1418,232,STEEL TURNING,19820,exact net (linked ticket),1418,TURNSTEEL,Milton,2026-02-23,exact net,#17284,3633,19820,Padnos,Schafer Industries - Schafer Gear Work,Manufacturing,ok (distinct counterparties),,Y,
18,1410,228,SHEET IRON,32820,exact net (linked ticket),1410,SHIRST,Milton,2026-02-20,NONE,,,,Omni Source,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,DAIFUKU WYNRIGHT
19,1413,231,BUSHELING,27180,exact net (linked ticket),1413,Indbush,Milton,2026-02-20,exact net,#17225,3551,27180,Omni Source,Stellar Industries,Manufacturing,ok (distinct counterparties),,Y,
20,1412,230,STEEL WIRE,44380,exact net (linked ticket),1412,STWR,Milton,2026-02-20,exact net,#17223,3550,44380,Omni Source,Suzuki Garphyttan SB,Manufacturing,ok (distinct counterparties),,Y,
21,1411,229,BUSHELING,27840,exact net (linked ticket),1411,Indbush,Milton,2026-02-20,exact net (outside same-day),#17011,2874,27840,Omni Source,Stellar Industries,Manufacturing,ok (distinct counterparties),inbound ticket -4 business days outside same-day (not stored = should be same day),Y,
22,1408,225,STEEL TURNING,12280,exact net (linked ticket),1408,TURNSTEEL,Milton,2026-02-19,exact net,#17189,3459,12280,Padnos,R & H Machine Products (Ferrous),Manufacturing,ok (distinct counterparties),,Y,
23,1407,224,STEEL TURNING,56480,exact net (linked ticket),1407,TURNSTEEL,Milton,2026-02-19,exact net,#17188,3458,56480,Padnos,Fema Corporation,Manufacturing,ok (distinct counterparties),,Y,
24,1406,223,STEEL TURNING,15220,exact net (linked ticket),1406,TURNSTEEL,Milton,2026-02-19,exact net,#17167,3271,15220,Padnos,Suzuki Garphyttan SB,Manufacturing,ok (distinct counterparties),,Y,
25,1388,205,STEEL WIRE,40340,exact net (linked ticket),1388,STWR,Milton,2026-02-16,exact net,#17010,2873,40340,Omni Source,Suzuki Garphyttan SB,Manufacturing,ok (distinct counterparties),,Y,
26,1382,202,STEEL BANDING (fe),29040,exact net (linked ticket),1382,STBD,Milton,2026-02-12,exact net,#16846,2628,29040,Padnos,Champlain Specialty Metals,Manufacturing,ok (distinct counterparties),,Y,
27,1379,196,BUSHELING,40300,exact net (linked ticket),1379,Indbush,Milton,2026-02-11,exact net,#16811,2474,40300,Omni Source,Holland Metal Fab,Manufacturing,ok (distinct counterparties),,Y,
28,1378,195,BUSHELING,39540,exact net (linked ticket),1378,Indbush,Milton,2026-02-11,exact net,#16810,2473,39540,Omni Source,PENZ PRODUCTS,Manufacturing,ok (distinct counterparties),,Y,
29,1372,192,STEEL WIRE,34200,exact net (linked ticket),1372,STWR,Milton,2026-02-10,exact net,#16749,2417,34200,Omni Source,Suzuki Garphyttan SB,Manufacturing,ok (distinct counterparties),,Y,
30,1371,191,BUSHELING,38860,exact net (linked ticket),1371,Indbush,Milton,2026-02-10,exact net,#16748,2416,38860,Omni Source,Stellar Industries,Manufacturing,ok (distinct counterparties),,Y,
31,1370,190,ZZ DO NOT USE STEEL TURNINGS,20980,exact net (linked ticket),1370,FETURN,Milton,2026-02-10,exact net,#16750,2418,20980,Padnos,Schafer Industries - Schafer Gear Work,Manufacturing,ok (distinct counterparties),,Y,
32,1368,188,ZZ DO NOT USE STEEL TURNINGS,14140,exact net (linked ticket),1368,FETURN,Milton,2026-02-10,NONE,,,,Padnos,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,CIE Somaschini North America; Fema Corporation; R & H Machine Products (Ferrous); Schafer Industries - Schafer Gear Work; Suzuki Garphyttan SB
33,1367,181,ZZ DO NOT USE STEEL TURNINGS,22600,exact net (linked ticket),1367,FETURN,Milton,2026-02-09,exact net,#16712,2279,22600,Padnos,Suzuki Garphyttan SB,Manufacturing,ok (distinct counterparties),,Y,
34,1365,180,ZZ DO NOT USE STEEL TURNINGS,25760,exact net (linked ticket),1365,FETURN,Milton,2026-02-06,NONE,,,,Padnos,,,,net twin exists only under a different material/yard (coincidental),Y,CIE Somaschini North America; Fema Corporation; R & H Machine Products (Ferrous); Schafer Industries - Schafer Gear Work; Suzuki Garphyttan SB
35,1386,184,EDM WIRE ,1182,exact net (linked ticket),1386,EDMW,Milton,2026-02-09,exact net (outside same-day),#16862,2195;2207,1182,Padnos,Complexus Medical - Mishawaka,,ok (distinct counterparties),,Y,
36,1386,185,TUNGSTEN MOLY TA INSERTS,263,exact net (linked ticket),1386,TUNGMOTAINS,Milton,2026-02-09,NONE,,,,Padnos,,,,net twin exists only under a different material/yard (coincidental),Y,Complexus Medical - Mishawaka
37,1386,182,ALUMINUM MLC,366,exact net (linked ticket),1386,ALUMLC,Milton,2026-02-09,NONE,,,,Padnos,,,,net twin exists only under a different material/yard (coincidental),Y,Complexus Medical - Mishawaka
38,1386,186,17-4 SOLIDS,2706,exact net (linked ticket),1386,174SOLIDS,Milton,2026-02-09,NONE,,,,Padnos,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,Complexus Medical - Mishawaka
39,1386,183,ZZ DO NOT USE - ALUMINUM TURNINGS,638,exact net (linked ticket),1386,ALMTRNG,Milton,2026-02-09,NONE,,,,Padnos,,,,net twin exists only under a different material/yard (coincidental),Y,Complexus Medical - Mishawaka
40,1359,147,BUSHELING,36900,exact net (linked ticket),1359,Indbush,Milton,2026-02-04,exact net,#16576,2099;2100,36900,Omni Source,Stellar Industries,Manufacturing,ok (distinct counterparties),,Y,
41,1361,144,ZZ DO NOT USE STEEL TURNINGS,17400,exact net (linked ticket),1361,FETURN,Milton,2026-02-04,exact net,#16591,2051,17400,Padnos,R & H Machine Products (Ferrous),Manufacturing,ok (distinct counterparties),,Y,
42,1360,143,ZZ DO NOT USE STEEL TURNINGS,21020,exact net (linked ticket),1360,FETURN,Milton,2026-02-04,exact net,#16590,2050,21020,Padnos,CIE Somaschini North America,Manufacturing,ok (distinct counterparties),,Y,
43,1355,119,BUSHELING,49780,exact net (linked ticket),1355,Indbush,Milton,2026-02-03,exact net,#16552,1979,49780,Omni Source,Teck Machine,Manufacturing,ok (distinct counterparties),,Y,
44,1354,118,STEEL WIRE,30460,exact net (linked ticket),1354,STWR,Milton,2026-02-03,exact net,#16551,1978,30460,Omni Source,Suzuki Garphyttan SB,Manufacturing,ok (distinct counterparties),,Y,
45,1344,113,ZZ DO NOT USE STEEL TURNINGS,47060,exact net (linked ticket),1344,FETURN,Milton,2026-01-30,exact net,#16465,1883,47060,Padnos,Fema Corporation,Manufacturing,ok (distinct counterparties),,Y,
46,1342,111,ZZ DO NOT USE STEEL TURNINGS,56280,exact net (linked ticket),1342,FETURN,Milton,2026-01-30,NONE,,,,Padnos,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,CIE Somaschini North America; Fema Corporation; R & H Machine Products (Ferrous); Schafer Industries - Schafer Gear Work; Suzuki Garphyttan SB
47,1345,114,ZZ DO NOT USE STEEL TURNINGS,18960,exact net (linked ticket),1345,FETURN,Milton,2026-01-30,exact net,#16432,1830,18960,Padnos,Schafer Industries - Schafer Gear Work,Manufacturing,ok (distinct counterparties),,Y,
48,1348,110,ZZ DO NOT USE STEEL TURNINGS,11020,exact net (linked ticket),1348,FETURN,Milton,2026-01-30,exact net,#16456,1750,11020,Padnos,Suzuki Garphyttan SB,Manufacturing,ok (distinct counterparties),,Y,
49,1341,107,BUSHELING,17760,exact net (linked ticket),1341,Indbush,Milton,2026-01-29,exact net,#16435,1752,17760,Omni Source,Stellar Industries,Manufacturing,ok (distinct counterparties),,Y,
50,1340,106,STEEL WIRE,35920,exact net (linked ticket),1340,STWR,Milton,2026-01-29,exact net,#16434,1751,35920,Omni Source,Suzuki Garphyttan SB,Manufacturing,ok (distinct counterparties),,Y,
51,1338,108,ZZ DO NOT USE STEEL TURNINGS,50820,exact net (linked ticket),1338,FETURN,Milton,2026-01-29,NONE,,,,Padnos,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,CIE Somaschini North America; Fema Corporation; R & H Machine Products (Ferrous); Schafer Industries - Schafer Gear Work; Suzuki Garphyttan SB
52,1337,104,STEEL BANDING (fe),23980,exact net (linked ticket),1337,STBD,Milton,2026-01-28,exact net,#16387,1735,23980,Padnos,Champlain Specialty Metals,Manufacturing,ok (distinct counterparties),,Y,
53,1336,105,SHEET IRON,38140,exact net (linked ticket),1336,SHIRST,Milton,2026-01-29,NONE,,,,Padnos,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,DAIFUKU WYNRIGHT
54,1333,93,BUSHELING,47620,exact net (linked ticket),1333,Indbush,Milton,2026-01-26,exact net,#16324,1589,47620,Omni Source,Stellar Industries,Manufacturing,ok (distinct counterparties),,Y,
55,1330,92,STEEL WIRE,27380,exact net (linked ticket),1330,STWR,Milton,2026-01-22,exact net,#16257,1458,27380,Omni Source,Suzuki Garphyttan SB,Manufacturing,ok (distinct counterparties),,Y,
