dtc_row_id,dtc_order_no,matched_inbound_row_id,matched_inbound_ticket,inbound_confidence,inbound_score,inbound_score_breakdown,matched_outbound_row_id,matched_outbound_ticket,outbound_confidence,outbound_score,outbound_score_breakdown,matched_material,dtc_weight,inbound_weight,outbound_weight,dtc_date,inbound_date,outbound_date,notes,model_outbound_row_id,model_outbound_ticket,model_outbound_probability,model_outbound_truth_in_candidate,model_inbound_row_id,model_inbound_ticket,model_inbound_probability,model_inbound_pseudo_labeled
8,1492,943;947;922;915;909,17341;17350;17277;17239,High,86.0,code+40.0;desc+20.0;sum_wt(4tk/5ln)+40.0;date+7.5,273,1438,High,93.7,code+40.0;desc+20.0;net_wt+40.0;date+15.0;customer+25.0;price+8.0,STEEL TURNING,47660,47660,47660,2026-02-27,2026-02-25,2026-02-28,"IN: aggregated 4 tickets (5 lines) sum=47660 vs 47660, err=0; dates 2026-02-20..2026-02-25 | DUPLICATE outbound row",273,1438,0.8719896050207355,1,939,17323,0.0247425696702142,0
9,1485,951,17350,No match,39.5,code+40.0;desc+20.0;net_wt_over-15.0;date+7.5,266,1434,High,97.5,code+40.0;desc+20.0;net_wt+40.0;date+25.0;time+7.73;customer+25.0;price+8.0,STEEL TURNING,44420,75,44420,2026-02-27,2026-02-25,2026-02-27,,266,1434,0.9170930636878886,1,1105,17964,0.0382905557652379,0
10,1498,986,17420,Low,51.4,code+40.0;desc+20.0;net_wt_over-15.0;date+25.0;time+4.52,270,1444,High,97.9,code+40.0;desc+20.0;net_wt+40.0;date+25.0;time+8.51;customer+25.0;price+8.0,CLEAN SHEET,18080,1500,18080,2026-02-27,2026-02-27,2026-02-27,,270,1444,0.9929987430720288,1,986,17420,0.2495206087924348,0
14,1477,941,17329,Low,51.0,code+40.0;desc+20.0;net_wt_over-15.0;date+25.0;time+3.96,273,1438,Medium,73.7,code+40.0;desc+20.0;net_wt+17.59;date+7.5;customer+25.0;price+6.37,STEEL TURNING,46900,8600,47660,2026-02-25,2026-02-25,2026-02-28,IN: ambiguous (margin 2.3); near-ties: 17329;17350;17350;17350 | DUPLICATE outbound row,273,1438,0.4774862470437254,0,940,17371,0.4689904053267811,0
36,1429,561,16862,Low,52.7,code+40.0;desc+20.0;net_wt_over-15.0;date+25.0;time+6.48,182,1386,High,88.9,code+40.0;desc+20.0;net_wt+40.0;date+7.5;customer+25.0;price+8.0,TUNGSTEN MOLY TA INSERTS,263,33,263,2026-02-06,2026-02-06,2026-02-09,IN: ambiguous (margin 0.0); near-ties: 16862;16862;16862;16862,182,1386,0.9970759726783908,1,568,16862,0.3553322779948453,0
53,1377,456,16365,Low,54.4,code+40.0;desc+20.0;net_wt_over-15.0;date+25.0;time+8.9,104,1336,High,93.7,code+40.0;desc+20.0;net_wt+40.0;date+15.0;customer+25.0;price+8.0,SHEET IRON,38140,897,38140,2026-01-28,2026-01-28,2026-01-29,IN: ambiguous (margin 2.5); near-ties: 16365;16376;16379;16354,104,1336,0.9438597306078044,1,456,16365,0.2298448326025018,0
60,1352,397,16272,No match,36.1,code+40.0;desc+20.0;net_wt_over-15.0;date+3.0,76,1314,High,99.2,code+40.0;desc+20.0;net_wt+40.0;date+25.0;time+10.68;customer+25.0;price+8.0,ZZ DO NOT USE STEEL TURNINGS,41080,36680,41080,2026-01-16,2026-01-23,2026-01-16,,76,1314,0.948660218986381,1,308,16089,0.2989657643616408,0
62,1339,371,16203,No match,36.1,code+40.0;desc+20.0;net_wt_over-15.0;date+3.0,66,1303,High,99.5,code+40.0;desc+20.0;net_wt+40.0;date+25.0;time+11.18;customer+25.0;price+8.0,ZZ DO NOT USE STEEL TURNINGS,50860,23160,50860,2026-01-15,2026-01-21,2026-01-15,,66,1303,0.883065982144401,1,308,16089,0.0384901412496984,0
64,1344,316,16108,Low,45.9,code+40.0;desc+20.0;net_wt_over-15.0;date+15.0;price+1.0,68,1305,High,98.7,code+40.0;desc+20.0;net_wt+40.0;date+25.0;time+9.73;customer+25.0;price+8.0,ZZ DO NOT USE ALUMINUM BREAKAGE,10500,187,10500,2026-01-15,2026-01-16,2026-01-15,IN: ambiguous (margin 0.8); near-ties: 16108;16052;16061;16103,68,1305,0.9968458762814574,1,251,16042,0.1599469976660234,0
65,1338,371,16203,No match,36.1,code+40.0;desc+20.0;net_wt_over-15.0;date+3.0,64,1301,High,99.7,code+40.0;desc+20.0;net_wt+40.0;date+25.0;time+11.51;customer+25.0;price+8.0,ZZ DO NOT USE STEEL TURNINGS,56280,23160,56280,2026-01-14,2026-01-21,2026-01-14,,64,1301,0.8219251625139653,1,294,16050,0.1495946111013485,0
