dtc_row_id,dtc_order_no,ticket_row_id,ticket,pseudo_label,pseudo_labeled_order,pseudo_label_reason,pseudo_margin,rule_score,rule_raw,rule_max_possible,rule_rank,score_gap_to_best,dtc_weight,ticket_weight,weight_abs_diff,weight_pct_diff,date_abs_days,date_signed_days,same_day,code_points,code_diff_points,desc_points,net_wt_points,net_wt_over_points,date_points,time_points,price_points
1,1507,1043,17717,1,1,top_clean_score_margin_weight_date,50.900000000000006,90.4,131.06,145.0,1.0,0.0,11960,11960,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,6.06,0.0
2,1506,1044,17718,1,1,top_clean_score_margin_weight_date,50.900000000000006,90.4,131.03,145.0,1.0,0.0,25600,25600,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,6.03,0.0
3,1501,1036,17679,1,1,top_clean_score_margin_weight_date,17.099999999999994,92.3,133.85,145.0,1.0,0.0,34120,34120,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,6.03,2.82
4,1502,1031,17682,1,1,top_clean_score_margin_weight_date,41.5,91.7,132.93,145.0,1.0,0.0,24820,24820,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,6.01,1.92
5,1494,1014,17549,1,1,top_clean_score_margin_weight_date,34.50000000000001,90.4,131.04,145.0,1.0,0.0,14240,14240,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,6.04,0.0
6,1493,1013,17548,1,1,top_clean_score_margin_weight_date,50.900000000000006,90.4,131.04,145.0,1.0,0.0,20060,20060,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,6.04,0.0
7,1487,983,17444,1,1,top_clean_score_margin_weight_date,50.4,86.5,115.0,133.0,1.0,0.0,38700,38700,0,0.0,1,-1,0.0,40.0,0.0,20.0,40.0,0.0,15.0,0.0,0.0
11,1484,984,17409,1,1,top_clean_score_margin_weight_date,36.9,92.3,133.84,145.0,1.0,0.0,29080,29080,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,6.02,2.82
13,1479,940,17371,1,1,top_clean_score_margin_weight_date,55.9,92.0,133.38,145.0,1.0,0.0,46900,46900,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,8.38,0.0
15,1471,939,17323,1,1,top_clean_score_margin_weight_date,35.800000000000004,90.4,131.04,145.0,1.0,0.0,28440,28440,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,6.04,0.0
16,1470,925,17303,1,1,top_clean_score_margin_weight_date,13.0,90.4,131.01,145.0,1.0,0.0,15180,15180,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,6.01,0.0
17,1457,918,17284,1,1,top_clean_score_margin_weight_date,42.10000000000001,90.4,131.08,145.0,1.0,0.0,19820,19820,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,6.08,0.0
19,1449,892,17225,1,1,top_clean_score_margin_weight_date,16.200000000000003,92.3,133.88,145.0,1.0,0.0,27180,27180,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,6.06,2.82
20,1448,891,17223,1,1,top_clean_score_margin_weight_date,54.300000000000004,90.4,131.07,145.0,1.0,0.0,44380,44380,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,6.07,0.0
22,1445,861,17189,1,1,top_clean_score_margin_weight_date,38.00000000000001,90.4,131.03,145.0,1.0,0.0,12280,12280,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,6.03,0.0
23,1444,860,17188,1,1,top_clean_score_margin_weight_date,38.00000000000001,90.4,131.03,145.0,1.0,0.0,56480,56480,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,6.03,0.0
25,1432,730,17010,1,1,top_clean_score_margin_weight_date,54.300000000000004,90.4,131.02,145.0,1.0,0.0,40340,40340,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,6.02,0.0
26,1426,665,16846,1,1,top_clean_score_margin_weight_date,90.4,90.4,131.05,145.0,1.0,0.0,29040,29040,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,6.05,0.0
27,1424,645,16811,1,1,top_clean_score_margin_weight_date,21.299999999999997,92.6,134.29,145.0,1.0,0.0,40300,40300,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,6.03,3.26
28,1423,644,16810,1,1,top_clean_score_margin_weight_date,17.400000000000006,90.4,131.03,145.0,1.0,0.0,39540,39540,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,6.03,0.0
29,1417,606,16749,1,1,top_clean_score_margin_weight_date,54.300000000000004,90.4,131.05,145.0,1.0,0.0,34200,34200,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,6.05,0.0
30,1416,605,16748,1,1,top_clean_score_margin_weight_date,17.099999999999994,92.3,133.87,145.0,1.0,0.0,38860,38860,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,6.05,2.82
31,1415,607,16750,1,1,top_clean_score_margin_weight_date,13.0,90.4,131.01,145.0,1.0,0.0,20980,20980,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,6.01,0.0
32,1413,593,16698,1,1,top_clean_score_margin_weight_date,33.6,86.7,125.65,145.0,1.0,0.0,14140,14140,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,0.65,0.0
