dtc_row_id,dtc_order_no,matched_inbound_row_id,matched_inbound_ticket,inbound_confidence,inbound_score,inbound_score_breakdown,matched_outbound_row_id,matched_outbound_ticket,outbound_confidence,outbound_score,outbound_score_breakdown,matched_material,dtc_weight,inbound_weight,outbound_weight,dtc_date,inbound_date,outbound_date,notes,model_outbound_row_id,model_outbound_ticket,model_outbound_probability,model_outbound_truth_in_candidate,model_inbound_row_id,model_inbound_ticket,model_inbound_probability,model_inbound_pseudo_labeled
1,1507,1043,17717,High,90.4,code+40.0;desc+20.0;net_wt+40.0;date+25.0;time+6.06,302,1452,High,100.0,code+40.0;desc+20.0;net_wt+40.0;date+25.0;time+11.99;customer+25.0;price+8.0,STEEL TURNING,11960,11960,11960,2026-03-05,2026-03-05,2026-03-05,,302,1452,0.996882378267624,1,1043,17717,0.9913391400566915,1
2,1506,1044,17718,High,90.4,code+40.0;desc+20.0;net_wt+40.0;date+25.0;time+6.03,301,1451,High,100.0,code+40.0;desc+20.0;net_wt+40.0;date+25.0;time+11.98;customer+25.0;price+8.0,STEEL WIRE,25600,25600,25600,2026-03-05,2026-03-05,2026-03-05,,301,1451,0.9887101116748716,1,1044,17718,0.9901524106963212,1
3,1501,1036,17679,High,92.3,code+40.0;desc+20.0;net_wt+40.0;date+25.0;time+6.03;price+2.82,300,1449,High,100.0,code+40.0;desc+20.0;net_wt+40.0;date+25.0;time+11.99;customer+25.0;price+8.0,BUSHELING,34120,34120,34120,2026-03-04,2026-03-04,2026-03-04,,300,1449,0.9750241938703088,1,1036,17679,0.9904713367967756,1
4,1502,1031,17682,High,91.7,code+40.0;desc+20.0;net_wt+40.0;date+25.0;time+6.01;price+1.92,296,1450,High,100.0,code+40.0;desc+20.0;net_wt+40.0;date+25.0;time+11.99;customer+25.0;price+8.0,BUSHELING,24820,24820,24820,2026-03-04,2026-03-04,2026-03-04,,296,1450,0.989513602930075,1,1031,17682,0.9909338097995568,1
5,1494,1014,17549,High,90.4,code+40.0;desc+20.0;net_wt+40.0;date+25.0;time+6.04,293,1443,High,100.0,code+40.0;desc+20.0;net_wt+40.0;date+25.0;time+11.99;customer+25.0;price+8.0,STEEL TURNING,14240,14240,14240,2026-03-02,2026-03-02,2026-03-02,,293,1443,0.9961321761029736,1,1014,17549,0.9911439837606464,1
6,1493,1013,17548,High,90.4,code+40.0;desc+20.0;net_wt+40.0;date+25.0;time+6.04,292,1442,High,100.0,code+40.0;desc+20.0;net_wt+40.0;date+25.0;time+11.99;customer+25.0;price+8.0,STEEL WIRE,20060,20060,20060,2026-03-02,2026-03-02,2026-03-02,,292,1442,0.9932995906122716,1,1013,17548,0.9906515822455104,1
7,1487,983,17444,High,86.5,code+40.0;desc+20.0;net_wt+40.0;date+15.0,272,1440,High,100.0,code+40.0;desc+20.0;net_wt+40.0;date+25.0;time+11.99;customer+25.0;price+8.0,STEEL BANDING (fe),38700,38700,38700,2026-02-27,2026-02-26,2026-02-27,,272,1440,0.9619443776453056,1,983,17444,0.938207433696538,1
8,1492,943;947;922;915;909,17341;17350;17277;17239,High,86.0,code+40.0;desc+20.0;sum_wt(4tk/5ln)+40.0;date+7.5,273,1438,High,93.7,code+40.0;desc+20.0;net_wt+40.0;date+15.0;customer+25.0;price+8.0,STEEL TURNING,47660,47660,47660,2026-02-27,2026-02-25,2026-02-28,"IN: aggregated 4 tickets (5 lines) sum=47660 vs 47660, err=0; dates 2026-02-20..2026-02-25 | DUPLICATE outbound row",273,1438,0.8719896050207355,1,939,17323,0.0247425696702142,0
9,1485,951,17350,No match,39.5,code+40.0;desc+20.0;net_wt_over-15.0;date+7.5,266,1434,High,97.5,code+40.0;desc+20.0;net_wt+40.0;date+25.0;time+7.73;customer+25.0;price+8.0,STEEL TURNING,44420,75,44420,2026-02-27,2026-02-25,2026-02-27,,266,1434,0.9170930636878886,1,1105,17964,0.0382905557652379,0
10,1498,986,17420,Low,51.4,code+40.0;desc+20.0;net_wt_over-15.0;date+25.0;time+4.52,270,1444,High,97.9,code+40.0;desc+20.0;net_wt+40.0;date+25.0;time+8.51;customer+25.0;price+8.0,CLEAN SHEET,18080,1500,18080,2026-02-27,2026-02-27,2026-02-27,,270,1444,0.9929987430720288,1,986,17420,0.2495206087924348,0
11,1484,984,17409,High,92.3,code+40.0;desc+20.0;net_wt+40.0;date+25.0;time+6.02;price+2.82,265,1432,High,100.0,code+40.0;desc+20.0;net_wt+40.0;date+25.0;time+11.99;customer+25.0;price+8.0,BUSHELING,29080,29080,29080,2026-02-26,2026-02-26,2026-02-26,,265,1432,0.9843707133565578,1,984,17409,0.9909025433244588,1
12,1483,923,17285,High,80.8,code+40.0;desc+20.0;net_wt+40.0;date+7.5,264,1431,High,100.0,code+40.0;desc+20.0;net_wt+40.0;date+25.0;time+11.99;customer+25.0;price+8.0,17-4 STAINLESS STEEL TURNINGS,8620,8620,8620,2026-02-26,2026-02-24,2026-02-26,,264,1431,0.9977273464086188,1,923,17285,0.9232998500374868,0
13,1479,940,17371,High,92.0,code+40.0;desc+20.0;net_wt+40.0;date+25.0;time+8.38,259,1427,High,100.0,code+40.0;desc+20.0;net_wt+40.0;date+25.0;time+11.99;customer+25.0;price+8.0,STEEL WIRE,46900,46900,46900,2026-02-25,2026-02-25,2026-02-25,,259,1427,0.9206870700018664,1,940,17371,0.9898626235327114,1
