dtc_row_id,dtc_order_no,predicted_inbound_row_id,predicted_inbound_ticket,inbound_match_probability,rule_score,rule_rank,pseudo_labeled_order,pseudo_label,pseudo_margin
1,1507,1043,17717,0.9913391400566917,90.4,1.0,1,1,50.900000000000006
2,1506,1044,17718,0.9901524106963213,90.4,1.0,1,1,50.900000000000006
3,1501,1036,17679,0.9904713367967755,92.3,1.0,1,1,17.099999999999994
4,1502,1031,17682,0.9909338097995569,91.7,1.0,1,1,41.5
5,1494,1014,17549,0.9911439837606463,90.4,1.0,1,1,34.50000000000001
6,1493,1013,17548,0.9906515822455105,90.4,1.0,1,1,50.900000000000006
7,1487,983,17444,0.9382074336965379,86.5,1.0,1,1,50.4
8,1492,939,17323,0.02474256967021426,39.5,11.0,0,0,0.0
9,1485,1105,17964,0.03829055576523799,4.3,43.0,0,0,0.0
10,1498,986,17420,0.24952060879243484,51.4,1.0,0,0,11.899999999999999
11,1484,984,17409,0.9909025433244588,92.3,1.0,1,1,36.9
12,1483,923,17285,0.9232998500374867,80.8,1.0,0,0,69.5
13,1479,940,17371,0.9898626235327114,92.0,1.0,1,1,55.9
14,1477,940,17371,0.4689904053267811,21.4,42.0,0,0,1.5
15,1471,939,17323,0.9898946067305937,90.4,1.0,1,1,35.800000000000004
16,1470,925,17303,0.9910517778515132,90.4,1.0,1,1,13.0
17,1457,918,17284,0.9906924895869317,90.4,1.0,1,1,42.10000000000001
18,1451,899,17233,0.2340653574246321,54.8,1.0,0,0,9.299999999999997
19,1449,892,17225,0.9910810955534612,92.3,1.0,1,1,16.200000000000003
20,1448,891,17223,0.9883023536237857,90.4,1.0,1,1,54.300000000000004
21,1447,731,17011,0.8876225930938179,79.6,1.0,0,0,13.099999999999994
22,1445,861,17189,0.9912992656598038,90.4,1.0,1,1,38.00000000000001
23,1444,860,17188,0.9868862836288389,90.4,1.0,1,1,38.00000000000001
24,1442,792,17167,0.9498122103701767,86.5,1.0,0,0,9.099999999999994
25,1432,730,17010,0.9887022347003375,90.4,1.0,1,1,54.300000000000004
26,1426,665,16846,0.9898436045293938,90.4,1.0,1,1,90.4
27,1424,645,16811,0.9900840624406465,92.6,1.0,1,1,21.299999999999997
28,1423,644,16810,0.9887917996635179,90.4,1.0,1,1,17.400000000000006
29,1417,606,16749,0.9893451587147665,90.4,1.0,1,1,54.300000000000004
30,1416,605,16748,0.9900530268771084,92.3,1.0,1,1,17.099999999999994
31,1415,607,16750,0.9905560540822362,90.4,1.0,1,1,13.0
32,1413,593,16698,0.9869612511920528,86.7,1.0,1,1,33.6
33,1412,581,16712,0.9904179588918863,90.4,1.0,1,1,42.10000000000001
34,1410,559,16621,0.3133064314536823,56.1,1.0,0,0,16.6
35,1429,565,16862,0.36680602645146476,52.7,2.0,0,0,0.0
36,1429,568,16862,0.35533227799484535,52.7,2.0,0,0,0.0
37,1429,570,16862,0.9924593877724817,90.7,1.0,1,1,77.8
38,1429,563,16862,0.3601707923556813,52.7,2.0,0,0,0.0
39,1429,556,16621,0.3701735059895064,53.4,3.0,0,0,0.8999999999999986
40,1401,549,16576,0.9902272490648014,92.3,1.0,1,1,36.0
41,1405,539,16591,0.9908700770358805,90.4,1.0,1,1,38.00000000000001
42,1404,538,16590,0.9905525425404943,90.4,1.0,1,1,13.0
43,1395,500,16552,0.9876754362469489,90.4,1.0,1,1,41.2
44,1394,499,16551,0.9897032441587623,90.4,1.0,1,1,54.300000000000004
45,1383,485,16465,0.98796933856702,90.4,1.0,1,1,34.50000000000001
46,1382,476,16432,0.21468993391676153,54.7,1.0,0,0,4.800000000000004
47,1387,476,16432,0.9909431511294166,90.6,1.0,1,1,42.3
48,1386,471,16456,0.951657754528782,86.5,1.0,1,1,33.9
49,1380,473,16435,0.9911034469592802,90.8,1.0,1,1,45.699999999999996
50,1379,472,16434,0.9892775250015519,90.5,1.0,1,1,54.4
51,1378,471,16456,0.177543580861777,52.4,1.0,0,0,7.299999999999997
52,1375,460,16387,0.9902890679821741,90.4,1.0,1,1,56.60000000000001
53,1377,456,16365,0.2298448326025018,54.4,1.0,0,0,2.5
54,1372,433,16324,0.9881845847287406,90.8,1.0,1,1,13.399999999999991
55,1369,388,16257,0.9899882243862117,90.4,1.0,1,1,38.00000000000001
56,1368,387,16256,0.9903265227899424,90.4,1.0,1,1,38.00000000000001
57,1360,337,16185,0.9887281289227227,90.8,1.0,1,1,34.699999999999996
58,1361,326,16149,0.1814176591766557,51.8,1.0,0,0,0.8999999999999986
59,1353,308,16089,0.24269324829193595,55.3,1.0,0,0,15.799999999999997
60,1352,308,16089,0.29896576436164085,55.2,1.0,0,0,15.700000000000003
61,1356,321,16129,0.9139541900031538,80.8,1.0,0,0,47.0
62,1339,308,16089,0.038490141249698434,45.1,1.0,0,0,0.0
63,1350,304,16088,0.9901377620700761,90.4,1.0,1,1,54.300000000000004
64,1344,251,16042,0.1599469976660234,11.3,7.0,0,0,0.7999999999999972
65,1338,294,16050,0.14959461110134858,51.0,1.0,0,0,5.899999999999999
66,1335,250,16024,0.9884092808678918,90.4,1.0,1,1,45.300000000000004
67,1334,250,16024,0.24760943932716564,51.0,1.0,0,0,5.899999999999999
