dtc_row_id,dtc_order_no,predicted_outbound_row_id,predicted_outbound_ticket,true_outbound_ticket,outbound_match_probability,rule_score,rule_rank,label,truth_in_candidate
1,1507,302,1452,1452,0.996882378267624,100.0,1.0,1,1
2,1506,301,1451,1451,0.9887101116748717,100.0,1.0,1,1
3,1501,300,1449,1449,0.9750241938703088,100.0,1.0,1,1
4,1502,296,1450,1450,0.989513602930075,100.0,1.0,1,1
5,1494,293,1443,1443,0.9961321761029737,100.0,1.0,1,1
6,1493,292,1442,1442,0.9932995906122717,100.0,1.0,1,1
7,1487,272,1440,1440,0.9619443776453057,100.0,1.0,1,1
8,1492,273,1438,1438,0.8719896050207355,93.7,1.0,1,1
9,1485,266,1434,1434,0.9170930636878886,97.5,1.0,1,1
10,1498,270,1444,1444,0.9929987430720288,97.9,1.0,1,1
11,1484,265,1432,1432,0.9843707133565578,100.0,1.0,1,1
12,1483,264,1431,1431,0.9977273464086187,100.0,1.0,1,1
13,1479,259,1427,1427,0.9206870700018663,100.0,1.0,1,1
14,1477,273,1438,1426,0.47748624704372544,73.7,1.0,0,0
15,1471,255,1421,1421,0.9852602307439154,100.0,1.0,1,1
16,1470,254,1419,1419,0.9957728068191841,100.0,1.0,1,1
17,1457,231,1418,1418,0.9934253097304617,100.0,1.0,1,1
18,1451,227,1410,1410,0.9769268474751466,99.6,1.0,1,1
19,1449,230,1413,1413,0.986915654872667,100.0,1.0,1,1
20,1448,229,1412,1412,0.9364857330179752,100.0,1.0,1,1
21,1447,228,1411,1411,0.9860816821273906,100.0,1.0,1,1
22,1445,224,1408,1408,0.9967865579162242,100.0,1.0,1,1
23,1444,223,1407,1407,0.8238375543786178,100.0,1.0,1,1
24,1442,222,1406,1406,0.9957567979363651,100.0,1.0,1,1
25,1432,204,1388,1388,0.9558188442081066,100.0,1.0,1,1
26,1426,201,1382,1382,0.9844290082628976,100.0,1.0,1,1
27,1424,195,1379,1379,0.9559788708959527,100.0,1.0,1,1
28,1423,194,1378,1378,0.9589162430158157,100.0,1.0,1,1
29,1417,191,1372,1372,0.97483864300689,100.0,1.0,1,1
30,1416,190,1371,1371,0.9613846091557204,100.0,1.0,1,1
31,1415,189,1370,1370,0.9926927537534356,100.0,1.0,1,1
32,1413,187,1368,1368,0.99393869145321,93.7,1.0,1,1
33,1412,180,1367,1367,0.9914887179202794,100.0,1.0,1,1
34,1410,179,1365,1365,0.9884316339837755,99.9,1.0,1,1
35,1429,185,1386,1386,0.9968103552879737,88.9,1.0,1,1
36,1429,182,1386,1386,0.9970759726783908,88.9,1.0,1,1
37,1429,181,1386,1386,0.9970473355261501,88.9,1.0,1,1
38,1429,183,1386,1386,0.9963158400263812,88.9,1.0,1,1
39,1429,184,1386,1386,0.9969703598262641,88.9,1.0,1,1
40,1401,146,1359,1359,0.9677080236943835,100.0,1.0,1,1
41,1405,143,1361,1361,0.9947866234728289,100.0,1.0,1,1
42,1404,142,1360,1360,0.992665166264276,100.0,1.0,1,1
43,1395,118,1355,1355,0.8982933471491642,100.0,1.0,1,1
44,1394,117,1354,1354,0.9822226456721459,100.0,1.0,1,1
45,1383,112,1344,1344,0.9195711789402495,100.0,1.0,1,1
46,1382,110,1342,1342,0.822377043735482,99.7,1.0,1,1
47,1387,113,1345,1345,0.9905799948687909,96.0,1.0,1,1
48,1386,109,1348,1348,0.9971476889872027,100.0,1.0,1,1
49,1380,106,1341,1341,0.9946064114471336,100.0,1.0,1,1
50,1379,105,1340,1340,0.970384833953036,100.0,1.0,1,1
51,1378,107,1338,1338,0.8848698265509473,99.6,1.0,1,1
52,1375,103,1337,1337,0.9903093081864612,100.0,1.0,1,1
53,1377,104,1336,1336,0.9438597306078043,93.7,1.0,1,1
54,1372,92,1333,1333,0.9155519280252952,100.0,1.0,1,1
55,1369,91,1330,1330,0.9866682818863257,100.0,1.0,1,1
56,1368,90,1329,1329,0.9905787522125478,100.0,1.0,1,1
57,1360,83,1322,1322,0.9458227256696319,100.0,1.0,1,1
58,1361,84,1323,1323,0.9363235766319463,95.6,1.0,1,1
59,1353,77,1315,1315,0.8493244002975365,99.7,1.0,1,1
60,1352,76,1314,1314,0.948660218986381,99.2,1.0,1,1
61,1356,79,1318,1318,0.981201608954025,88.9,1.0,1,1
62,1339,66,1303,1303,0.883065982144401,99.5,1.0,1,1
63,1350,74,1312,1312,0.9819607148100512,93.7,1.0,1,1
64,1344,68,1305,1305,0.9968458762814574,98.7,1.0,1,1
65,1338,64,1301,1301,0.8219251625139653,99.7,1.0,1,1
66,1335,62,1298,1298,0.9433391887202152,100.0,1.0,1,1
67,1334,61,1297,1297,0.9210657393902304,99.7,1.0,1,1
68,1332,40,1295,1295,0.9742262823002825,100.0,1.0,1,1
69,1329,31,1291,1291,0.9625648012859527,100.0,1.0,1,1
70,1328,30,1290,1290,0.9583896202473151,100.0,1.0,1,1
71,1367,37,1328,1328,0.9970235317123023,88.9,1.0,1,1
72,1367,36,1328,1328,0.9974838005691598,88.9,1.0,1,1
73,1367,33,1328,1328,0.9967559290949226,88.9,1.0,1,1
74,1367,35,1328,1328,0.9964949799743527,88.9,1.0,1,1
75,1367,34,1328,1328,0.9973065960541556,88.9,1.0,1,1
76,1367,38,1328,1328,0.9973571015091599,88.9,1.0,1,1
77,1367,32,1328,1328,0.9974897482755549,88.9,1.0,1,1
78,1323,17,1286,1286,0.9466236535046397,99.2,1.0,1,1
79,1363,13,1283,1283,0.996474394946089,98.6,1.0,1,1
80,1363,14,1283,1283,0.9986730579799963,98.6,1.0,1,1
81,1320,12,1282,1282,0.7452327092227378,99.7,1.0,1,1
82,1318,7,1278,1278,0.8598075446770485,97.5,1.0,1,1
83,1317,8,1279,1279,0.9873732492966013,100.0,1.0,1,1
84,1314,3,1276,1276,0.9846600554292847,100.0,1.0,1,1
85,1311,2,1271,1271,0.964498475249794,100.0,1.0,1,1
