code,name,commodity,metal,ctype,benchmark,basis,ref_price_per_lb,price_now_per_lb,basis_source,n_trades,trade_lbs,flag
 ALBZTS1,ALUMINUM BRONZE TURNINGS,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,2.2472,,3.6407,sale,1,974,basis>benchmark (review)
1010ALEXT,1010 BARE EXTRUSION,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,0.7836,,1.2696,buy+margin,2,25,thin volume
2024ALCST,2024 AL CASTINGS,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,0.749,,1.2134,tier-avg,0,0,no own trades (modeled)
3003PTD,ZZ DO NOT USE - 3003 ALUMINUM PAINTED  ,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,0.749,,1.2134,tier-avg,0,0,no own trades (modeled)
30ALP,3003 ALUMINUM WITH POLY,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,1.0356,,1.6779,sale,2,1676,
3105ALSOL,3105 AL SOLIDS,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,0.749,,1.2134,tier-avg,0,0,no own trades (modeled)
319ALFLASHING,319 AL FLASHINGS ,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,0.4528,,0.7335,sale,3,5015,
319CSTAL,319 CASTINGS,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,0.749,,1.2134,tier-avg,0,0,no own trades (modeled)
356ALCAST,ZZ DO NOT USE - 356 ALUMINUM CASTINGS,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,0.822,,1.3317,sale,1,816,
380ALTRN,380 ALUMINUM TURNINGS,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,0.458,,0.742,sale,1,667,
380NCAL,380 BARE NEW CAST ALUMINUM,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,0.6372,,1.0323,sale,6,23997,
380NCRUB,380 NEW CAST W/ 5% RUBBER ATTACHMENTS,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,0.5381,,0.8717,sale,3,6355,
380PTDNC,380 PTD NEW CAST,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,0.6442,,1.0437,sale,4,11382,
5086,AL 5086,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,0.841,,1.3625,sale,1,1092,
6022ALUM,6022 ALUMINUM,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,1.0275,,1.6646,sale,1,625,
6061ALR,6061 AL RIMS,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,0.749,,1.2134,tier-avg,0,0,no own trades (modeled)
6061PTDSPCAL,6061 PAINTED SPC,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,0.7784,,1.2611,sale,2,1914,
6063ALS,6063 AL SOLIDS,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,1.0758,,1.743,buy+margin,1,436,
6063PIAL,6063 PIPE,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,0.749,,1.2134,tier-avg,0,0,no own trades (modeled)
6105 turnings,6105 TURNINGS,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,0.749,,1.2134,tier-avg,0,0,no own trades (modeled)
AL00UBC,ALUMINUM CANS,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,0.5156,,0.8354,sale,3,3836,
AL02024,2000 SERIES ALUMINUM,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,0.749,,1.2134,tier-avg,0,0,no own trades (modeled)
AL03003,ZZ DO NOT USE - 3003 ALUMINUM,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,1.3504,,2.1878,sale,1,9298,basis>benchmark (review)
AL05052,5052 ALUMINUM,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,1.2891,,2.0886,sale,9,64708,basis>benchmark (review)
AL06061,6061 ALUMINUM - SPC,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,0.778,,1.2604,sale,8,21943,
AL06063,6063 BARE ALUMINUM EXTRUSION,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,1.253,,2.03,sale,15,64385,basis>benchmark (review)
AL06310,6063 PAINTED EXTRUSION,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,1.0537,,1.7071,sale,11,18153,
AL063FE,IRONY EXTRUSIONS,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,0.7361,,1.1926,sale,5,5170,
AL07000,7000 SERIES ALUMINUM,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,0.749,,1.2134,tier-avg,0,0,no own trades (modeled)
AL07075,7075 ALUMINUM,ALUMINUM,ALUMINUM,NON_FERROUS,ALI=F,0.749,,1.2134,tier-avg,0,0,no own trades (modeled)
