Location,code,eoy2025_wt,commodity,ctype,inbound_wt,outbound_wt,calc_wt,actual_wt,diff
Merrillville,SHIRST,38339.0,STEEL,FERROUS,1518813.0,918665.0,638487.0,382558.0,255929.0
Milton,FE0DEAT,39840.0,STEEL,FERROUS,289404.0,0.0,329244.0,94820.0,234424.0
Merrillville,INDP&S,37810.0,STEEL,FERROUS,57230.0,197498.0,-102458.0,60602.0,-163060.0
Milton,SHIRST,42860.0,STEEL,FERROUS,1424576.0,1432460.0,34976.0,195545.0,-160569.0
Milton,CLSHST,11934.0,STEEL,FERROUS,268141.0,335420.0,-55345.0,53898.0,-109243.0
Merrillville,CLSHST,37360.0,STEEL,FERROUS,126820.0,183880.0,-19700.0,83544.0,-103244.0
Milton,TURNSTEEL,0.0,,,1292989.0,1301800.0,-8811.0,92322.0,-101133.0
Milton,H13Solids,1040.0,STAINLESS STEEL TIER 2,NON_FERROUS,73972.0,1450.0,73562.0,1496.0,72066.0
Milton,FETURN,219824.0,STEEL,FERROUS,608542.0,759340.0,69026.0,0.0,69026.0
Merrillville,UNHMS,36425.0,STEEL,FERROUS,151081.0,119850.0,67656.0,0.0,67656.0
Milton,Indbush,46220.0,STEEL,FERROUS,1419304.0,1406800.0,58724.0,122477.0,-63753.0
Milton,UPFECHMO,0.0,,,37331.0,4539.0,32792.0,93792.0,-61000.0
Milton,FE0AUTO,53720.0,STEEL,FERROUS,440.0,0.0,54160.0,440.0,53720.0
Milton,UNPHMS,0.0,,,119025.0,107340.0,11685.0,58558.0,-46873.0
Merrillville,Indbush,161465.0,STEEL,FERROUS,1112710.0,1110197.0,163978.0,119218.0,44760.0
Merrillville,UNPREP,25544.0,STEEL,FERROUS,168026.0,210007.0,-16437.0,27438.0,-43875.0
Milton,LIOB,0.0,,,78369.0,78471.0,-102.0,42832.0,-42934.0
Milton,INDHVYM,127002.0,STEEL,FERROUS,491912.0,568660.0,50254.0,90537.0,-40283.0
Milton,SKST,0.0,STEEL,FERROUS,76320.0,36040.0,40280.0,0.0,40280.0
Merrillville,ALUBREAK,0.0,,,7943.0,21512.0,-13569.0,24307.0,-37876.0
Merrillville,UNPHMS,0.0,,,380084.0,208840.0,171244.0,134204.0,37040.0
Merrillville,ICW80,15014.0,COPPER TIER 2,NON_FERROUS,40431.0,23710.0,31735.0,1921.0,29814.0
Milton,ALUBREAK,0.0,,,17669.0,29520.0,-11851.0,14855.0,-26706.0
Merrillville,ACUT,14686.0,STEEL,FERROUS,26657.0,0.0,41343.0,18075.0,23268.0
Milton,PTDBUSH,0.0,STEEL,FERROUS,22660.0,0.0,22660.0,0.0,22660.0
Merrillville,CUIN188,0.0,COPPER TIER 2,NON_FERROUS,193.0,22268.0,-22075.0,273.0,-22348.0
Milton,STMTRBLK,7777.0,STEEL,FERROUS,2872.0,0.0,10649.0,32649.0,-22000.0
Milton,UNHMS,69367.0,STEEL,FERROUS,17256.0,65100.0,21523.0,0.0,21523.0
Milton,UNPREP,28875.0,STEEL,FERROUS,9365.0,0.0,38240.0,58240.0,-20000.0
Milton,ALMTRNG,35923.0,ALUMINUM,NON_FERROUS,17654.0,34012.0,19565.0,0.0,19565.0
Merrillville,INDHVYM,39226.0,STEEL,FERROUS,285440.0,271954.0,52712.0,71595.0,-18883.0
Milton,OVSZMAC,19040.0,STEEL,FERROUS,58490.0,0.0,77530.0,59560.0,17970.0
Milton,ALUMDROSS,0.0,,,116471.0,99800.0,16671.0,33906.0,-17235.0
Milton,las,0.0,STEEL,FERROUS,18388.0,0.0,18388.0,1771.0,16617.0
Milton,FEAUCST,8580.0,STEEL,FERROUS,27691.0,37500.0,-1229.0,14881.0,-16110.0
Milton,AUCORESTEEL,0.0,,,11370.0,0.0,11370.0,26370.0,-15000.0
Merrillville,NISS316,2595.0,STAINLESS STEEL TIER 1,NON_FERROUS,68361.0,13119.0,57837.0,43390.0,14447.0
Milton,ALMDROSS,28695.0,ALUMINUM,NON_FERROUS,15259.0,30380.0,13574.0,0.0,13574.0
Milton,ICW80,0.0,COPPER TIER 2,NON_FERROUS,12939.0,0.0,12939.0,365.0,12574.0
Merrillville,CUMOTOR,1452.0,COPPER TIER 3,NON_FERROUS,17558.0,28672.0,-9662.0,2038.0,-11700.0
Merrillville,CUIN160,2504.0,COPPER TIER 2,NON_FERROUS,19655.0,6334.0,15825.0,4386.0,11439.0
Milton,AL6061TURNS,12629.0,ALUMINUM,NON_FERROUS,92502.0,95980.0,9151.0,20455.0,-11304.0
Merrillville,CUSEALD,4716.0,COPPER TIER 3,NON_FERROUS,11342.0,21301.0,-5243.0,5633.0,-10876.0
Merrillville,CUBB001,7035.0,COPPER TIER 1,NON_FERROUS,40146.0,56862.0,-9681.0,63.0,-9744.0
Merrillville,FEAUCST,36872.0,STEEL,FERROUS,341921.0,252161.0,126632.0,136041.0,-9409.0
Milton,LEADSOLD,0.0,LEAD,NON_FERROUS,0.0,9060.0,-9060.0,0.0,-9060.0
Merrillville,CU00002,1116.5,COPPER TIER 1,NON_FERROUS,17739.0,9560.0,9295.5,449.0,8846.5
Merrillville,ALSHEET,2027.0,ALUMINUM,NON_FERROUS,26489.0,17402.0,11114.0,2330.0,8784.0
Merrillville,WASTE,4650.0,ZWASTE,WA,0.0,0.0,4650.0,13178.0,-8528.0
Milton,ALUTURN,0.0,,,103122.0,93054.0,10068.0,18408.0,-8340.0
Milton,CUIN188,3648.0,COPPER TIER 2,NON_FERROUS,1118.0,12174.0,-7408.0,62.0,-7470.0
Milton,380NCRUB,4481.0,ALUMINUM,NON_FERROUS,10968.0,6355.0,9094.0,1847.0,7247.0
Merrillville,ALBRKG,6221.0,ALUMINUM,NON_FERROUS,2712.0,1751.0,7182.0,0.0,7182.0
Milton,NIMIXD,2897.0,STAINLESS STEEL TIER 1,NON_FERROUS,24428.0,32400.0,-5075.0,1941.0,-7016.0
Milton,380PTDNC,0.0,ALUMINUM,NON_FERROUS,5256.0,11382.0,-6126.0,666.0,-6792.0
Merrillville,409SS,0.0,,,0.0,9.0,-9.0,6698.0,-6707.0
Merrillville,CUMOD,5268.0,COPPER TIER 3,NON_FERROUS,5796.0,0.0,11064.0,4487.0,6577.0
Milton,ALWHEEL,8342.0,ALUMINUM,NON_FERROUS,18537.0,33158.0,-6279.0,218.0,-6497.0
Merrillville,NIMIXD,5689.0,STAINLESS STEEL TIER 1,NON_FERROUS,1797.0,0.0,7486.0,13934.0,-6448.0
Milton,AL06061,0.0,ALUMINUM,NON_FERROUS,15568.0,19814.0,-4246.0,2097.0,-6343.0
Milton,MXDAL,1352.0,ALUMINUM,NON_FERROUS,8122.0,2913.0,6561.0,220.0,6341.0
Milton,BARRELS,16332.0,OTHER,Other,0.0,0.0,16332.0,10000.0,6332.0
Merrillville,TNPDCWR,0.3,COPPER TIER 1,NON_FERROUS,0.0,6138.0,-6137.7,119.0,-6256.7
Merrillville,ALCURAD,2228.0,ALUMINUM,NON_FERROUS,10532.0,18183.0,-5423.0,543.0,-5966.0
Milton,AL063FE,1345.0,ALUMINUM,NON_FERROUS,6985.0,1161.0,7169.0,1694.0,5475.0
Milton,ALBRKG,13584.0,ALUMINUM,NON_FERROUS,2242.0,10500.0,5326.0,0.0,5326.0
Milton,NI300BO,3024.0,STAINLESS STEEL TIER 1,NON_FERROUS,23491.0,18098.0,8417.0,3306.0,5111.0
Milton,CU00002,469.0,COPPER TIER 1,NON_FERROUS,11980.0,5993.0,6456.0,1435.0,5021.0
Milton,NI174BO,26079.0,STAINLESS STEEL TIER 1,NON_FERROUS,89551.0,116839.0,-1209.0,3760.0,-4969.0
Milton,CUBB001,1323.0,COPPER TIER 1,NON_FERROUS,8405.0,14340.0,-4612.0,285.0,-4897.0
Merrillville,CUIN280,1875.0,COPPER TIER 2,NON_FERROUS,3396.0,453.0,4818.0,176.0,4642.0
