code,commodity,ctype,eoy2025_wt,inbound_wt,outbound_wt,calc_wt,actual_wt,diff
FE0DEAT,STEEL,FERROUS,39840.0,289404.0,0.0,329244.0,94820.0,234424.0
CLSHST,STEEL,FERROUS,49294.0,394961.0,519300.0,-75045.0,137442.0,-212487.0
INDP&S,STEEL,FERROUS,78108.0,159598.0,294818.0,-57112.0,105948.0,-163060.0
TURNSTEEL,STEEL,FERROUS,0.0,1294841.0,1301800.0,-6959.0,94174.0,-101133.0
SHIRST,STEEL,FERROUS,81199.0,2943389.0,2351125.0,673463.0,578103.0,95360.0
UNHMS,STEEL,FERROUS,105792.0,168337.0,184950.0,89179.0,0.0,89179.0
H13Solids,STAINLESS STEEL TIER 2,NON_FERROUS,1040.0,73972.0,1450.0,73562.0,1496.0,72066.0
FETURN,STEEL,FERROUS,219824.0,608542.0,759340.0,69026.0,0.0,69026.0
ALUBREAK,ALUMINUM,NON_FERROUS,0.0,25612.0,51032.0,-25420.0,39162.0,-64582.0
UNPREP,STEEL,FERROUS,54419.0,177391.0,210007.0,21803.0,85678.0,-63875.0
UPFECHMO,STAINLESS STEEL TIER 2,NON_FERROUS,0.0,37331.0,4539.0,32792.0,93792.0,-61000.0
INDHVYM,STEEL,FERROUS,166228.0,777352.0,840614.0,102966.0,162132.0,-59166.0
FE0AUTO,STEEL,FERROUS,53720.0,440.0,0.0,54160.0,440.0,53720.0
LIOB,LEAD,NON_FERROUS,0.0,78369.0,78471.0,-102.0,42832.0,-42934.0
ICW80,COPPER TIER 2,NON_FERROUS,15014.0,53370.0,23710.0,44674.0,2286.0,42388.0
SKST,STEEL,FERROUS,0.0,76320.0,36040.0,40280.0,0.0,40280.0
CUIN188,COPPER TIER 2,NON_FERROUS,3648.0,1311.0,34442.0,-29483.0,335.0,-29818.0
FEAUCST,STEEL,FERROUS,45452.0,369612.0,289661.0,125403.0,150922.0,-25519.0
ACUT,STEEL,FERROUS,14791.0,28220.0,0.0,43011.0,19743.0,23268.0
PTDBUSH,STEEL,FERROUS,0.0,22660.0,0.0,22660.0,0.0,22660.0
STMTRBLK,STEEL,FERROUS,7777.0,2872.0,0.0,10649.0,32649.0,-22000.0
ALMTRNG,ALUMINUM,NON_FERROUS,39291.5,18757.0,35974.0,22074.5,1119.0,20955.5
Indbush,STEEL,FERROUS,207685.0,2532014.0,2516997.0,222702.0,241695.0,-18993.0
OVSZMAC,STEEL,FERROUS,19040.0,58490.0,0.0,77530.0,59560.0,17970.0
ALUMDROSS,ALUMINUM,NON_FERROUS,0.0,116471.0,99800.0,16671.0,33906.0,-17235.0
las,STEEL,FERROUS,0.0,18388.0,0.0,18388.0,1771.0,16617.0
AUCORESTEEL,STEEL,FERROUS,0.0,11370.0,0.0,11370.0,26370.0,-15000.0
CUBB001,COPPER TIER 1,NON_FERROUS,8358.0,48551.0,71202.0,-14293.0,348.0,-14641.0
CU00002,COPPER TIER 1,NON_FERROUS,1585.5,29719.0,15553.0,15751.5,1884.0,13867.5
ALMDROSS,ALUMINUM,NON_FERROUS,28695.0,15259.0,30380.0,13574.0,0.0,13574.0
NIMIXD,STAINLESS STEEL TIER 1,NON_FERROUS,8586.0,26225.0,32400.0,2411.0,15875.0,-13464.0
ALBRKG,ALUMINUM,NON_FERROUS,19805.0,4954.0,12251.0,12508.0,0.0,12508.0
CUSEALD,COPPER TIER 3,NON_FERROUS,7480.0,16013.0,24419.0,-926.0,10902.0,-11828.0
CUIN160,COPPER TIER 2,NON_FERROUS,2504.0,19655.0,6334.0,15825.0,4386.0,11439.0
AL6061TURNS,ALUMINUM,NON_FERROUS,12629.0,93502.0,95980.0,10151.0,21455.0,-11304.0
CUMOTOR,COPPER TIER 3,NON_FERROUS,1652.0,24758.0,28672.0,-2262.0,8996.0,-11258.0
NISS316,STAINLESS STEEL TIER 1,NON_FERROUS,3167.0,73175.0,22608.0,53734.0,43390.0,10344.0
UNPHMS,STEEL,FERROUS,0.0,499109.0,316180.0,182929.0,192762.0,-9833.0
ALUTURN,ALUMINUM,NON_FERROUS,0.0,106891.0,96306.0,10585.0,20315.0,-9730.0
WASTE,ZWASTE,WA,6842.0,0.0,0.0,6842.0,16029.0,-9187.0
LEADSOLD,LEAD,NON_FERROUS,0.0,0.0,9060.0,-9060.0,0.0,-9060.0
ALSHEET,ALUMINUM,NON_FERROUS,4087.0,34110.0,25468.0,12729.0,4362.0,8367.0
