commodity,ctype,eoy2025_wt,inbound_wt,outbound_wt,calc_wt,actual_wt,diff
LEAD,NON_FERROUS,56621.0,198895.0,172329.0,83187.0,139282.0,-56095.0
ALUMINUM,NON_FERROUS,198878.5,889834.0,904822.0,183890.5,228741.0,-44850.5
COPPER TIER 2,NON_FERROUS,37857.0,124674.0,109172.0,53359.0,19029.0,34330.0
STEEL,FERROUS,1165678.0,11937566.0,11102552.0,2000692.0,2026161.0,-25469.0
COPPER TIER 3,NON_FERROUS,25478.0,57522.0,72240.0,10760.0,32824.0,-22064.0
STAINLESS STEEL TIER 2,NON_FERROUS,18298.0,143406.0,37659.0,124045.0,110408.0,13637.0
ZWASTE,WA,11126.0,37077.0,1501.0,46702.0,57123.0,-10421.0
COPPER TIER 1,NON_FERROUS,13253.8,114852.0,132420.0,-4314.2,5984.0,-10298.2
STAINLESS STEEL TIER 1,NON_FERROUS,60241.0,424285.0,356713.0,127813.0,134420.0,-6607.0
OTHER,Other,31542.0,10750.0,1026.0,41266.0,35439.0,5827.0
BRASS TIER 1,NON_FERROUS,6947.0,41903.0,40790.0,8060.0,4291.0,3769.0
BRASS TIER 2,NON_FERROUS,3901.0,14090.0,13208.0,4783.0,2947.0,1836.0
ZINC,NON_FERROUS,1426.0,98.0,0.0,1524.0,1570.0,-46.0
TOTAL,,1631247.3,13994952.0,12944432.0,2681767.3,2798219.0,-116451.7
