Location,code,name,commodity,metal,ctype,current_wt,inbound_wt,outbound_wt,opening_wt,avg_cost,opening_value_est,flag
Merrillville,FEAUCST,AUTO CAST,STEEL,STEEL,FERROUS,111909.0,27507.0,252161.0,336563.0,0.16,55196.33,
Merrillville,Indbush,BUSHELING,STEEL,STEEL,FERROUS,117298.0,1044950.0,1110197.0,182545.0,0.1,17633.85,
Merrillville,CLSHST,CLEAN SHEET,STEEL,STEEL,FERROUS,80997.0,23072.0,183880.0,241805.0,0.08,20214.9,
Merrillville,ACUT,FULL A/C UNIT,STEEL,STEEL,FERROUS,17293.0,5440.0,0.0,11853.0,0.15,1776.76,
Merrillville,INDHVYM,HEAVY MELT,STEEL,STEEL,FERROUS,68675.0,29348.0,271934.0,311261.0,0.11,35141.37,
Merrillville,UNPHMS,HEAVY MELT - UNPREPARED,STEEL,STEEL,FERROUS,118361.0,101223.0,208840.0,225978.0,0.08,18959.55,
Merrillville,INDP&S,PLATE & STRUCTUAL,STEEL,STEEL,FERROUS,60455.0,13780.0,197498.0,244173.0,0.09,23147.6,
Merrillville,RLWHLS,RAIL WHEELS ,STEEL,STEEL,FERROUS,0.0,0.0,0.0,0.0,,,
Merrillville,REBAR,REBAR,STEEL,STEEL,FERROUS,4360.0,0.0,0.0,4360.0,0.02,97.23,
Merrillville,SHIRST,SHEET IRON,STEEL,STEEL,FERROUS,343187.0,63906.0,918665.0,1197946.0,0.08,100028.49,
Merrillville,STBXCAB,STEEL BX CABLE,STEEL,STEEL,FERROUS,9.0,0.0,0.0,9.0,0.08,0.72,
Merrillville,STBXW,STEEL BX WIRE (fe),STEEL,STEEL,FERROUS,228.0,0.0,0.0,228.0,0.13,30.21,
Merrillville,STCBLE,STEEL CABLE,STEEL,STEEL,FERROUS,0.0,0.0,0.0,0.0,,,
Merrillville,TURNSTEEL,STEEL TURNING,STEEL,STEEL,FERROUS,1852.0,0.0,0.0,1852.0,0.05,95.01,
Merrillville,UNPREP,UNPREPARED P&S ,STEEL,STEEL,FERROUS,12098.0,103404.0,210007.0,118701.0,0.09,10635.61,
Merrillville,UNHMS,ZZ DO NOT USE - UNPREPARED HMS (uhms),STEEL,STEEL,FERROUS,0.0,65408.0,119850.0,54442.0,,,
