code,name,commodity,metal,ctype,qty_lbs,unit_value,price_source,value_usd,weight_by_value_pct,weight_by_qty_pct
CUBB001,BARE BRIGHT COPPER,COPPER TIER 1,COPPER,NON_FERROUS,66905.0,5.61,sale (recent),375470.86,13.81,1.06
SHIRST,SHEET IRON,STEEL,STEEL,FERROUS,2131476.0,0.13,sale (recent),269205.42,9.9,33.92
CUIN188,#1 ICW 88%,COPPER TIER 2,COPPER,NON_FERROUS,33006.0,4.85,sale (recent),160003.19,5.89,0.53
CU00001,#1 COPPER,COPPER TIER 1,COPPER,NON_FERROUS,28461.0,5.38,sale (recent),153194.18,5.63,0.45
ICW80,#1 ICW 80%,COPPER TIER 2,COPPER,NON_FERROUS,25640.0,5.0,sale (recent),128200.0,4.72,0.41
INDHVYM,HEAVY MELT,STEEL,STEEL,FERROUS,570309.0,0.15,sale (recent),83265.11,3.06,9.07
CU00002,#2 COPPER,COPPER TIER 1,COPPER,NON_FERROUS,14794.0,5.24,sale (recent),77501.33,2.85,0.24
FEAUCST,AUTO CAST,STEEL,STEEL,FERROUS,384375.0,0.2,sale (recent),76413.75,2.81,6.12
AL06063,6063 BARE ALUMINUM EXTRUSION,ALUMINUM,ALUMINUM,NON_FERROUS,35999.0,1.96,sale (recent),70450.04,2.59,0.57
CLSHST,CLEAN SHEET,STEEL,STEEL,FERROUS,448582.0,0.15,sale (recent),66345.28,2.44,7.14
NISS316,316 STAINLESS STEEL SOLIDS,STAINLESS STEEL TIER 1,STAINLESS STEEL,NON_FERROUS,55999.0,1.18,sale (recent),66078.82,2.43,0.89
ALCURAD,AL/CU RADIATORS - CLEAN,ALUMINUM,ALUMINUM,NON_FERROUS,19865.0,3.15,sale (recent),62533.03,2.3,0.32
BRYELLO,YELLOW BRASS SOLIDS,BRASS TIER 1,BRASS,NON_FERROUS,16871.0,3.54,sale (recent),59738.52,2.2,0.27
Indbush,BUSHELING,STEEL,STEEL,FERROUS,293359.0,0.18,sale (recent),51895.21,1.91,4.67
COMWIRECU,COMMUNICATION WIRE,COPPER TIER 2,COPPER,NON_FERROUS,21676.0,2.3,sale (recent),49854.8,1.83,0.34
INDP&S,PLATE & STRUCTUAL,STEEL,STEEL,FERROUS,286831.0,0.16,sale (recent),45003.78,1.66,4.56
ALPAINT,ALUMINUM PAINTED SIDING,ALUMINUM,ALUMINUM,NON_FERROUS,33562.0,1.14,sale (recent),38159.99,1.4,0.53
NICARBD,CARBIDE,STAINLESS STEEL TIER 2,STAINLESS STEEL,NON_FERROUS,648.0,58.0,sale (recent),37584.0,1.38,0.01
UNPHMS,HEAVY MELT - UNPREPARED,STEEL,STEEL,FERROUS,275311.0,0.13,sale (recent),36588.83,1.35,4.38
ALWHEEL,ALUMINUM RIMS,ALUMINUM,ALUMINUM,NON_FERROUS,21385.0,1.64,sale (recent),35071.4,1.29,0.34
TNPDCWR,TIN PLTD COPPER WIRE,COPPER TIER 1,COPPER,NON_FERROUS,6309.0,5.42,sale (recent),34177.75,1.26,0.1
AL6061TURNS,6061 TURNINGS,ALUMINUM,ALUMINUM,NON_FERROUS,23943.0,1.17,sale (recent),28013.31,1.03,0.38
NISS300,304 STAINLESS SOLIDS,STAINLESS STEEL TIER 1,STAINLESS STEEL,NON_FERROUS,40913.0,0.65,sale (recent),26781.65,0.99,0.65
ALUTURN,ALUMINIUM TURNS,ALUMINUM,ALUMINUM,NON_FERROUS,24449.0,1.06,sale (recent),25881.71,0.95,0.39
CUIN160,#1 ICW 60%,COPPER TIER 2,COPPER,NON_FERROUS,7540.0,3.4,sale (recent),25612.63,0.94,0.12
ALSHEET,ALUMINUM OLD SHEET,ALUMINUM,ALUMINUM,NON_FERROUS,26791.0,0.89,sale (recent),23854.71,0.88,0.43
CUMOTOR,ELECTRIC MOTORS,COPPER TIER 3,COPPER,NON_FERROUS,35166.0,0.67,sale (recent),23561.22,0.87,0.56
UNPREP,UNPREPARED P&S ,STEEL,STEEL,FERROUS,153656.0,0.15,sale (recent),23063.77,0.85,2.45
LEAUTOB,AUTO BATTERIES,LEAD,LEAD,NON_FERROUS,67131.0,0.32,sale (YTD),21220.11,0.78,1.07
AL06310,6063 PAINTED EXTRUSION,ALUMINUM,ALUMINUM,NON_FERROUS,13007.0,1.55,sale (recent),20171.26,0.74,0.21
ALUMDROSS,ALUM DROSS,ALUMINUM,ALUMINUM,NON_FERROUS,31502.0,0.6,sale (recent),18901.2,0.7,0.5
FETURN,ZZ DO NOT USE STEEL TURNINGS,STEEL,STEEL,FERROUS,162471.0,0.12,sale (YTD),19106.59,0.7,2.59
BRREDSD,RED BRASS SOLIDS,BRASS TIER 1,BRASS,NON_FERROUS,4810.0,3.77,sale (recent),18127.93,0.67,0.08
SEMREBR,SEMI RED BRASS,BRASS TIER 1,BRASS,NON_FERROUS,4149.0,4.41,sale (recent),18285.47,0.67,0.07
CUSEALD,SEALED UNITS,COPPER TIER 3,COPPER,NON_FERROUS,32902.0,0.53,sale (recent),17438.06,0.64,0.52
