yard,code,name,commodity,metal,wt,cost,jan_price,factor,eoy_price,mkt
Merrillville,Al01100,1100 SERIES,ALUMINUM,ALUMINUM,0.0,0.0,1.8199,0.9496,1.7282,0.0
Merrillville,CU00001,#1 COPPER,COPPER TIER 1,COPPER,1740.0,6895.5392,5.2249,0.9573,5.0019,8703.3
Merrillville,CUIN160,#1 ICW 60%,COPPER TIER 2,COPPER,2504.0,6277.0223,3.2712,0.9573,3.1315,7841.4
Merrillville,ICW80,#1 ICW 80%,COPPER TIER 2,COPPER,15014.0,42830.568,4.1513,0.9573,3.9741,59667.64
Merrillville,CUIN185,#1 ICW 85%,COPPER TIER 2,COPPER,52.0,156.0,3.3261,0.9573,3.1841,165.57
Merrillville,CUIN188,#1 ICW 88%,COPPER TIER 2,COPPER,0.0,81.1803,4.4676,0.9573,4.2769,0.0
Merrillville,CUIN190,#1 ICW 90%,COPPER TIER 2,COPPER,183.0,582.5417,3.439,0.9573,3.2922,602.47
Merrillville,201,201 STAINLESS CLIP,STAINLESS STEEL TIER 2,STAINLESS STEEL,0.0,0.0,0.3089,1.0,0.3089,0.0
Merrillville,CU00002,#2 COPPER,COPPER TIER 1,COPPER,1116.5,3405.8764,5.0912,0.9573,4.8739,5441.72
Merrillville,CUIN220,#2 ICW 20% - CHRISTMAS LIGHTS,COPPER TIER 2,COPPER,384.0,69.445,0.7,0.9573,0.6701,257.33
Merrillville,CUIN235,#2 ICW 35%,COPPER TIER 2,COPPER,0.0,0.0,1.28,0.9573,1.2254,0.0
Merrillville,CUIN245,#2 ICW 45%,COPPER TIER 2,COPPER,986.0,736.7218,2.29,0.9573,2.1923,2161.57
Merrillville,CUIN255,#2 ICW 55%,COPPER TIER 2,COPPER,0.0,0.0,0.85,0.9573,0.8137,0.0
Merrillville,CUIN265,#2 ICW 65%,COPPER TIER 2,COPPER,0.0,0.0,2.88,0.9573,2.7571,0.0
Merrillville,CUIN280,#2 ICW 80%,COPPER TIER 2,COPPER,1875.0,4644.8684,3.79,0.9573,3.6282,6802.96
Merrillville,304SSL,304 STAINLESS L,STAINLESS STEEL TIER 1,STAINLESS STEEL,0.0,0.0,0.2,1.0,0.2,0.0
Merrillville,304SSOS,304 STAINLESS OVERSIZED,STAINLESS STEEL TIER 1,STAINLESS STEEL,0.0,0.0,0.2063,1.0,0.2063,0.0
Merrillville,NISS300,304 STAINLESS SOLIDS,STAINLESS STEEL TIER 1,STAINLESS STEEL,10000.0,2495.0,0.6284,1.0,0.6284,6284.28
Merrillville,NI300BO,304 STAINLESS STEEL TURNINGS,STAINLESS STEEL TIER 1,STAINLESS STEEL,1427.0,342.48,0.15,1.0,0.15,214.05
Merrillville,304STNPLY,304 STAINLESS WITH POLY,STAINLESS STEEL TIER 1,STAINLESS STEEL,0.0,0.0,0.55,1.0,0.55,0.0
Merrillville,NISS316,316 STAINLESS STEEL SOLIDS,STAINLESS STEEL TIER 1,STAINLESS STEEL,2595.0,1529.3226,1.1219,1.0,1.1219,2911.34
