yard,code,name,commodity,metal,wt,cost,price,src,mkt
Milton,CLPBNDS,#1 BUNDLES,STEEL,STEEL,0.0,0.0,0.0,,0.0
Milton,1018ST,1018 STEEL,STEEL,STEEL,0.0,0.0,0.0,,0.0
Milton,4140SOLS,4140 SOLIDS,STEEL,STEEL,3255.0,261.56,0.0804,purchase,261.56
Milton,AAAPRT,AA AUTO PARTS,STEEL,STEEL,0.0,0.0,0.0,,0.0
Milton,FE0DEAT,AUTO BODY - COMPLETE,STEEL,STEEL,166580.0,15214.8,0.0911,purchase,15175.22
Milton,AUCORESTEEL,AUTO BODY - CORE ,STEEL,STEEL,11370.0,1218.21,0.1071,avg cost,1218.21
Milton,FE0AUTO,AUTO BODY - INCOMPLETE,STEEL,STEEL,440.0,38.3,0.0815,avg cost,35.85
Merrillville,FEAUCST,AUTO CAST,STEEL,STEEL,111909.0,18353.3744,0.1988,recent sale,22250.06
Milton,FEAUCST,AUTO CAST,STEEL,STEEL,14215.0,1918.2155,0.1988,recent sale,2826.27
Merrillville,Indbush,BUSHELING,STEEL,STEEL,117298.0,11329.9523,0.1769,recent sale,20754.63
Milton,Indbush,BUSHELING,STEEL,STEEL,59997.0,7972.6151,0.1769,recent sale,10615.83
Merrillville,CLSHST,CLEAN SHEET,STEEL,STEEL,80997.0,6774.6993,0.1479,recent sale,11976.5
Milton,CLSHST,CLEAN SHEET,STEEL,STEEL,30508.0,2664.4255,0.1479,recent sale,4511.02
Milton,FENST,FENCING,STEEL,STEEL,16440.0,287.2667,0.0179,purchase,293.58
Merrillville,ACUT,FULL A/C UNIT,STEEL,STEEL,17293.0,2592.893,0.15,purchase,2593.95
Milton,ACUT,FULL A/C UNIT,STEEL,STEEL,1668.0,250.2,0.15,purchase,250.2
Merrillville,INDHVYM,HEAVY MELT,STEEL,STEEL,68675.0,7751.8267,0.146,recent sale,10029.16
Milton,INDHVYM,HEAVY MELT,STEEL,STEEL,85372.0,8479.4662,0.146,recent sale,12467.55
Merrillville,UNPHMS,HEAVY MELT - UNPREPARED,STEEL,STEEL,118361.0,9934.0554,0.1329,recent sale,15727.92
Milton,UNPHMS,HEAVY MELT - UNPREPARED,STEEL,STEEL,38558.0,2756.7159,0.1329,recent sale,5123.62
Milton,las,LAS,STEEL,STEEL,1771.0,70.84,0.04,purchase,70.84
Milton,OVSZMAC,OVERSIZED MACHINERY,STEEL,STEEL,59560.0,1640.902,0.0292,purchase,1737.19
Milton,PTDBUSH,PAINTED BUSH,STEEL,STEEL,22660.0,2326.7,0.1027,purchase,2326.7
Merrillville,INDP&S,PLATE & STRUCTUAL,STEEL,STEEL,60455.0,5730.8715,0.1569,recent sale,9485.81
Milton,INDP&S,PLATE & STRUCTUAL,STEEL,STEEL,45346.0,3595.4804,0.1569,recent sale,7115.1
Merrillville,RLWHLS,RAIL WHEELS ,STEEL,STEEL,0.0,0.0,0.0,,0.0
Merrillville,REBAR,REBAR,STEEL,STEEL,4360.0,97.32,0.0471,avg cost,205.47
Milton,REBAR,REBAR,STEEL,STEEL,5302.0,315.6265,0.0471,avg cost,249.87
Merrillville,SHIRST,SHEET IRON,STEEL,STEEL,343187.0,28643.7288,0.1263,recent sale,43343.72
Milton,SHIRST,SHEET IRON,STEEL,STEEL,254339.0,19006.8087,0.1263,recent sale,32122.43
Milton,SKST,SKELATAL ,STEEL,STEEL,0.0,0.0,0.1598,recent sale,0.0
Milton,STBD,STEEL BANDING (fe),STEEL,STEEL,0.0,0.0,0.1295,recent sale,0.0
Merrillville,STBXCAB,STEEL BX CABLE,STEEL,STEEL,9.0,0.7238,0.0804,avg cost,0.72
Milton,STBXCAB,STEEL BX CABLE,STEEL,STEEL,0.0,0.0,0.0804,avg cost,0.0
Merrillville,STBXW,STEEL BX WIRE (fe),STEEL,STEEL,228.0,30.2,0.2773,avg cost,63.22
Milton,STBXW,STEEL BX WIRE (fe),STEEL,STEEL,429.0,176.8103,0.2773,avg cost,118.96
Merrillville,STCBLE,STEEL CABLE,STEEL,STEEL,0.0,0.0,0.0,,0.0
Milton,INDCLIPS,STEEL CLIPS,STEEL,STEEL,0.0,0.0,0.0,,0.0
Milton,STLCOL,STEEL COIL,STEEL,STEEL,11489.0,639.5635,0.0573,avg cost,657.83
Milton,STMTRBLK,STEEL MOTOR BLOCKS,STEEL,STEEL,10649.0,1465.0729,0.1214,purchase,1292.66
Merrillville,TURNSTEEL,STEEL TURNING,STEEL,STEEL,1852.0,95.08,0.1205,recent sale,223.23
Milton,TURNSTEEL,STEEL TURNING,STEEL,STEEL,261102.0,8480.7044,0.1205,recent sale,31472.12
Milton,STWR,STEEL WIRE,STEEL,STEEL,440.0,21.6071,0.1009,recent sale,44.39
Merrillville,UNPREP,UNPREPARED P&S ,STEEL,STEEL,12098.0,1084.4314,0.1501,recent sale,1815.86
Milton,UNPREP,UNPREPARED P&S ,STEEL,STEEL,38240.0,2244.0746,0.1501,recent sale,5739.66
Merrillville,UNHMS,ZZ DO NOT USE - UNPREPARED HMS (uhms),STEEL,STEEL,0.0,0.0,0.1349,YTD sale,0.0
Milton,UNHMS,ZZ DO NOT USE - UNPREPARED HMS (uhms),STEEL,STEEL,0.0,0.0,0.1349,YTD sale,0.0
Merrillville,FETURN,ZZ DO NOT USE STEEL TURNINGS,STEEL,STEEL,0.0,0.0,0.1176,YTD sale,0.0
Milton,FETURN,ZZ DO NOT USE STEEL TURNINGS,STEEL,STEEL,0.0,0.0,0.1176,YTD sale,0.0
Milton,1010ALEXT,1010 BARE EXTRUSION,ALUMINUM,ALUMINUM,169.0,109.85,0.65,purchase,109.85
Merrillville,Al01100,1100 SERIES,ALUMINUM,ALUMINUM,0.0,0.0,2.2,recent sale,0.0
Milton,Al01100,1100 SERIES,ALUMINUM,ALUMINUM,12.0,0.995,2.2,recent sale,26.4
Milton,AL02024,2000 SERIES ALUMINUM,ALUMINUM,ALUMINUM,329.0,65.8,0.2,avg cost,65.8
Milton,2024ALCST,2024 AL CASTINGS,ALUMINUM,ALUMINUM,1.0,0.2,0.2,avg cost,0.2
Merrillville,PTD3003,3003 AL PAINTED,ALUMINUM,ALUMINUM,45.0,9.0,0.2,avg cost,9.0
Milton,PTD3003,3003 AL PAINTED,ALUMINUM,ALUMINUM,0.0,0.0,0.2,avg cost,0.0
Milton,AL3003,3003 AL SOLIDS,ALUMINUM,ALUMINUM,783.0,566.7059,1.73,recent sale,1354.59
Milton,30ALP,3003 ALUMINUM WITH POLY,ALUMINUM,ALUMINUM,0.0,0.0,1.7,recent sale,0.0
Milton,3105ALSOL,3105 AL SOLIDS,ALUMINUM,ALUMINUM,0.0,0.0,0.4,avg cost,0.0
Milton,319ALFLASHING,319 AL FLASHINGS ,ALUMINUM,ALUMINUM,2113.0,754.2692,0.6048,recent sale,1277.85
Milton,319CSTAL,319 CASTINGS,ALUMINUM,ALUMINUM,0.0,0.0,0.0,,0.0
Milton,380ALTRN,380 ALUMINUM TURNINGS,ALUMINUM,ALUMINUM,0.0,0.0,0.7,YTD sale,0.0
Milton,380NCAL,380 BARE NEW CAST ALUMINUM,ALUMINUM,ALUMINUM,0.0,0.0,1.2058,recent sale,0.0
Milton,380NCRUB,380 NEW CAST W/ 5% RUBBER ATTACHMENTS,ALUMINUM,ALUMINUM,1226.0,367.0485,1.02,recent sale,1250.52
Merrillville,380PTDNC,380 PTD NEW CAST,ALUMINUM,ALUMINUM,0.0,0.0,1.128,recent sale,0.0
Milton,380PTDNC,380 PTD NEW CAST,ALUMINUM,ALUMINUM,30.0,8.991,1.128,recent sale,33.84
Merrillville,AL05052,5052 ALUMINUM,ALUMINUM,ALUMINUM,429.0,171.6,2.1122,recent sale,906.12
Milton,AL05052,5052 ALUMINUM,ALUMINUM,ALUMINUM,16511.0,25976.0141,2.1122,recent sale,34874.12
Milton,AL5052SHPOLY,5052 ALUMINUM SHEET W/POLY,ALUMINUM,ALUMINUM,708.0,1033.8113,1.0818,YTD sale,765.9
Milton,6022ALUM,6022 ALUMINUM,ALUMINUM,ALUMINUM,0.0,0.0,1.4,YTD sale,0.0
Merrillville,6061ALR,6061 AL RIMS,ALUMINUM,ALUMINUM,1190.0,536.7363,0.4409,avg cost,524.64
Milton,6061ALR,6061 AL RIMS,ALUMINUM,ALUMINUM,957.0,482.5008,0.4409,avg cost,421.92
Merrillville,AL06061,6061 ALUMINUM - SPC,ALUMINUM,ALUMINUM,2616.0,1726.6969,1.2472,recent sale,3262.57
Milton,AL06061,6061 ALUMINUM - SPC,ALUMINUM,ALUMINUM,1359.0,992.07,1.2472,recent sale,1694.89
Merrillville,ALEXTRU,6061 ALUMINUM EXTRUSIONS,ALUMINUM,ALUMINUM,752.0,646.3665,1.3363,recent sale,1004.9
Milton,ALEXTRU,6061 ALUMINUM EXTRUSIONS,ALUMINUM,ALUMINUM,718.0,502.6,1.3363,recent sale,959.47
Merrillville,6061PTDSPCAL,6061 PAINTED SPC,ALUMINUM,ALUMINUM,0.0,0.0,1.22,recent sale,0.0
Milton,6061PTDSPCAL,6061 PAINTED SPC,ALUMINUM,ALUMINUM,0.0,0.0,1.22,recent sale,0.0
Merrillville,TRWLS,6061 TRUCK WHEELS,ALUMINUM,ALUMINUM,0.0,0.0,1.2,YTD sale,0.0
Merrillville,AL6061TURNS,6061 TURNINGS,ALUMINUM,ALUMINUM,1000.0,500.0,1.17,recent sale,1170.0
Milton,AL6061TURNS,6061 TURNINGS,ALUMINUM,ALUMINUM,20455.0,7042.039,1.17,recent sale,23932.35
Merrillville,6063ALS,6063 AL SOLIDS,ALUMINUM,ALUMINUM,0.0,0.0,0.8,purchase,0.0
Milton,6063ALS,6063 AL SOLIDS,ALUMINUM,ALUMINUM,442.0,354.9195,0.8,purchase,353.6
Merrillville,AL06063,6063 BARE ALUMINUM EXTRUSION,ALUMINUM,ALUMINUM,1204.0,1170.5628,1.957,recent sale,2356.2
Milton,AL06063,6063 BARE ALUMINUM EXTRUSION,ALUMINUM,ALUMINUM,13303.0,15595.9084,1.957,recent sale,26033.62
Merrillville,AL06310,6063 PAINTED EXTRUSION,ALUMINUM,ALUMINUM,1679.0,1193.7993,1.5508,recent sale,2603.87
Milton,AL06310,6063 PAINTED EXTRUSION,ALUMINUM,ALUMINUM,908.0,618.3472,1.5508,recent sale,1408.17
Merrillville,6063PIAL,6063 PIPE,ALUMINUM,ALUMINUM,249.0,249.0,0.6355,avg cost,158.24
Milton,6063PIAL,6063 PIPE,ALUMINUM,ALUMINUM,0.0,0.0,0.6355,avg cost,0.0
Milton,6105 turnings,6105 TURNINGS,ALUMINUM,ALUMINUM,0.0,0.0,0.0,,0.0
Milton,AL07000,7000 SERIES ALUMINUM,ALUMINUM,ALUMINUM,0.0,0.0,0.0,,0.0
Milton,AL07075,7075 ALUMINUM,ALUMINUM,ALUMINUM,1346.0,781.8168,0.5904,avg cost,794.71
Merrillville,ALCURAEND,ACR AL/CU RADIATOR ENDS,ALUMINUM,ALUMINUM,1120.0,571.0976,1.3752,YTD sale,1540.19
Milton,ALCURAEND,ACR AL/CU RADIATOR ENDS,ALUMINUM,ALUMINUM,268.0,53.8041,1.3752,YTD sale,368.55
