date,sgx_io_close
2014-06-02,93.92
2014-06-03,94.08
2014-06-04,95.83
2014-06-05,94.38
2014-06-06,95.25
2014-06-09,94.19
2014-06-10,93.0
2014-06-11,92.94
2014-06-12,91.67
2014-06-13,91.33
2014-06-16,90.58
2014-06-17,91.12
2014-06-18,90.92
2014-06-19,91.81
2014-06-20,92.37
2014-06-23,92.5
2014-06-24,92.5
2014-06-25,92.75
2014-06-26,92.81
2014-06-27,92.83
2014-07-01,95.12
2014-07-02,96.59
2014-07-03,96.58
2014-07-04,95.75
2014-07-07,95.25
2014-07-08,96.56
2014-07-09,95.83
2014-07-10,96.5
2014-07-11,96.81
2014-07-14,97.58
2014-07-15,97.38
2014-07-16,97.17
2014-07-17,96.75
2014-07-18,95.17
2014-07-21,95.13
2014-07-22,95.21
2014-07-23,94.54
2014-07-24,95.12
2014-07-25,95.62
2014-07-28,95.75
2014-07-29,95.75
2014-07-30,95.67
2014-08-01,94.77
2014-08-04,96.17
2014-08-05,96.0
2014-08-06,95.72
2014-08-07,95.08
2014-08-08,95.23
2014-08-11,94.75
2014-08-12,94.13
2014-08-13,93.91
2014-08-14,93.59
2014-08-15,94.28
2014-08-18,93.17
2014-08-19,93.25
2014-08-20,93.13
2014-08-21,93.02
2014-08-22,92.96
2014-08-25,92.75
2014-08-26,92.81
2014-08-27,92.75
2014-08-28,92.75
2014-09-01,86.84
2014-09-02,87.24
2014-09-03,85.0
2014-09-04,84.38
2014-09-05,83.71
2014-09-08,84.69
2014-09-09,83.41
2014-09-10,83.25
2014-09-11,83.21
2014-09-12,84.25
2014-09-15,85.33
2014-09-16,84.53
2014-09-17,84.42
2014-09-18,83.75
2014-09-19,83.13
2014-09-22,82.29
2014-09-23,82.66
2014-09-24,82.69
2014-09-25,82.65
2014-09-26,82.58
2014-09-29,82.45
2014-10-01,79.17
2014-10-02,79.34
2014-10-03,79.28
2014-10-06,79.25
2014-10-07,79.53
2014-10-08,78.25
2014-10-09,78.53
2014-10-10,80.56
2014-10-13,82.83
2014-10-14,82.63
2014-10-15,81.19
2014-10-16,80.38
2014-10-17,80.47
2014-10-20,80.94
2014-10-21,80.5
2014-10-22,80.25
2014-10-23,79.97
2014-10-24,80.32
2014-10-27,80.08
2014-10-28,80.0
2014-10-29,80.17
2014-10-30,80.17
2014-11-03,77.81
2014-11-04,77.5
2014-11-05,76.08
2014-11-06,75.5
2014-11-07,76.33
2014-11-10,75.93
2014-11-11,75.92
2014-11-12,75.97
2014-11-13,75.75
2014-11-14,75.38
2014-11-17,75.28
2014-11-18,74.09
2014-11-19,73.5
2014-11-20,73.62
2014-11-21,74.54
2014-11-24,73.42
2014-11-25,73.41
2014-11-26,73.16
2014-11-27,73.22
2014-12-01,69.59
2014-12-02,69.94
2014-12-03,69.92
2014-12-04,70.87
2014-12-05,71.33
2014-12-08,70.33
2014-12-09,69.54
2014-12-10,69.71
2014-12-11,69.63
2014-12-12,69.56
2014-12-15,69.0
