date,shfe_rb_close
2014-06-02,22.85
2014-06-03,22.96
2014-06-04,23.19
2014-06-05,23.04
2014-06-06,23.17
2014-06-09,24.07
2014-06-10,24.38
2014-06-11,24.5
2014-06-12,24.49
2014-06-13,24.49
2014-06-16,24.76
2014-06-17,24.75
2014-06-18,24.78
2014-06-19,24.74
2014-06-20,24.54
2014-06-23,24.46
2014-06-24,24.47
2014-06-25,24.44
2014-06-26,24.48
2014-06-27,24.69
2014-06-30,24.65
2014-07-01,24.6
2014-07-02,24.97
2014-07-03,25.12
2014-07-07,24.96
2014-07-08,25.02
2014-07-09,25.26
2014-07-10,25.01
2014-07-11,24.72
2014-07-14,24.81
2014-07-15,24.55
2014-07-16,24.83
2014-07-17,24.75
2014-07-18,24.91
2014-07-21,24.95
2014-07-22,24.9
2014-07-23,24.98
2014-07-24,25.07
2014-07-25,24.93
2014-07-28,24.67
2014-07-29,24.49
2014-07-30,24.58
2014-07-31,24.22
2014-08-01,24.12
2014-08-04,24.19
2014-08-05,24.48
2014-08-06,24.0
2014-08-07,24.0
2014-08-08,24.26
2014-08-11,24.43
2014-08-12,24.3
2014-08-13,24.26
2014-08-14,24.07
2014-08-15,24.0
2014-08-18,24.19
2014-08-19,24.23
2014-08-20,24.17
2014-08-21,24.12
2014-08-22,24.13
2014-08-25,24.11
2014-08-26,24.09
2014-08-27,24.03
2014-08-28,23.89
2014-08-29,23.75
2014-09-02,23.53
2014-09-03,23.4
2014-09-04,23.19
2014-09-05,23.05
2014-09-08,22.8
2014-09-09,22.68
2014-09-10,22.58
2014-09-11,22.65
2014-09-12,22.55
2014-09-15,22.3
2014-09-16,22.13
2014-09-17,22.37
2014-09-18,22.72
2014-09-19,22.31
2014-09-22,22.06
2014-09-23,21.96
2014-09-24,21.94
2014-09-25,21.8
2014-09-26,21.95
2014-09-29,22.3
2014-09-30,22.39
2014-10-01,22.9
2014-10-02,23.03
2014-10-03,23.0
2014-10-06,23.14
2014-10-07,23.0
2014-10-08,23.39
2014-10-09,23.01
2014-10-10,22.86
2014-10-13,23.04
2014-10-14,23.05
2014-10-15,23.01
2014-10-16,23.09
2014-10-17,22.95
2014-10-20,23.27
2014-10-21,23.69
2014-10-22,23.4
2014-10-23,23.49
2014-10-24,23.7
2014-10-27,23.71
2014-10-28,23.83
2014-10-29,24.03
2014-10-30,24.21
2014-10-31,24.39
2014-11-03,24.34
2014-11-04,23.54
2014-11-05,24.24
2014-11-06,24.53
2014-11-07,24.78
2014-11-10,24.73
2014-11-11,24.8
2014-11-12,25.31
2014-11-13,24.92
2014-11-14,25.01
2014-11-17,25.19
2014-11-18,25.48
2014-11-19,25.55
2014-11-20,25.57
2014-11-21,25.89
2014-11-24,26.07
2014-11-25,26.23
2014-11-26,26.4
2014-11-28,26.13
2014-12-01,25.95
2014-12-02,26.0
2014-12-03,26.2
2014-12-04,25.96
2014-12-05,26.33
2014-12-08,25.75
2014-12-09,25.87
2014-12-10,25.27
2014-12-11,25.07
2014-12-12,25.1
2014-12-15,25.02
2014-12-16,25.02
2014-12-17,25.58
2014-12-18,25.62
2014-12-19,25.45
2014-12-22,25.46
2014-12-23,26.26
2014-12-24,26.62
2014-12-26,26.91
2014-12-29,27.25
2014-12-30,27.18
2014-12-31,26.89
2015-01-02,27.03
2015-01-05,26.54
2015-01-06,25.9
2015-01-07,25.9
2015-01-08,25.96
2015-01-09,26.18
2015-01-12,26.11
2015-01-13,25.35
2015-01-14,25.05
2015-01-15,24.91
2015-01-16,25.16
2015-01-20,24.76
2015-01-21,24.84
2015-01-22,25.52
2015-01-23,25.29
2015-01-26,25.23
2015-01-27,25.29
2015-01-28,24.95
2015-01-29,25.01
2015-01-30,25.0
2015-02-02,25.28
2015-02-03,25.99
2015-02-04,25.69
2015-02-05,26.15
2015-02-06,25.8
2015-02-09,25.84
2015-02-10,26.02
2015-02-11,25.71
2015-02-12,26.55
2015-02-13,26.71
2015-02-17,26.74
2015-02-18,26.93
2015-02-19,26.55
2015-02-20,26.57
2015-02-23,26.18
2015-02-24,26.03
2015-02-25,26.0
2015-02-26,25.96
2015-02-27,25.18
2015-03-02,24.59
2015-03-03,24.85
2015-03-04,25.24
2015-03-05,25.25
2015-03-06,25.24
2015-03-09,25.37
2015-03-10,24.84
2015-03-11,24.51
2015-03-12,24.48
2015-03-13,24.83
2015-03-16,24.97
2015-03-17,24.91
2015-03-18,25.32
2015-03-19,25.04
2015-03-20,25.5
2015-03-23,25.45
2015-03-24,25.31
2015-03-25,24.98
2015-03-26,24.98
2015-03-27,25.13
2015-03-30,25.16
2015-03-31,24.94
2015-04-01,24.84
2015-04-02,25.55
2015-04-06,26.01
2015-04-07,25.68
2015-04-08,25.55
2015-04-09,25.83
2015-04-10,26.23
2015-04-13,26.22
2015-04-14,26.08
2015-04-15,26.35
2015-04-16,25.48
2015-04-17,25.04
2015-04-20,25.09
2015-04-21,24.67
2015-04-22,24.64
2015-04-23,25.02
2015-04-24,25.27
2015-04-27,25.16
2015-04-28,24.96
2015-04-29,25.64
2015-04-30,25.29
2015-05-01,25.39
2015-05-04,25.67
2015-05-05,25.59
2015-05-06,25.52
2015-05-07,25.5
2015-05-08,27.39
2015-05-11,28.0
2015-05-12,28.15
2015-05-13,28.39
2015-05-14,28.57
2015-05-15,28.55
2015-05-18,28.21
2015-05-19,28.47
2015-05-20,29.05
2015-05-21,28.74
2015-05-22,28.55
2015-05-26,28.53
2015-05-27,28.73
2015-05-28,28.53
2015-05-29,28.26
2015-06-01,28.91
2015-06-02,29.5
2015-06-03,29.64
2015-06-04,29.95
2015-06-05,29.99
2015-06-08,29.93
2015-06-09,30.22
2015-06-10,30.63
2015-06-11,29.18
2015-06-12,28.87
2015-06-15,28.89
2015-06-16,28.84
2015-06-17,28.85
2015-06-18,29.05
2015-06-19,28.59
2015-06-22,28.87
2015-06-23,28.88
2015-06-24,28.74
2015-06-25,28.74
2015-06-26,28.59
2015-06-29,28.09
2015-06-30,27.92
2015-07-01,28.4
2015-07-02,28.7
2015-07-06,28.53
2015-07-07,28.53
2015-07-08,28.48
2015-07-09,27.0
2015-07-10,27.33
2015-07-13,27.17
2015-07-14,27.32
2015-07-15,26.87
2015-07-16,26.97
2015-07-17,27.04
2015-07-20,26.5
2015-07-21,26.48
2015-07-22,26.18
2015-07-23,26.16
2015-07-24,25.83
2015-07-27,25.91
