feature,coefficient
VALE_div_5d,0.28882837618332524
sgx_io_mom5,0.2707864384551998
CNY_vol_20d,0.194021372341142
DBB_div_1d,0.14527391809382642
TX_div_20d,0.12067537231829943
VALE_div_1d,0.0773488178980191
dce_io_div,-0.07390765017020232
volatility_60d,0.06844479606213758
BHP_div_z20,0.053542724984045546
dce_io_ret_z20,0.051672497731855616
VIX_vol_20d,-0.04397143972415725
simple_return_1d,0.04045587688309938
SID_div_20d,0.03911028141768088
BHP_div_1d,0.03798641033183885
RIO_div_20d,0.036036789312868286
volatility_10d,0.03278767341761788
month_cos,0.03208075619150348
WOR_div_z20,0.024131365751721395
NUE_ratio_mom20,0.010987866055902924
DX_Y_NYB_vol_20d,-0.009115758843732077
SID_div_1d,0.008974819294504093
VIX_ret_5d,-0.007957703118379131
DX_Y_NYB_ret_1d,-0.006596741417206186
sgx_io_5_20,-0.006537903059277754
dce_cc_ret_z20,0.004676981194588981
CLF_div_1d,-0.004460229797339752
dce_io_5_20,-0.004092724667234515
WOR_div_1d,0.0036596868640401004
CLF_div_z20,-0.0013673186871077433
dce_cc_mom5,0.0005850629920710542
dce_cc_5_20,-1.534759787214286e-05
