feature,coefficient
VALE_div_5d,0.17113108675264885
china_ferrous_mean,0.1589426336831159
CNY_vol_20d,0.1074544081988069
simple_return_5d,0.10092542200627425
BHP_div_1d,0.09912405729664699
SID_div_20d,0.06752905536627402
dce_io_mom5,0.0494772503976682
VIX_vol_20d,-0.038361346472629655
RIO_div_20d,0.02743523885237427
VIX_ret_5d,-0.026027637546406898
dce_io_ret_z20,0.02110025913498162
china_ferrous_z20,0.02064658967975973
volatility_10d,0.016882566229054666
VALE_div_1d,0.014771510172992696
SID_div_1d,0.012261699547886182
DBB_div_1d,0.0013587160135521015
momentum_5d,0.00016928219879690126
dce_io_ret,8.699195861978519e-05
